ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearFiesta	crearfiesta	1590565632753	 	3.3.1
USER	CrearFiesta	3	START	1590565633479	1590565633479
USER	CrearFiesta	2	START	1590565633479	1590565633479
USER	AceptarLocal	411	START	1590565633508	1590565633508
USER	CrearFiesta	4	START	1590565633510	1590565633510
USER	AceptarLocal	407	START	1590565633507	1590565633507
USER	AceptarLocal	405	START	1590565633504	1590565633504
USER	AceptarLocal	404	START	1590565633504	1590565633504
USER	CrearFiesta	1	START	1590565633479	1590565633479
USER	AceptarLocal	408	START	1590565633507	1590565633507
USER	CrearFiesta	5	START	1590565633511	1590565633511
USER	AceptarLocal	409	START	1590565633507	1590565633507
USER	AceptarLocal	406	START	1590565633505	1590565633505
USER	AceptarLocal	410	START	1590565633508	1590565633508
USER	CrearFiesta	8	START	1590565633532	1590565633532
USER	CrearFiesta	9	START	1590565633532	1590565633532
USER	CrearFiesta	7	START	1590565633532	1590565633532
USER	CrearFiesta	6	START	1590565633532	1590565633532
USER	AceptarLocal	413	START	1590565633532	1590565633532
USER	AceptarLocal	412	START	1590565633532	1590565633532
USER	CrearFiesta	11	START	1590565633546	1590565633546
USER	AceptarLocal	414	START	1590565633546	1590565633546
USER	CrearFiesta	10	START	1590565633549	1590565633549
USER	AceptarLocal	415	START	1590565633546	1590565633546
USER	CrearFiesta	13	START	1590565633551	1590565633551
USER	AceptarLocal	416	START	1590565633551	1590565633551
USER	AceptarLocal	417	START	1590565633552	1590565633552
USER	CrearFiesta	12	START	1590565633550	1590565633550
USER	CrearFiesta	14	START	1590565633567	1590565633567
USER	AceptarLocal	419	START	1590565633572	1590565633572
USER	AceptarLocal	418	START	1590565633571	1590565633571
USER	CrearFiesta	17	START	1590565633575	1590565633575
USER	CrearFiesta	16	START	1590565633575	1590565633575
USER	AceptarLocal	420	START	1590565633575	1590565633575
USER	AceptarLocal	421	START	1590565633576	1590565633576
USER	CrearFiesta	18	START	1590565633579	1590565633579
USER	CrearFiesta	15	START	1590565633578	1590565633578
USER	CrearFiesta	19	START	1590565633579	1590565633579
USER	AceptarLocal	422	START	1590565633579	1590565633579
USER	AceptarLocal	423	START	1590565633580	1590565633580
REQUEST	414		Home	1590565633547	1590565633559	OK	 
REQUEST	415		Home	1590565633550	1590565633584	OK	 
REQUEST	404		Home	1590565633524	1590565633558	OK	 
REQUEST	416		Home	1590565633552	1590565633570	OK	 
REQUEST	411		Home	1590565633524	1590565633565	OK	 
REQUEST	2		Home	1590565633524	1590565633562	OK	 
REQUEST	7		Home	1590565633533	1590565633573	OK	 
REQUEST	413		Home	1590565633533	1590565633566	OK	 
REQUEST	408		Home	1590565633524	1590565633564	OK	 
REQUEST	3		Home	1590565633524	1590565633558	OK	 
REQUEST	406		Home	1590565633524	1590565633558	OK	 
REQUEST	10		Home	1590565633550	1590565633597	OK	 
REQUEST	12		Home	1590565633563	1590565633600	OK	 
REQUEST	5		Home	1590565633524	1590565633601	OK	 
REQUEST	409		Home	1590565633524	1590565633602	OK	 
REQUEST	1		Home	1590565633524	1590565633605	OK	 
USER	CrearFiesta	20	START	1590565633610	1590565633610
USER	CrearFiesta	21	START	1590565633613	1590565633613
