ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
REQUEST	2114		Logged	1590958799760	1590958799761	OK	 
REQUEST	593		MyMensajes	1590958799760	1590958799762	OK	 
REQUEST	633		MyMensajes	1590958799760	1590958799762	OK	 
REQUEST	2153		Logged Redirect 1	1590958799761	1590958799762	OK	 
REQUEST	2114		Logged Redirect 1	1590958799761	1590958799763	OK	 
USER	VerMensajesTestNegativo	3996	START	1590958799781	1590958799781
USER	VerMensajeTestPositivo	3955	START	1590958799781	1590958799781
REQUEST	634		MyMensajes	1590958799781	1590958799783	OK	 
REQUEST	594		MyMensajes	1590958799781	1590958799783	OK	 
REQUEST	3955		Welcome	1590958799781	1590958799784	OK	 
REQUEST	3996		Welcome	1590958799781	1590958799784	OK	 
REQUEST	2154		Logged	1590958799791	1590958799792	OK	 
REQUEST	3196		Login	1590958799791	1590958799792	OK	 
REQUEST	2115		Logged	1590958799791	1590958799792	OK	 
REQUEST	2116		Logged	1590958799791	1590958799792	OK	 
REQUEST	2155		Logged	1590958799791	1590958799792	OK	 
REQUEST	3155		Login	1590958799791	1590958799793	OK	 
REQUEST	2154		Logged Redirect 1	1590958799792	1590958799794	OK	 
REQUEST	2115		Logged Redirect 1	1590958799792	1590958799794	OK	 
REQUEST	2116		Logged Redirect 1	1590958799792	1590958799794	OK	 
REQUEST	2155		Logged Redirect 1	1590958799792	1590958799794	OK	 
USER	VerMensajeTestPositivo	3956	START	1590958799802	1590958799802
USER	VerMensajesTestNegativo	3997	START	1590958799802	1590958799802
REQUEST	3156		Login	1590958799802	1590958799802	OK	 
REQUEST	3197		Login	1590958799802	1590958799803	OK	 
REQUEST	3997		Welcome	1590958799802	1590958799804	OK	 
REQUEST	3956		Welcome	1590958799802	1590958799804	OK	 
REQUEST	595		MyMensajes	1590958799806	1590958799808	OK	 
REQUEST	635		MyMensajes	1590958799806	1590958799808	OK	 
USER	VerMensajesTestNegativo	3998	START	1590958799827	1590958799827
USER	VerMensajeTestPositivo	3957	START	1590958799827	1590958799827
REQUEST	2156		Logged	1590958799827	1590958799828	OK	 
REQUEST	2117		Logged	1590958799827	1590958799828	OK	 
REQUEST	596		MyMensajes	1590958799827	1590958799829	OK	 
REQUEST	2156		Logged Redirect 1	1590958799828	1590958799830	OK	 
REQUEST	636		MyMensajes	1590958799827	1590958799830	OK	 
REQUEST	2117		Logged Redirect 1	1590958799828	1590958799830	OK	 
REQUEST	3957		Welcome	1590958799827	1590958799830	OK	 
REQUEST	3998		Welcome	1590958799827	1590958799830	OK	 
REQUEST	3198		Login	1590958799838	1590958799839	OK	 
REQUEST	3157		Login	1590958799838	1590958799839	OK	 
USER	VerMensajesTestNegativo	3999	START	1590958799849	1590958799849
USER	VerMensajeTestPositivo	3958	START	1590958799849	1590958799849
REQUEST	2157		Logged	1590958799849	1590958799850	OK	 
REQUEST	2118		Logged	1590958799849	1590958799850	OK	 
REQUEST	3999		Welcome	1590958799849	1590958799852	OK	 
REQUEST	3958		Welcome	1590958799849	1590958799852	OK	 
REQUEST	2157		Logged Redirect 1	1590958799850	1590958799852	OK	 
REQUEST	2118		Logged Redirect 1	1590958799850	1590958799852	OK	 
REQUEST	3199		Login	1590958799860	1590958799861	OK	 
REQUEST	3158		Login	1590958799860	1590958799861	OK	 
REQUEST	637		MyMensajes	1590958799860	1590958799862	OK	 
REQUEST	597		MyMensajes	1590958799860	1590958799862	OK	 
USER	VerMensajeTestPositivo	3959	START	1590958799882	1590958799882
USER	VerMensajesTestNegativo	4000	START	1590958799882	1590958799882
REQUEST	638		MyMensajes	1590958799882	1590958799884	OK	 
REQUEST	598		MyMensajes	1590958799882	1590958799884	OK	 
REQUEST	3959		Welcome	1590958799882	1590958799884	OK	 
REQUEST	4000		Welcome	1590958799882	1590958799884	OK	 
REQUEST	3159		Login	1590958799886	1590958799886	OK	 
REQUEST	2119		Logged	1590958799886	1590958799887	OK	 
REQUEST	2158		Logged	1590958799886	1590958799887	OK	 
REQUEST	3200		Login	1590958799886	1590958799888	OK	 
REQUEST	639		MyMensajes	1590958799886	1590958799888	OK	 
REQUEST	599		MyMensajes	1590958799886	1590958799888	OK	 
REQUEST	2119		Logged Redirect 1	1590958799887	1590958799889	OK	 
REQUEST	2158		Logged Redirect 1	1590958799887	1590958799890	OK	 
USER	VerMensajeTestPositivo	3960	START	1590958799897	1590958799897
USER	VerMensajesTestNegativo	4001	START	1590958799897	1590958799897
REQUEST	3960		Welcome	1590958799897	1590958799899	OK	 
REQUEST	4001		Welcome	1590958799897	1590958799899	OK	 
REQUEST	2120		Logged	1590958799908	1590958799908	OK	 
REQUEST	3160		Login	1590958799908	1590958799908	OK	 
REQUEST	2159		Logged	1590958799908	1590958799909	OK	 
REQUEST	3201		Login	1590958799908	1590958799910	OK	 
REQUEST	2159		Logged Redirect 1	1590958799909	1590958799911	OK	 
REQUEST	2120		Logged Redirect 1	1590958799909	1590958799911	OK	 
USER	VerMensajesTestNegativo	4002	START	1590958799929	1590958799929
USER	VerMensajeTestPositivo	3961	START	1590958799929	1590958799929
REQUEST	2121		Logged	1590958799929	1590958799930	OK	 
REQUEST	2160		Logged	1590958799929	1590958799931	OK	 
REQUEST	4002		Welcome	1590958799929	1590958799933	OK	 
REQUEST	3961		Welcome	1590958799929	1590958799933	OK	 
REQUEST	2121		Logged Redirect 1	1590958799931	1590958799933	OK	 
REQUEST	2160		Logged Redirect 1	1590958799931	1590958799933	OK	 
REQUEST	3161		Login	1590958799940	1590958799941	OK	 
REQUEST	3202		Login	1590958799940	1590958799941	OK	 
REQUEST	640		MyMensajes	1590958799940	1590958799942	OK	 
REQUEST	600		MyMensajes	1590958799940	1590958799943	OK	 
USER	VerMensajeTestPositivo	3962	START	1590958799951	1590958799951
USER	VerMensajesTestNegativo	4003	START	1590958799951	1590958799951
REQUEST	2161		Logged	1590958799951	1590958799952	OK	 
REQUEST	2122		Logged	1590958799951	1590958799952	OK	 
REQUEST	4003		Welcome	1590958799951	1590958799954	OK	 
REQUEST	2161		Logged Redirect 1	1590958799952	1590958799954	OK	 
REQUEST	2122		Logged Redirect 1	1590958799953	1590958799954	OK	 
REQUEST	3962		Welcome	1590958799951	1590958799954	OK	 
REQUEST	3162		Login	1590958799956	1590958799957	OK	 
REQUEST	3203		Login	1590958799956	1590958799957	OK	 
REQUEST	601		MyMensajes	1590958799956	1590958799958	OK	 
REQUEST	641		MyMensajes	1590958799966	1590958799968	OK	 
USER	VerMensajeTestPositivo	3963	START	1590958799977	1590958799977
USER	VerMensajesTestNegativo	4004	START	1590958799977	1590958799977
REQUEST	4004		Welcome	1590958799977	1590958799980	OK	 
REQUEST	3963		Welcome	1590958799977	1590958799980	OK	 
USER	VerMensajesTestNegativo	4044	START	1590958799988	1590958799988
USER	VerMensajeTestPositivo	4005	START	1590958799988	1590958799988
REQUEST	3204		Login	1590958799988	1590958799989	OK	 
REQUEST	2162		Logged	1590958799988	1590958799990	OK	 
REQUEST	3163		Login	1590958799988	1590958799989	OK	 
REQUEST	2123		Logged	1590958799988	1590958799990	OK	 
REQUEST	684		MyMensajes	1590958799988	1590958799990	OK	 
REQUEST	642		MyMensajes	1590958799988	1590958799990	OK	 
REQUEST	602		MyMensajes	1590958799988	1590958799990	OK	 
REQUEST	643		MyMensajes	1590958799988	1590958799990	OK	 
REQUEST	2123		Logged Redirect 1	1590958799990	1590958799992	OK	 
REQUEST	2162		Logged Redirect 1	1590958799990	1590958799992	OK	 
REQUEST	4044		Welcome	1590958799988	1590958799992	OK	 
REQUEST	4005		Welcome	1590958799988	1590958799993	OK	 
REQUEST	2203		Logged	1590958800010	1590958800010	OK	 
REQUEST	2163		Logged	1590958800010	1590958800012	OK	 
REQUEST	2203		Logged Redirect 1	1590958800010	1590958800014	OK	 
REQUEST	2163		Logged Redirect 1	1590958800012	1590958800014	OK	 
USER	VerMensajeTestPositivo	4006	START	1590958800021	1590958800021
USER	VerMensajesTestNegativo	4045	START	1590958800021	1590958800021
REQUEST	4045		Welcome	1590958800021	1590958800024	OK	 
REQUEST	4006		Welcome	1590958800021	1590958800024	OK	 
REQUEST	3205		Login	1590958800031	1590958800031	OK	 
REQUEST	3244		Login	1590958800031	1590958800032	OK	 
USER	VerMensajeTestPositivo	4007	START	1590958800042	1590958800042
USER	VerMensajesTestNegativo	4046	START	1590958800042	1590958800042
REQUEST	2204		Logged	1590958800042	1590958800043	OK	 
REQUEST	2164		Logged	1590958800042	1590958800043	OK	 
REQUEST	644		MyMensajes	1590958800042	1590958800044	OK	 
REQUEST	4046		Welcome	1590958800042	1590958800045	OK	 
REQUEST	2204		Logged Redirect 1	1590958800043	1590958800045	OK	 
REQUEST	2164		Logged Redirect 1	1590958800044	1590958800045	OK	 
REQUEST	4007		Welcome	1590958800042	1590958800045	OK	 
REQUEST	3206		Login	1590958800046	1590958800047	OK	 
REQUEST	2165		Logged	1590958800046	1590958800047	OK	 
REQUEST	2205		Logged	1590958800046	1590958800047	OK	 
REQUEST	3245		Login	1590958800046	1590958800047	OK	 
REQUEST	685		MyMensajes	1590958800046	1590958800048	OK	 
REQUEST	2165		Logged Redirect 1	1590958800047	1590958800048	OK	 
REQUEST	2205		Logged Redirect 1	1590958800047	1590958800048	OK	 
REQUEST	645		MyMensajes	1590958800056	1590958800060	OK	 
REQUEST	686		MyMensajes	1590958800056	1590958800060	OK	 
USER	VerMensajesTestNegativo	4047	START	1590958800066	1590958800066
USER	VerMensajeTestPositivo	4008	START	1590958800066	1590958800066
REQUEST	4008		Welcome	1590958800067	1590958800069	OK	 
REQUEST	4047		Welcome	1590958800067	1590958800069	OK	 
REQUEST	3207		Login	1590958800077	1590958800077	OK	 
REQUEST	3246		Login	1590958800076	1590958800078	OK	 
REQUEST	646		MyMensajes	1590958800076	1590958800078	OK	 
USER	VerMensajeTestPositivo	4009	START	1590958800087	1590958800087
USER	VerMensajesTestNegativo	4048	START	1590958800087	1590958800087
REQUEST	2166		Logged	1590958800087	1590958800088	OK	 
REQUEST	2206		Logged	1590958800087	1590958800088	OK	 
REQUEST	687		MyMensajes	1590958800087	1590958800089	OK	 
REQUEST	4009		Welcome	1590958800087	1590958800090	OK	 
REQUEST	2166		Logged Redirect 1	1590958800088	1590958800090	OK	 
REQUEST	4048		Welcome	1590958800087	1590958800090	OK	 
REQUEST	2206		Logged Redirect 1	1590958800088	1590958800090	OK	 
REQUEST	3247		Login	1590958800097	1590958800098	OK	 
REQUEST	3208		Login	1590958800097	1590958800098	OK	 
REQUEST	2207		Logged	1590958800108	1590958800109	OK	 
REQUEST	647		MyMensajes	1590958800108	1590958800110	OK	 
REQUEST	2167		Logged	1590958800108	1590958800110	OK	 
REQUEST	2207		Logged Redirect 1	1590958800109	1590958800111	OK	 
REQUEST	688		MyMensajes	1590958800108	1590958800111	OK	 
REQUEST	2167		Logged Redirect 1	1590958800110	1590958800112	OK	 
USER	VerMensajesTestNegativo	4049	START	1590958800118	1590958800118
USER	VerMensajeTestPositivo	4010	START	1590958800118	1590958800118
REQUEST	4049		Welcome	1590958800118	1590958800121	OK	 
REQUEST	4010		Welcome	1590958800118	1590958800121	OK	 
REQUEST	3248		Login	1590958800130	1590958800131	OK	 
REQUEST	3209		Login	1590958800130	1590958800131	OK	 
USER	VerMensajeTestPositivo	4011	START	1590958800141	1590958800141
USER	VerMensajesTestNegativo	4050	START	1590958800141	1590958800141
REQUEST	2168		Logged	1590958800141	1590958800142	OK	 
REQUEST	2208		Logged	1590958800141	1590958800142	OK	 
REQUEST	648		MyMensajes	1590958800141	1590958800143	OK	 
REQUEST	2168		Logged Redirect 1	1590958800142	1590958800143	OK	 
REQUEST	4050		Welcome	1590958800141	1590958800144	OK	 
REQUEST	4011		Welcome	1590958800141	1590958800144	OK	 
REQUEST	2208		Logged Redirect 1	1590958800142	1590958800145	OK	 
REQUEST	689		MyMensajes	1590958800141	1590958800145	OK	 
REQUEST	3249		Login	1590958800152	1590958800152	OK	 
REQUEST	2169		Logged	1590958800152	1590958800153	OK	 
REQUEST	2209		Logged	1590958800152	1590958800153	OK	 
REQUEST	3210		Login	1590958800152	1590958800153	OK	 
REQUEST	649		MyMensajes	1590958800152	1590958800154	OK	 
REQUEST	690		MyMensajes	1590958800152	1590958800154	OK	 
REQUEST	2169		Logged Redirect 1	1590958800153	1590958800155	OK	 
REQUEST	2209		Logged Redirect 1	1590958800153	1590958800155	OK	 
USER	VerMensajeTestPositivo	4012	START	1590958800166	1590958800166
USER	VerMensajesTestNegativo	4051	START	1590958800166	1590958800166
REQUEST	4051		Welcome	1590958800166	1590958800169	OK	 
REQUEST	4012		Welcome	1590958800166	1590958800169	OK	 
REQUEST	3250		Login	1590958800176	1590958800177	OK	 
REQUEST	3211		Login	1590958800176	1590958800177	OK	 
USER	VerMensajesTestNegativo	4052	START	1590958800187	1590958800187
USER	VerMensajeTestPositivo	4013	START	1590958800187	1590958800187
REQUEST	2170		Logged	1590958800187	1590958800187	OK	 
REQUEST	650		MyMensajes	1590958800187	1590958800189	OK	 
REQUEST	2210		Logged	1590958800187	1590958800189	OK	 
REQUEST	2170		Logged Redirect 1	1590958800188	1590958800190	OK	 
REQUEST	691		MyMensajes	1590958800187	1590958800190	OK	 
REQUEST	4013		Welcome	1590958800187	1590958800190	OK	 
REQUEST	4052		Welcome	1590958800187	1590958800190	OK	 
REQUEST	2210		Logged Redirect 1	1590958800189	1590958800190	OK	 
REQUEST	3212		Login	1590958800198	1590958800198	OK	 
REQUEST	3251		Login	1590958800198	1590958800199	OK	 
REQUEST	2171		Logged	1590958800209	1590958800209	OK	 
REQUEST	2211		Logged	1590958800209	1590958800210	OK	 
REQUEST	692		MyMensajes	1590958800209	1590958800210	OK	 
REQUEST	651		MyMensajes	1590958800209	1590958800211	OK	 
REQUEST	2171		Logged Redirect 1	1590958800209	1590958800211	OK	 
REQUEST	2211		Logged Redirect 1	1590958800210	1590958800211	OK	 
USER	VerMensajesTestNegativo	4053	START	1590958800219	1590958800219
USER	VerMensajeTestPositivo	4014	START	1590958800219	1590958800219
REQUEST	4053		Welcome	1590958800219	1590958800222	OK	 
REQUEST	4014		Welcome	1590958800219	1590958800222	OK	 
REQUEST	3252		Login	1590958800229	1590958800230	OK	 
REQUEST	3213		Login	1590958800229	1590958800230	OK	 
USER	VerMensajesTestNegativo	4054	START	1590958800239	1590958800239
USER	VerMensajeTestPositivo	4015	START	1590958800239	1590958800239
REQUEST	2172		Logged	1590958800239	1590958800240	OK	 
REQUEST	2212		Logged	1590958800239	1590958800241	OK	 
REQUEST	693		MyMensajes	1590958800239	1590958800241	OK	 
REQUEST	2172		Logged Redirect 1	1590958800240	1590958800242	OK	 
REQUEST	2212		Logged Redirect 1	1590958800241	1590958800243	OK	 
REQUEST	4015		Welcome	1590958800240	1590958800243	OK	 
REQUEST	4054		Welcome	1590958800240	1590958800243	OK	 
REQUEST	652		MyMensajes	1590958800239	1590958800244	OK	 
REQUEST	3253		Login	1590958800250	1590958800250	OK	 
REQUEST	2173		Logged	1590958800250	1590958800250	OK	 
REQUEST	2213		Logged	1590958800250	1590958800251	OK	 
REQUEST	3214		Login	1590958800250	1590958800251	OK	 
REQUEST	2173		Logged Redirect 1	1590958800250	1590958800252	OK	 
REQUEST	2213		Logged Redirect 1	1590958800251	1590958800252	OK	 
REQUEST	694		MyMensajes	1590958800260	1590958800262	OK	 
REQUEST	653		MyMensajes	1590958800260	1590958800262	OK	 
USER	VerMensajeTestPositivo	4016	START	1590958800270	1590958800270
USER	VerMensajesTestNegativo	4055	START	1590958800270	1590958800270
REQUEST	4055		Welcome	1590958800271	1590958800273	OK	 
REQUEST	4016		Welcome	1590958800271	1590958800273	OK	 
REQUEST	3254		Login	1590958800281	1590958800282	OK	 
REQUEST	3215		Login	1590958800281	1590958800283	OK	 
REQUEST	695		MyMensajes	1590958800281	1590958800283	OK	 
USER	VerMensajesTestNegativo	4056	START	1590958800286	1590958800286
USER	VerMensajeTestPositivo	4017	START	1590958800286	1590958800286
REQUEST	2174		Logged	1590958800286	1590958800287	OK	 
REQUEST	2214		Logged	1590958800286	1590958800287	OK	 
REQUEST	654		MyMensajes	1590958800286	1590958800288	OK	 
REQUEST	4017		Welcome	1590958800286	1590958800288	OK	 
REQUEST	4056		Welcome	1590958800286	1590958800288	OK	 
REQUEST	2214		Logged Redirect 1	1590958800287	1590958800289	OK	 
REQUEST	2174		Logged Redirect 1	1590958800287	1590958800289	OK	 
REQUEST	3216		Login	1590958800296	1590958800297	OK	 
REQUEST	3255		Login	1590958800296	1590958800298	OK	 
REQUEST	2215		Logged	1590958800307	1590958800307	OK	 
REQUEST	2175		Logged	1590958800307	1590958800308	OK	 
REQUEST	696		MyMensajes	1590958800307	1590958800308	OK	 
REQUEST	655		MyMensajes	1590958800307	1590958800309	OK	 
REQUEST	2175		Logged Redirect 1	1590958800308	1590958800309	OK	 
REQUEST	2215		Logged Redirect 1	1590958800307	1590958800309	OK	 
USER	VerMensajeTestPositivo	4018	START	1590958800317	1590958800317
USER	VerMensajesTestNegativo	4057	START	1590958800317	1590958800317
REQUEST	4057		Welcome	1590958800318	1590958800320	OK	 
REQUEST	4018		Welcome	1590958800318	1590958800320	OK	 
REQUEST	3256		Login	1590958800328	1590958800329	OK	 
REQUEST	3217		Login	1590958800328	1590958800330	OK	 
USER	VerMensajeTestPositivo	4019	START	1590958800339	1590958800339
USER	VerMensajesTestNegativo	4058	START	1590958800339	1590958800339
REQUEST	2176		Logged	1590958800339	1590958800339	OK	 
REQUEST	2216		Logged	1590958800339	1590958800340	OK	 
REQUEST	656		MyMensajes	1590958800339	1590958800340	OK	 
REQUEST	697		MyMensajes	1590958800339	1590958800341	OK	 
REQUEST	2176		Logged Redirect 1	1590958800339	1590958800341	OK	 
REQUEST	4058		Welcome	1590958800339	1590958800342	OK	 
REQUEST	4019		Welcome	1590958800339	1590958800342	OK	 
REQUEST	2216		Logged Redirect 1	1590958800340	1590958800342	OK	 
REQUEST	3257		Login	1590958800349	1590958800350	OK	 
REQUEST	2177		Logged	1590958800349	1590958800350	OK	 
REQUEST	3218		Login	1590958800349	1590958800351	OK	 
REQUEST	2217		Logged	1590958800349	1590958800351	OK	 
REQUEST	2177		Logged Redirect 1	1590958800350	1590958800352	OK	 
REQUEST	2217		Logged Redirect 1	1590958800351	1590958800352	OK	 
REQUEST	657		MyMensajes	1590958800360	1590958800362	OK	 
REQUEST	698		MyMensajes	1590958800360	1590958800362	OK	 
USER	VerMensajesTestNegativo	4059	START	1590958800371	1590958800371
USER	VerMensajeTestPositivo	4020	START	1590958800371	1590958800371
REQUEST	658		MyMensajes	1590958800371	1590958800372	OK	 
REQUEST	699		MyMensajes	1590958800371	1590958800373	OK	 
REQUEST	4059		Welcome	1590958800371	1590958800373	OK	 
REQUEST	4020		Welcome	1590958800371	1590958800373	OK	 
REQUEST	3219		Login	1590958800382	1590958800382	OK	 
REQUEST	3258		Login	1590958800382	1590958800383	OK	 
USER	VerMensajesTestNegativo	4060	START	1590958800386	1590958800386
USER	VerMensajeTestPositivo	4021	START	1590958800386	1590958800386
REQUEST	2218		Logged	1590958800386	1590958800387	OK	 
REQUEST	2178		Logged	1590958800386	1590958800387	OK	 
REQUEST	4060		Welcome	1590958800386	1590958800389	OK	 
REQUEST	2178		Logged Redirect 1	1590958800387	1590958800389	OK	 
REQUEST	4021		Welcome	1590958800386	1590958800389	OK	 
REQUEST	2218		Logged Redirect 1	1590958800387	1590958800389	OK	 
REQUEST	3259		Login	1590958800396	1590958800397	OK	 
REQUEST	3220		Login	1590958800396	1590958800398	OK	 
REQUEST	2179		Logged	1590958800408	1590958800408	OK	 
REQUEST	2219		Logged	1590958800408	1590958800409	OK	 
REQUEST	700		MyMensajes	1590958800407	1590958800409	OK	 
REQUEST	2179		Logged Redirect 1	1590958800408	1590958800410	OK	 
REQUEST	659		MyMensajes	1590958800407	1590958800411	OK	 
REQUEST	2219		Logged Redirect 1	1590958800409	1590958800411	OK	 
USER	VerMensajeTestPositivo	4022	START	1590958800418	1590958800418
USER	VerMensajesTestNegativo	4061	START	1590958800418	1590958800418
REQUEST	2220		Logged	1590958800418	1590958800419	OK	 
REQUEST	2180		Logged	1590958800418	1590958800420	OK	 
REQUEST	2220		Logged Redirect 1	1590958800419	1590958800421	OK	 
REQUEST	4061		Welcome	1590958800419	1590958800421	OK	 
REQUEST	4022		Welcome	1590958800419	1590958800422	OK	 
REQUEST	2180		Logged Redirect 1	1590958800420	1590958800422	OK	 
REQUEST	3221		Login	1590958800429	1590958800429	OK	 
REQUEST	3260		Login	1590958800429	1590958800430	OK	 
USER	VerMensajesTestNegativo	4062	START	1590958800439	1590958800439
USER	VerMensajeTestPositivo	4023	START	1590958800439	1590958800439
REQUEST	701		MyMensajes	1590958800439	1590958800441	OK	 
REQUEST	660		MyMensajes	1590958800439	1590958800442	OK	 
REQUEST	4062		Welcome	1590958800439	1590958800442	OK	 
REQUEST	4023		Welcome	1590958800439	1590958800442	OK	 
REQUEST	3261		Login	1590958800449	1590958800450	OK	 
REQUEST	3222		Login	1590958800449	1590958800451	OK	 
REQUEST	661		MyMensajes	1590958800449	1590958800451	OK	 
REQUEST	702		MyMensajes	1590958800449	1590958800452	OK	 
REQUEST	2221		Logged	1590958800459	1590958800460	OK	 
REQUEST	2181		Logged	1590958800459	1590958800461	OK	 
REQUEST	2221		Logged Redirect 1	1590958800460	1590958800462	OK	 
REQUEST	2181		Logged Redirect 1	1590958800461	1590958800463	OK	 
USER	VerMensajeTestPositivo	4024	START	1590958800470	1590958800470
USER	VerMensajesTestNegativo	4063	START	1590958800470	1590958800470
REQUEST	4063		Welcome	1590958800470	1590958800473	OK	 
REQUEST	4024		Welcome	1590958800470	1590958800473	OK	 
REQUEST	3223		Login	1590958800481	1590958800482	OK	 
REQUEST	3262		Login	1590958800481	1590958800483	OK	 
USER	VerMensajeTestPositivo	4025	START	1590958800486	1590958800486
USER	VerMensajesTestNegativo	4064	START	1590958800486	1590958800486
REQUEST	2222		Logged	1590958800486	1590958800487	OK	 
REQUEST	703		MyMensajes	1590958800486	1590958800487	OK	 
REQUEST	2182		Logged	1590958800486	1590958800488	OK	 
REQUEST	662		MyMensajes	1590958800486	1590958800488	OK	 
REQUEST	2222		Logged Redirect 1	1590958800487	1590958800488	OK	 
REQUEST	4064		Welcome	1590958800486	1590958800489	OK	 
REQUEST	4025		Welcome	1590958800486	1590958800489	OK	 
REQUEST	2182		Logged Redirect 1	1590958800488	1590958800490	OK	 
REQUEST	3224		Login	1590958800496	1590958800497	OK	 
REQUEST	663		MyMensajes	1590958800496	1590958800510	OK	 
REQUEST	3263		Login	1590958800496	1590958800510	OK	 
REQUEST	704		MyMensajes	1590958800496	1590958800510	OK	 
REQUEST	2223		Logged	1590958800510	1590958800510	OK	 
REQUEST	2183		Logged	1590958800510	1590958800511	OK	 
REQUEST	2223		Logged Redirect 1	1590958800510	1590958800512	OK	 
REQUEST	2183		Logged Redirect 1	1590958800511	1590958800512	OK	 
USER	VerMensajeTestPositivo	4026	START	1590958800520	1590958800520
USER	VerMensajesTestNegativo	4065	START	1590958800520	1590958800520
REQUEST	664		MyMensajes	1590958800520	1590958800525	OK	 
REQUEST	705		MyMensajes	1590958800520	1590958800527	OK	 
REQUEST	4026		Welcome	1590958800521	1590958800528	OK	 
REQUEST	4065		Welcome	1590958800521	1590958800529	OK	 
REQUEST	3225		Login	1590958800531	1590958800532	OK	 
REQUEST	3264		Login	1590958800531	1590958800533	OK	 
USER	VerMensajesTestNegativo	4066	START	1590958800542	1590958800542
USER	VerMensajeTestPositivo	4027	START	1590958800542	1590958800542
REQUEST	2224		Logged	1590958800542	1590958800543	OK	 
REQUEST	2184		Logged	1590958800542	1590958800544	OK	 
REQUEST	3226		Login	1590958800546	1590958800547	OK	 
REQUEST	4027		Welcome	1590958800542	1590958800547	OK	 
REQUEST	2224		Logged Redirect 1	1590958800543	1590958800547	OK	 
REQUEST	4066		Welcome	1590958800542	1590958800547	OK	 
REQUEST	2184		Logged Redirect 1	1590958800544	1590958800548	OK	 
REQUEST	3265		Login	1590958800546	1590958800548	OK	 
REQUEST	2185		Logged	1590958800557	1590958800557	OK	 
REQUEST	2225		Logged	1590958800557	1590958800558	OK	 
REQUEST	706		MyMensajes	1590958800557	1590958800558	OK	 
REQUEST	2225		Logged Redirect 1	1590958800558	1590958800560	OK	 
REQUEST	2185		Logged Redirect 1	1590958800557	1590958800560	OK	 
REQUEST	665		MyMensajes	1590958800557	1590958800560	OK	 
USER	VerMensajesTestNegativo	4067	START	1590958800567	1590958800567
USER	VerMensajeTestPositivo	4028	START	1590958800567	1590958800567
REQUEST	4028		Welcome	1590958800567	1590958800569	OK	 
REQUEST	4067		Welcome	1590958800567	1590958800569	OK	 
REQUEST	3266		Login	1590958800578	1590958800579	OK	 
REQUEST	3227		Login	1590958800578	1590958800579	OK	 
REQUEST	707		MyMensajes	1590958800578	1590958800580	OK	 
REQUEST	666		MyMensajes	1590958800578	1590958800581	OK	 
USER	VerMensajeTestPositivo	4029	START	1590958800588	1590958800588
USER	VerMensajesTestNegativo	4068	START	1590958800588	1590958800588
REQUEST	2186		Logged	1590958800588	1590958800589	OK	 
REQUEST	3267		Login	1590958800588	1590958800589	OK	 
REQUEST	708		MyMensajes	1590958800588	1590958800590	OK	 
REQUEST	667		MyMensajes	1590958800588	1590958800590	OK	 
REQUEST	2226		Logged	1590958800588	1590958800590	OK	 
REQUEST	3228		Login	1590958800588	1590958800591	OK	 
REQUEST	4068		Welcome	1590958800589	1590958800591	OK	 
REQUEST	4029		Welcome	1590958800589	1590958800591	OK	 
REQUEST	2186		Logged Redirect 1	1590958800589	1590958800591	OK	 
REQUEST	2226		Logged Redirect 1	1590958800591	1590958800593	OK	 
REQUEST	2187		Logged	1590958800599	1590958800599	OK	 
REQUEST	2227		Logged	1590958800599	1590958800600	OK	 
REQUEST	2187		Logged Redirect 1	1590958800600	1590958800601	OK	 
REQUEST	2227		Logged Redirect 1	1590958800600	1590958800602	OK	 
USER	VerMensajesTestNegativo	4069	START	1590958800621	1590958800621
USER	VerMensajeTestPositivo	4030	START	1590958800621	1590958800621
REQUEST	4030		Welcome	1590958800621	1590958800623	OK	 
REQUEST	4069		Welcome	1590958800621	1590958800623	OK	 
REQUEST	3229		Login	1590958800631	1590958800632	OK	 
REQUEST	3268		Login	1590958800631	1590958800632	OK	 
USER	VerMensajeTestPositivo	4031	START	1590958800642	1590958800642
USER	VerMensajesTestNegativo	4070	START	1590958800642	1590958800642
REQUEST	2188		Logged	1590958800642	1590958800643	OK	 
REQUEST	668		MyMensajes	1590958800642	1590958800644	OK	 
REQUEST	2228		Logged	1590958800642	1590958800644	OK	 
REQUEST	2188		Logged Redirect 1	1590958800643	1590958800645	OK	 
REQUEST	709		MyMensajes	1590958800642	1590958800645	OK	 
REQUEST	4070		Welcome	1590958800642	1590958800646	OK	 
REQUEST	4031		Welcome	1590958800642	1590958800646	OK	 
REQUEST	2228		Logged Redirect 1	1590958800644	1590958800646	OK	 
REQUEST	3269		Login	1590958800646	1590958800647	OK	 
REQUEST	3230		Login	1590958800646	1590958800647	OK	 
REQUEST	2229		Logged	1590958800646	1590958800647	OK	 
REQUEST	2189		Logged	1590958800646	1590958800647	OK	 
REQUEST	2189		Logged Redirect 1	1590958800647	1590958800648	OK	 
REQUEST	2229		Logged Redirect 1	1590958800647	1590958800648	OK	 
REQUEST	669		MyMensajes	1590958800656	1590958800658	OK	 
REQUEST	710		MyMensajes	1590958800656	1590958800658	OK	 
