ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMensajesTest	vermensajestest	1590958749112	 	3.3.1
REQUEST	25		Welcome	1590958750561	1590958750563	OK	 
USER	VerMensajesTestNegativo	107	START	1590958750572	1590958750572
REQUEST	107		Welcome	1590958750572	1590958750575	OK	 
USER	VerMensajeTestPositivo	26	START	1590958750576	1590958750576
REQUEST	26		Welcome	1590958750577	1590958750579	OK	 
USER	VerMensajesTestNegativo	108	START	1590958750586	1590958750586
REQUEST	108		Welcome	1590958750586	1590958750589	OK	 
USER	VerMensajeTestPositivo	27	START	1590958750607	1590958750607
REQUEST	27		Welcome	1590958750607	1590958750609	OK	 
USER	VerMensajesTestNegativo	109	START	1590958750618	1590958750618
REQUEST	109		Welcome	1590958750618	1590958750620	OK	 
USER	VerMensajeTestPositivo	28	START	1590958750628	1590958750628
REQUEST	28		Welcome	1590958750628	1590958750630	OK	 
USER	VerMensajesTestNegativo	110	START	1590958750638	1590958750638
REQUEST	110		Welcome	1590958750639	1590958750641	OK	 
USER	VerMensajeTestPositivo	29	START	1590958750661	1590958750661
REQUEST	29		Welcome	1590958750661	1590958750663	OK	 
USER	VerMensajesTestNegativo	111	START	1590958750672	1590958750672
REQUEST	111		Welcome	1590958750672	1590958750674	OK	 
USER	VerMensajeTestPositivo	30	START	1590958750676	1590958750676
REQUEST	30		Welcome	1590958750676	1590958750679	OK	 
USER	VerMensajesTestNegativo	112	START	1590958750687	1590958750687
REQUEST	112		Welcome	1590958750687	1590958750690	OK	 
USER	VerMensajeTestPositivo	31	START	1590958750708	1590958750708
REQUEST	31		Welcome	1590958750708	1590958750711	OK	 
USER	VerMensajesTestNegativo	113	START	1590958750718	1590958750718
REQUEST	113		Welcome	1590958750719	1590958750721	OK	 
USER	VerMensajeTestPositivo	32	START	1590958750729	1590958750729
REQUEST	32		Welcome	1590958750730	1590958750732	OK	 
USER	VerMensajesTestNegativo	114	START	1590958750739	1590958750739
REQUEST	114		Welcome	1590958750740	1590958750742	OK	 
USER	VerMensajeTestPositivo	33	START	1590958750760	1590958750760
REQUEST	33		Welcome	1590958750760	1590958750762	OK	 
USER	VerMensajesTestNegativo	115	START	1590958750770	1590958750770
REQUEST	115		Welcome	1590958750771	1590958750773	OK	 
USER	VerMensajeTestPositivo	34	START	1590958750781	1590958750781
REQUEST	34		Welcome	1590958750782	1590958750784	OK	 
USER	VerMensajesTestNegativo	116	START	1590958750786	1590958750786
REQUEST	116		Welcome	1590958750786	1590958750788	OK	 
USER	VerMensajeTestPositivo	35	START	1590958750806	1590958750806
REQUEST	35		Welcome	1590958750807	1590958750809	OK	 
USER	VerMensajesTestNegativo	117	START	1590958750817	1590958750817
REQUEST	117		Welcome	1590958750818	1590958750820	OK	 
USER	VerMensajeTestPositivo	36	START	1590958750828	1590958750828
REQUEST	36		Welcome	1590958750828	1590958750830	OK	 
USER	VerMensajesTestNegativo	118	START	1590958750838	1590958750838
REQUEST	118		Welcome	1590958750838	1590958750841	OK	 
USER	VerMensajeTestPositivo	37	START	1590958750860	1590958750860
REQUEST	37		Welcome	1590958750860	1590958750863	OK	 
USER	VerMensajesTestNegativo	119	START	1590958750870	1590958750870
REQUEST	119		Welcome	1590958750870	1590958750873	OK	 
USER	VerMensajeTestPositivo	38	START	1590958750881	1590958750881
REQUEST	38		Welcome	1590958750881	1590958750883	OK	 
USER	VerMensajesTestNegativo	120	START	1590958750891	1590958750891
REQUEST	120		Welcome	1590958750891	1590958750893	OK	 
USER	VerMensajeTestPositivo	39	START	1590958750912	1590958750912
REQUEST	39		Welcome	1590958750912	1590958750914	OK	 
USER	VerMensajesTestNegativo	121	START	1590958750916	1590958750916
REQUEST	121		Welcome	1590958750916	1590958750919	OK	 
USER	VerMensajeTestPositivo	40	START	1590958750926	1590958750926
REQUEST	40		Welcome	1590958750926	1590958750929	OK	 
USER	VerMensajesTestNegativo	122	START	1590958750937	1590958750937
REQUEST	122		Welcome	1590958750937	1590958750940	OK	 
USER	VerMensajeTestPositivo	41	START	1590958750959	1590958750959
REQUEST	41		Welcome	1590958750959	1590958750961	OK	 
USER	VerMensajesTestNegativo	123	START	1590958750969	1590958750969
REQUEST	123		Welcome	1590958750970	1590958750972	OK	 
USER	VerMensajeTestPositivo	42	START	1590958750980	1590958750980
REQUEST	42		Welcome	1590958750981	1590958750983	OK	 
USER	VerMensajesTestNegativo	124	START	1590958750991	1590958750991
REQUEST	124		Welcome	1590958750991	1590958750993	OK	 
USER	VerMensajeTestPositivo	43	START	1590958751006	1590958751006
REQUEST	43		Welcome	1590958751006	1590958751009	OK	 
USER	VerMensajesTestNegativo	125	START	1590958751017	1590958751017
REQUEST	125		Welcome	1590958751017	1590958751019	OK	 
USER	VerMensajeTestPositivo	44	START	1590958751028	1590958751028
REQUEST	44		Welcome	1590958751028	1590958751030	OK	 
USER	VerMensajesTestNegativo	126	START	1590958751039	1590958751039
REQUEST	126		Welcome	1590958751039	1590958751041	OK	 
