ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257529057	 	3.3.1
USER	AceptarLocalTestNegativo	32	START	1590257530286	1590257530286
USER	AceptarLocalTestPositivo	1	START	1590257530276	1590257530276
REQUEST	32		Welcome	1590257530302	1590257530316	OK	 
REQUEST	1		Welcome	1590257530302	1590257530316	OK	 
USER	AceptarLocalTestNegativo	33	START	1590257530347	1590257530347
USER	AceptarLocalTestPositivo	2	START	1590257530347	1590257530347
REQUEST	33		Welcome	1590257530347	1590257530350	OK	 
REQUEST	2		Welcome	1590257530347	1590257530350	OK	 
USER	AceptarLocalTestNegativo	34	START	1590257530419	1590257530419
REQUEST	34		Welcome	1590257530420	1590257530423	OK	 
USER	AceptarLocalTestPositivo	3	START	1590257530434	1590257530434
REQUEST	3		Welcome	1590257530435	1590257530438	OK	 
USER	AceptarLocalTestPositivo	4	START	1590257530497	1590257530497
USER	AceptarLocalTestNegativo	35	START	1590257530497	1590257530497
REQUEST	35		Welcome	1590257530498	1590257530501	OK	 
REQUEST	4		Welcome	1590257530497	1590257530501	OK	 
USER	AceptarLocalTestNegativo	36	START	1590257530547	1590257530547
REQUEST	36		Welcome	1590257530547	1590257530551	OK	 
USER	AceptarLocalTestPositivo	5	START	1590257530575	1590257530575
REQUEST	5		Welcome	1590257530576	1590257530579	OK	 
USER	AceptarLocalTestNegativo	37	START	1590257530622	1590257530622
REQUEST	37		Welcome	1590257530622	1590257530626	OK	 
USER	AceptarLocalTestPositivo	6	START	1590257530627	1590257530627
REQUEST	6		Welcome	1590257530627	1590257530630	OK	 
USER	AceptarLocalTestNegativo	38	START	1590257530687	1590257530687
REQUEST	38		Welcome	1590257530687	1590257530691	OK	 
USER	AceptarLocalTestPositivo	7	START	1590257530716	1590257530716
REQUEST	7		Welcome	1590257530716	1590257530720	OK	 
USER	AceptarLocalTestNegativo	39	START	1590257530747	1590257530747
REQUEST	39		Welcome	1590257530747	1590257530750	OK	 
USER	AceptarLocalTestPositivo	8	START	1590257530763	1590257530763
REQUEST	8		Welcome	1590257530763	1590257530766	OK	 
USER	AceptarLocalTestNegativo	40	START	1590257530817	1590257530817
REQUEST	40		Welcome	1590257530817	1590257530820	OK	 
USER	AceptarLocalTestPositivo	9	START	1590257530828	1590257530828
REQUEST	9		Welcome	1590257530828	1590257530830	OK	 
USER	AceptarLocalTestNegativo	41	START	1590257530890	1590257530890
REQUEST	41		Welcome	1590257530891	1590257530894	OK	 
USER	AceptarLocalTestPositivo	10	START	1590257530906	1590257530906
