ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851890831	 	3.3.1
USER	VerDashboardNegativo	22	START	1590851891711	1590851891711
USER	VerDashboardPositivo	1	START	1590851891701	1590851891701
REQUEST	22		Home	1590851891734	1590851891752	OK	 
REQUEST	1		Home	1590851891734	1590851891752	OK	 
USER	VerDashboardNegativo	23	START	1590851891811	1590851891811
REQUEST	23		Home	1590851891811	1590851891815	OK	 
USER	VerDashboardPositivo	2	START	1590851891821	1590851891821
REQUEST	2		Home	1590851891822	1590851891828	OK	 
USER	VerDashboardNegativo	24	START	1590851891907	1590851891907
REQUEST	24		Home	1590851891907	1590851891912	OK	 
USER	VerDashboardPositivo	3	START	1590851891917	1590851891917
REQUEST	3		Home	1590851891918	1590851891922	OK	 
USER	VerDashboardNegativo	25	START	1590851892007	1590851892007
REQUEST	25		Home	1590851892007	1590851892012	OK	 
USER	VerDashboardPositivo	4	START	1590851892017	1590851892017
REQUEST	4		Home	1590851892017	1590851892022	OK	 
USER	VerDashboardNegativo	26	START	1590851892111	1590851892111
REQUEST	26		Home	1590851892111	1590851892115	OK	 
USER	VerDashboardPositivo	5	START	1590851892131	1590851892131
REQUEST	5		Home	1590851892131	1590851892136	OK	 
USER	VerDashboardNegativo	27	START	1590851892207	1590851892207
REQUEST	27		Home	1590851892208	1590851892212	OK	 
USER	VerDashboardPositivo	6	START	1590851892227	1590851892227
REQUEST	6		Home	1590851892228	1590851892231	OK	 
USER	VerDashboardNegativo	28	START	1590851892310	1590851892310
REQUEST	28		Home	1590851892311	1590851892315	OK	 
USER	VerDashboardPositivo	7	START	1590851892331	1590851892331
REQUEST	7		Home	1590851892332	1590851892335	OK	 
USER	VerDashboardNegativo	29	START	1590851892407	1590851892407
REQUEST	29		Home	1590851892408	1590851892412	OK	 
USER	VerDashboardPositivo	8	START	1590851892428	1590851892428
REQUEST	8		Home	1590851892428	1590851892431	OK	 
USER	VerDashboardNegativo	30	START	1590851892511	1590851892511
REQUEST	30		Home	1590851892511	1590851892515	OK	 
USER	VerDashboardPositivo	9	START	1590851892531	1590851892531
REQUEST	9		Home	1590851892532	1590851892535	OK	 
USER	VerDashboardNegativo	31	START	1590851892607	1590851892607
REQUEST	31		Home	1590851892608	1590851892612	OK	 
USER	VerDashboardPositivo	10	START	1590851892628	1590851892628
REQUEST	10		Home	1590851892629	1590851892632	OK	 
USER	VerDashboardNegativo	32	START	1590851892707	1590851892707
REQUEST	32		Home	1590851892707	1590851892711	OK	 
USER	VerDashboardPositivo	11	START	1590851892727	1590851892727
REQUEST	11		Home	1590851892728	1590851892731	OK	 
USER	VerDashboardNegativo	33	START	1590851892810	1590851892810
REQUEST	33		Home	1590851892810	1590851892815	OK	 
