ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearLocalTest	crearlocaltest	1590260012381	 	3.3.1
USER	CrearLocalTestNegativo	55	START	1590260014293	1590260014293
REQUEST	55		Welcome	1590260014294	1590260014296	OK	 
USER	CrearLocalTestPositivo	14	START	1590260014308	1590260014308
REQUEST	14		Welcome	1590260014309	1590260014313	OK	 
USER	CrearLocalTestNegativo	56	START	1590260014329	1590260014329
REQUEST	56		Welcome	1590260014329	1590260014332	OK	 
USER	CrearLocalTestPositivo	15	START	1590260014356	1590260014356
REQUEST	15		Welcome	1590260014356	1590260014359	OK	 
USER	CrearLocalTestNegativo	57	START	1590260014387	1590260014387
REQUEST	57		Welcome	1590260014388	1590260014390	OK	 
USER	CrearLocalTestPositivo	16	START	1590260014413	1590260014413
REQUEST	16		Welcome	1590260014413	1590260014417	OK	 
USER	CrearLocalTestNegativo	58	START	1590260014429	1590260014429
REQUEST	58		Welcome	1590260014429	1590260014432	OK	 
USER	CrearLocalTestPositivo	17	START	1590260014449	1590260014449
REQUEST	17		Welcome	1590260014449	1590260014452	OK	 
USER	CrearLocalTestNegativo	59	START	1590260014479	1590260014479
REQUEST	59		Welcome	1590260014479	1590260014481	OK	 
USER	CrearLocalTestPositivo	18	START	1590260014507	1590260014507
REQUEST	18		Welcome	1590260014508	1590260014511	OK	 
USER	CrearLocalTestNegativo	60	START	1590260014539	1590260014539
REQUEST	60		Welcome	1590260014539	1590260014543	OK	 
USER	CrearLocalTestPositivo	19	START	1590260014554	1590260014554
REQUEST	19		Welcome	1590260014555	1590260014557	OK	 
USER	CrearLocalTestNegativo	61	START	1590260014585	1590260014585
REQUEST	61		Welcome	1590260014586	1590260014589	OK	 
USER	CrearLocalTestPositivo	20	START	1590260014601	1590260014601
REQUEST	20		Welcome	1590260014602	1590260014605	OK	 
USER	CrearLocalTestNegativo	62	START	1590260014632	1590260014632
REQUEST	62		Welcome	1590260014633	1590260014637	OK	 
USER	CrearLocalTestPositivo	21	START	1590260014649	1590260014649
REQUEST	21		Welcome	1590260014649	1590260014652	OK	 
USER	CrearLocalTestNegativo	63	START	1590260014679	1590260014679
REQUEST	63		Welcome	1590260014680	1590260014682	OK	 
USER	CrearLocalTestPositivo	22	START	1590260014700	1590260014700
REQUEST	22		Welcome	1590260014700	1590260014705	OK	 
USER	CrearLocalTestNegativo	64	START	1590260014729	1590260014729
REQUEST	64		Welcome	1590260014729	1590260014731	OK	 
USER	CrearLocalTestPositivo	23	START	1590260014758	1590260014758
REQUEST	23		Welcome	1590260014759	1590260014761	OK	 
USER	CrearLocalTestNegativo	65	START	1590260014789	1590260014789
REQUEST	65		Welcome	1590260014790	1590260014792	OK	 
USER	CrearLocalTestPositivo	24	START	1590260014805	1590260014805
REQUEST	24		Welcome	1590260014805	1590260014807	OK	 
USER	CrearLocalTestNegativo	66	START	1590260014836	1590260014836
REQUEST	66		Welcome	1590260014836	1590260014839	OK	 
USER	CrearLocalTestPositivo	25	START	1590260014851	1590260014851
REQUEST	25		Welcome	1590260014852	1590260014854	OK	 
USER	CrearLocalTestNegativo	67	START	1590260014883	1590260014883
REQUEST	67		Welcome	1590260014884	1590260014886	OK	 
USER	CrearLocalTestPositivo	26	START	1590260014899	1590260014899
REQUEST	26		Welcome	1590260014899	1590260014902	OK	 
USER	CrearLocalTestNegativo	68	START	1590260014945	1590260014945
REQUEST	68		Welcome	1590260014946	1590260014949	OK	 
USER	CrearLocalTestPositivo	27	START	1590260014949	1590260014949
REQUEST	27		Welcome	1590260014949	1590260014951	OK	 
USER	CrearLocalTestNegativo	69	START	1590260014979	1590260014979
REQUEST	69		Welcome	1590260014979	1590260014981	OK	 
USER	CrearLocalTestPositivo	28	START	1590260015008	1590260015008
REQUEST	28		Welcome	1590260015009	1590260015011	OK	 
USER	CrearLocalTestNegativo	70	START	1590260015039	1590260015039
REQUEST	70		Welcome	1590260015040	1590260015042	OK	 
USER	CrearLocalTestPositivo	29	START	1590260015055	1590260015055
REQUEST	29		Welcome	1590260015055	1590260015057	OK	 
USER	CrearLocalTestNegativo	71	START	1590260015086	1590260015086
REQUEST	71		Welcome	1590260015087	1590260015089	OK	 
USER	CrearLocalTestPositivo	30	START	1590260015102	1590260015102
REQUEST	30		Welcome	1590260015102	1590260015105	OK	 
USER	CrearLocalTestNegativo	72	START	1590260015133	1590260015133
REQUEST	72		Welcome	1590260015134	1590260015138	OK	 
USER	CrearLocalTestPositivo	31	START	1590260015149	1590260015149
REQUEST	31		Welcome	1590260015149	1590260015152	OK	 
USER	CrearLocalTestNegativo	73	START	1590260015180	1590260015180
REQUEST	73		Welcome	1590260015180	1590260015182	OK	 
USER	CrearLocalTestPositivo	32	START	1590260015199	1590260015199
REQUEST	32		Welcome	1590260015199	1590260015201	OK	 
USER	CrearLocalTestNegativo	74	START	1590260015229	1590260015229
REQUEST	74		Welcome	1590260015229	1590260015231	OK	 
USER	CrearLocalTestPositivo	33	START	1590260015258	1590260015258
REQUEST	33		Welcome	1590260015258	1590260015261	OK	 
USER	CrearLocalTestNegativo	75	START	1590260015289	1590260015289
REQUEST	75		Welcome	1590260015290	1590260015295	OK	 
USER	CrearLocalTestPositivo	34	START	1590260015321	1590260015321
REQUEST	34		Welcome	1590260015322	1590260015327	OK	 
USER	CrearLocalTestNegativo	76	START	1590260015336	1590260015336
REQUEST	76		Welcome	1590260015337	1590260015343	OK	 
USER	CrearLocalTestPositivo	35	START	1590260015352	1590260015352
REQUEST	35		Welcome	1590260015353	1590260015357	OK	 
USER	CrearLocalTestNegativo	77	START	1590260015383	1590260015383
REQUEST	77		Welcome	1590260015383	1590260015385	OK	 
USER	CrearLocalTestPositivo	36	START	1590260015399	1590260015399
REQUEST	36		Welcome	1590260015399	1590260015401	OK	 
USER	CrearLocalTestNegativo	78	START	1590260015445	1590260015445
REQUEST	78		Welcome	1590260015446	1590260015448	OK	 
USER	CrearLocalTestPositivo	37	START	1590260015449	1590260015449
REQUEST	37		Welcome	1590260015449	1590260015451	OK	 
USER	CrearLocalTestNegativo	79	START	1590260015479	1590260015479
REQUEST	79		Welcome	1590260015479	1590260015481	OK	 
USER	CrearLocalTestPositivo	38	START	1590260015508	1590260015508
REQUEST	38		Welcome	1590260015508	1590260015511	OK	 
USER	CrearLocalTestNegativo	80	START	1590260015539	1590260015539
REQUEST	80		Welcome	1590260015540	1590260015543	OK	 
USER	CrearLocalTestPositivo	39	START	1590260015570	1590260015570
REQUEST	39		Welcome	1590260015571	1590260015573	OK	 
USER	CrearLocalTestNegativo	81	START	1590260015586	1590260015586
REQUEST	81		Welcome	1590260015587	1590260015589	OK	 
USER	CrearLocalTestPositivo	40	START	1590260015602	1590260015602
REQUEST	40		Welcome	1590260015603	1590260015606	OK	 
USER	CrearLocalTestNegativo	82	START	1590260015633	1590260015633
REQUEST	82		Welcome	1590260015633	1590260015638	OK	 
USER	CrearLocalTestPositivo	41	START	1590260015649	1590260015649
REQUEST	41		Welcome	1590260015650	1590260015654	OK	 
USER	CrearLocalTestPositivo	83	START	1590260015695	1590260015695
USER	CrearLocalTestNegativo	103	START	1590260015695	1590260015695
REQUEST	83		Welcome	1590260015696	1590260015701	OK	 
REQUEST	103		Welcome	1590260015696	1590260015701	OK	 
USER	CrearLocalTestPositivo	84	START	1590260015748	1590260015748
USER	CrearLocalTestNegativo	104	START	1590260015748	1590260015748
REQUEST	104		Welcome	1590260015748	1590260015751	OK	 
REQUEST	84		Welcome	1590260015748	1590260015751	OK	 
USER	CrearLocalTestNegativo	105	START	1590260015794	1590260015794
USER	CrearLocalTestPositivo	85	START	1590260015794	1590260015794
REQUEST	105		Welcome	1590260015795	1590260015797	OK	 
REQUEST	85		Welcome	1590260015795	1590260015797	OK	 
USER	CrearLocalTestPositivo	86	START	1590260015841	1590260015841
USER	CrearLocalTestNegativo	106	START	1590260015841	1590260015841
REQUEST	86		Welcome	1590260015842	1590260015844	OK	 
REQUEST	106		Welcome	1590260015842	1590260015844	OK	 
USER	CrearLocalTestPositivo	87	START	1590260015904	1590260015904
USER	CrearLocalTestNegativo	107	START	1590260015904	1590260015904
REQUEST	87		Welcome	1590260015904	1590260015906	OK	 
REQUEST	107		Welcome	1590260015904	1590260015906	OK	 
USER	CrearLocalTestNegativo	108	START	1590260015939	1590260015939
USER	CrearLocalTestPositivo	88	START	1590260015939	1590260015939
REQUEST	108		Welcome	1590260015939	1590260015941	OK	 
REQUEST	88		Welcome	1590260015939	1590260015941	OK	 
USER	CrearLocalTestNegativo	109	START	1590260015997	1590260015997
USER	CrearLocalTestPositivo	89	START	1590260015997	1590260015997
REQUEST	109		Welcome	1590260015998	1590260016002	OK	 
REQUEST	89		Welcome	1590260015998	1590260016002	OK	 
USER	CrearLocalTestPositivo	90	START	1590260016044	1590260016044
USER	CrearLocalTestNegativo	110	START	1590260016044	1590260016044
REQUEST	110		Welcome	1590260016045	1590260016047	OK	 
REQUEST	90		Welcome	1590260016045	1590260016047	OK	 
USER	CrearLocalTestNegativo	111	START	1590260016091	1590260016091
USER	CrearLocalTestPositivo	91	START	1590260016091	1590260016091
REQUEST	91		Welcome	1590260016092	1590260016094	OK	 
REQUEST	111		Welcome	1590260016092	1590260016094	OK	 
USER	CrearLocalTestNegativo	112	START	1590260016141	1590260016141
USER	CrearLocalTestPositivo	92	START	1590260016141	1590260016141
REQUEST	112		Welcome	1590260016142	1590260016144	OK	 
REQUEST	92		Welcome	1590260016142	1590260016144	OK	 
USER	CrearLocalTestNegativo	113	START	1590260016189	1590260016189
USER	CrearLocalTestPositivo	93	START	1590260016189	1590260016189
REQUEST	113		Welcome	1590260016189	1590260016191	OK	 
REQUEST	93		Welcome	1590260016189	1590260016191	OK	 
USER	CrearLocalTestNegativo	114	START	1590260016239	1590260016239
USER	CrearLocalTestPositivo	94	START	1590260016239	1590260016239
REQUEST	94		Welcome	1590260016239	1590260016241	OK	 
REQUEST	114		Welcome	1590260016239	1590260016241	OK	 
USER	CrearLocalTestPositivo	95	START	1590260016297	1590260016297
USER	CrearLocalTestNegativo	115	START	1590260016297	1590260016297
REQUEST	115		Welcome	1590260016298	1590260016300	OK	 
REQUEST	95		Welcome	1590260016298	1590260016300	OK	 
USER	CrearLocalTestPositivo	96	START	1590260016346	1590260016346
USER	CrearLocalTestNegativo	116	START	1590260016346	1590260016346
REQUEST	96		Welcome	1590260016347	1590260016350	OK	 
REQUEST	116		Welcome	1590260016347	1590260016350	OK	 
USER	CrearLocalTestPositivo	97	START	1590260016393	1590260016393
USER	CrearLocalTestNegativo	117	START	1590260016393	1590260016393
REQUEST	117		Welcome	1590260016394	1590260016396	OK	 
REQUEST	97		Welcome	1590260016394	1590260016396	OK	 
USER	CrearLocalTestNegativo	118	START	1590260016439	1590260016439
USER	CrearLocalTestPositivo	98	START	1590260016439	1590260016439
REQUEST	98		Welcome	1590260016440	1590260016442	OK	 
REQUEST	118		Welcome	1590260016440	1590260016442	OK	 
USER	CrearLocalTestPositivo	99	START	1590260016489	1590260016489
USER	CrearLocalTestNegativo	119	START	1590260016489	1590260016489
REQUEST	119		Welcome	1590260016489	1590260016492	OK	 
REQUEST	99		Welcome	1590260016489	1590260016492	OK	 
USER	CrearLocalTestPositivo	100	START	1590260016539	1590260016539
USER	CrearLocalTestNegativo	120	START	1590260016539	1590260016539
REQUEST	100		Welcome	1590260016539	1590260016542	OK	 
REQUEST	120		Welcome	1590260016539	1590260016542	OK	 
USER	CrearLocalTestNegativo	121	START	1590260016596	1590260016596
USER	CrearLocalTestPositivo	101	START	1590260016596	1590260016596
REQUEST	101		Welcome	1590260016597	1590260016600	OK	 
REQUEST	121		Welcome	1590260016597	1590260016600	OK	 
USER	CrearLocalTestPositivo	102	START	1590260016643	1590260016643
USER	CrearLocalTestNegativo	122	START	1590260016643	1590260016643
REQUEST	102		Welcome	1590260016644	1590260016648	OK	 
REQUEST	122		Welcome	1590260016644	1590260016648	OK	 
USER	CrearLocalTestNegativo	143	START	1590260016706	1590260016706
USER	CrearLocalTestPositivo	123	START	1590260016706	1590260016706
REQUEST	143		Welcome	1590260016706	1590260016710	OK	 
REQUEST	123		Welcome	1590260016706	1590260016710	OK	 
USER	CrearLocalTestNegativo	144	START	1590260016756	1590260016756
USER	CrearLocalTestPositivo	124	START	1590260016756	1590260016756
REQUEST	144		Welcome	1590260016756	1590260016759	OK	 
REQUEST	124		Welcome	1590260016757	1590260016759	OK	 
USER	CrearLocalTestPositivo	125	START	1590260016803	1590260016803
USER	CrearLocalTestNegativo	145	START	1590260016803	1590260016803
REQUEST	125		Welcome	1590260016804	1590260016806	OK	 
REQUEST	145		Welcome	1590260016804	1590260016806	OK	 
USER	CrearLocalTestNegativo	146	START	1590260016850	1590260016850
USER	CrearLocalTestPositivo	126	START	1590260016850	1590260016850
REQUEST	146		Welcome	1590260016851	1590260016855	OK	 
REQUEST	126		Welcome	1590260016851	1590260016855	OK	 
USER	CrearLocalTestPositivo	127	START	1590260016899	1590260016899
USER	CrearLocalTestNegativo	147	START	1590260016899	1590260016899
REQUEST	147		Welcome	1590260016900	1590260016904	OK	 
REQUEST	127		Welcome	1590260016900	1590260016904	OK	 
USER	CrearLocalTestNegativo	148	START	1590260016960	1590260016960
USER	CrearLocalTestPositivo	128	START	1590260016959	1590260016959
REQUEST	148		Welcome	1590260016960	1590260016962	OK	 
REQUEST	128		Welcome	1590260016960	1590260016962	OK	 
USER	CrearLocalTestNegativo	149	START	1590260017023	1590260017023
USER	CrearLocalTestPositivo	129	START	1590260017023	1590260017023
REQUEST	149		Welcome	1590260017023	1590260017026	OK	 
REQUEST	129		Welcome	1590260017023	1590260017026	OK	 
USER	CrearLocalTestNegativo	150	START	1590260017057	1590260017057
USER	CrearLocalTestPositivo	130	START	1590260017057	1590260017057
REQUEST	130		Welcome	1590260017057	1590260017059	OK	 
REQUEST	150		Welcome	1590260017057	1590260017059	OK	 
USER	CrearLocalTestPositivo	131	START	1590260017119	1590260017119
USER	CrearLocalTestNegativo	151	START	1590260017119	1590260017119
REQUEST	151		Welcome	1590260017120	1590260017122	OK	 
REQUEST	131		Welcome	1590260017120	1590260017122	OK	 
USER	CrearLocalTestPositivo	132	START	1590260017151	1590260017151
USER	CrearLocalTestNegativo	152	START	1590260017151	1590260017151
REQUEST	152		Welcome	1590260017151	1590260017154	OK	 
REQUEST	132		Welcome	1590260017151	1590260017154	OK	 
USER	CrearLocalTestNegativo	153	START	1590260017199	1590260017199
USER	CrearLocalTestPositivo	133	START	1590260017199	1590260017199
REQUEST	133		Welcome	1590260017199	1590260017202	OK	 
REQUEST	153		Welcome	1590260017199	1590260017202	OK	 
USER	CrearLocalTestPositivo	134	START	1590260017249	1590260017249
USER	CrearLocalTestNegativo	154	START	1590260017249	1590260017249
REQUEST	154		Welcome	1590260017249	1590260017251	OK	 
REQUEST	134		Welcome	1590260017249	1590260017251	OK	 
USER	CrearLocalTestPositivo	135	START	1590260017309	1590260017309
USER	CrearLocalTestNegativo	155	START	1590260017309	1590260017309
REQUEST	135		Welcome	1590260017309	1590260017312	OK	 
REQUEST	155		Welcome	1590260017309	1590260017312	OK	 
USER	CrearLocalTestPositivo	136	START	1590260017356	1590260017356
USER	CrearLocalTestNegativo	156	START	1590260017356	1590260017356
REQUEST	136		Welcome	1590260017356	1590260017358	OK	 
REQUEST	156		Welcome	1590260017356	1590260017358	OK	 
USER	CrearLocalTestPositivo	137	START	1590260017402	1590260017402
USER	CrearLocalTestNegativo	157	START	1590260017402	1590260017402
REQUEST	157		Welcome	1590260017403	1590260017404	OK	 
REQUEST	137		Welcome	1590260017403	1590260017404	OK	 
USER	CrearLocalTestPositivo	138	START	1590260017449	1590260017449
USER	CrearLocalTestNegativo	158	START	1590260017449	1590260017449
REQUEST	138		Welcome	1590260017450	1590260017452	OK	 
REQUEST	158		Welcome	1590260017450	1590260017452	OK	 
USER	CrearLocalTestPositivo	139	START	1590260017499	1590260017499
USER	CrearLocalTestNegativo	159	START	1590260017499	1590260017499
REQUEST	159		Welcome	1590260017500	1590260017504	OK	 
REQUEST	139		Welcome	1590260017500	1590260017504	OK	 
USER	CrearLocalTestPositivo	140	START	1590260017558	1590260017558
USER	CrearLocalTestNegativo	160	START	1590260017558	1590260017558
REQUEST	160		Welcome	1590260017559	1590260017563	OK	 
REQUEST	140		Welcome	1590260017559	1590260017563	OK	 
USER	CrearLocalTestPositivo	141	START	1590260017605	1590260017605
USER	CrearLocalTestNegativo	161	START	1590260017605	1590260017605
REQUEST	141		Welcome	1590260017606	1590260017611	OK	 
REQUEST	161		Welcome	1590260017606	1590260017611	OK	 
USER	CrearLocalTestPositivo	142	START	1590260017668	1590260017668
USER	CrearLocalTestNegativo	162	START	1590260017668	1590260017668
USER	CrearLocalTestPositivo	163	START	1590260017668	1590260017668
USER	CrearLocalTestNegativo	184	START	1590260017669	1590260017669
REQUEST	162		Welcome	1590260017669	1590260017672	OK	 
REQUEST	184		Welcome	1590260017669	1590260017672	OK	 
REQUEST	142		Welcome	1590260017668	1590260017672	OK	 
REQUEST	163		Welcome	1590260017669	1590260017681	OK	 
USER	CrearLocalTestPositivo	164	START	1590260017719	1590260017719
REQUEST	164		Welcome	1590260017719	1590260017725	OK	 
USER	CrearLocalTestNegativo	185	START	1590260017739	1590260017739
REQUEST	185		Welcome	1590260017739	1590260017741	OK	 
USER	CrearLocalTestPositivo	165	START	1590260017770	1590260017770
REQUEST	165		Welcome	1590260017771	1590260017777	OK	 
USER	CrearLocalTestNegativo	186	START	1590260017789	1590260017789
REQUEST	186		Welcome	1590260017790	1590260017795	OK	 
USER	CrearLocalTestPositivo	166	START	1590260017819	1590260017819
REQUEST	166		Welcome	1590260017819	1590260017821	OK	 
USER	CrearLocalTestNegativo	187	START	1590260017848	1590260017848
REQUEST	187		Welcome	1590260017849	1590260017851	OK	 
USER	CrearLocalTestPositivo	167	START	1590260017879	1590260017879
REQUEST	167		Welcome	1590260017880	1590260017882	OK	 
USER	CrearLocalTestNegativo	188	START	1590260017895	1590260017895
REQUEST	188		Welcome	1590260017895	1590260017898	OK	 
USER	CrearLocalTestPositivo	168	START	1590260017926	1590260017926
REQUEST	168		Welcome	1590260017926	1590260017928	OK	 
USER	CrearLocalTestNegativo	189	START	1590260017942	1590260017942
REQUEST	189		Welcome	1590260017942	1590260017944	OK	 
USER	CrearLocalTestPositivo	169	START	1590260017973	1590260017973
REQUEST	169		Welcome	1590260017973	1590260017975	OK	 
USER	CrearLocalTestNegativo	190	START	1590260017989	1590260017989
REQUEST	190		Welcome	1590260017989	1590260017991	OK	 
USER	CrearLocalTestPositivo	170	START	1590260018020	1590260018020
REQUEST	170		Welcome	1590260018021	1590260018023	OK	 
USER	CrearLocalTestNegativo	191	START	1590260018039	1590260018039
REQUEST	191		Welcome	1590260018039	1590260018042	OK	 
USER	CrearLocalTestPositivo	171	START	1590260018069	1590260018069
REQUEST	171		Welcome	1590260018069	1590260018072	OK	 
USER	CrearLocalTestNegativo	192	START	1590260018098	1590260018098
REQUEST	192		Welcome	1590260018099	1590260018103	OK	 
USER	CrearLocalTestPositivo	172	START	1590260018129	1590260018129
REQUEST	172		Welcome	1590260018130	1590260018134	OK	 
USER	CrearLocalTestNegativo	193	START	1590260018145	1590260018145
REQUEST	193		Welcome	1590260018146	1590260018148	OK	 
USER	CrearLocalTestPositivo	173	START	1590260018176	1590260018176
REQUEST	173		Welcome	1590260018177	1590260018179	OK	 
USER	CrearLocalTestNegativo	194	START	1590260018192	1590260018192
REQUEST	194		Welcome	1590260018192	1590260018195	OK	 
USER	CrearLocalTestPositivo	174	START	1590260018223	1590260018223
REQUEST	174		Welcome	1590260018223	1590260018226	OK	 
USER	CrearLocalTestNegativo	195	START	1590260018239	1590260018239
REQUEST	195		Welcome	1590260018239	1590260018242	OK	 
USER	CrearLocalTestPositivo	175	START	1590260018270	1590260018270
REQUEST	175		Welcome	1590260018271	1590260018273	OK	 
USER	CrearLocalTestNegativo	196	START	1590260018289	1590260018289
REQUEST	196		Welcome	1590260018289	1590260018291	OK	 
USER	CrearLocalTestPositivo	176	START	1590260018319	1590260018319
REQUEST	176		Welcome	1590260018319	1590260018325	OK	 
USER	CrearLocalTestNegativo	197	START	1590260018347	1590260018347
REQUEST	197		Welcome	1590260018348	1590260018350	OK	 
USER	CrearLocalTestPositivo	177	START	1590260018379	1590260018379
REQUEST	177		Welcome	1590260018380	1590260018382	OK	 
USER	CrearLocalTestNegativo	198	START	1590260018395	1590260018395
REQUEST	198		Welcome	1590260018395	1590260018398	OK	 
USER	CrearLocalTestNegativo	199	START	1590260018441	1590260018441
REQUEST	199		Welcome	1590260018442	1590260018444	OK	 
USER	CrearLocalTestPositivo	178	START	1590260018426	1590260018426
REQUEST	178		Welcome	1590260018451	1590260018453	OK	 
USER	CrearLocalTestPositivo	179	START	1590260018473	1590260018473
REQUEST	179		Welcome	1590260018473	1590260018476	OK	 
USER	CrearLocalTestNegativo	200	START	1590260018489	1590260018489
REQUEST	200		Welcome	1590260018489	1590260018491	OK	 
USER	CrearLocalTestPositivo	180	START	1590260018535	1590260018535
REQUEST	180		Welcome	1590260018536	1590260018538	OK	 
USER	CrearLocalTestNegativo	201	START	1590260018539	1590260018539
REQUEST	201		Welcome	1590260018539	1590260018542	OK	 
USER	CrearLocalTestPositivo	181	START	1590260018569	1590260018569
REQUEST	181		Welcome	1590260018569	1590260018571	OK	 
USER	CrearLocalTestNegativo	202	START	1590260018598	1590260018598
REQUEST	202		Welcome	1590260018598	1590260018601	OK	 
USER	CrearLocalTestPositivo	182	START	1590260018629	1590260018629
REQUEST	182		Welcome	1590260018630	1590260018632	OK	 
USER	CrearLocalTestNegativo	203	START	1590260018645	1590260018645
REQUEST	203		Welcome	1590260018646	1590260018648	OK	 
USER	CrearLocalTestPositivo	183	START	1590260018676	1590260018676
REQUEST	183		Welcome	1590260018677	1590260018679	OK	 
USER	CrearLocalTestNegativo	204	START	1590260018692	1590260018692
REQUEST	204		Welcome	1590260018692	1590260018695	OK	 
USER	CrearLocalTestNegativo	224	START	1590260018739	1590260018739
USER	CrearLocalTestPositivo	205	START	1590260018739	1590260018739
REQUEST	205		Welcome	1590260018739	1590260018743	OK	 
REQUEST	224		Welcome	1590260018739	1590260018743	OK	 
USER	CrearLocalTestNegativo	225	START	1590260018791	1590260018791
USER	CrearLocalTestPositivo	206	START	1590260018791	1590260018791
REQUEST	206		Welcome	1590260018791	1590260018793	OK	 
REQUEST	225		Welcome	1590260018791	1590260018793	OK	 
USER	CrearLocalTestPositivo	207	START	1590260018839	1590260018839
USER	CrearLocalTestNegativo	226	START	1590260018839	1590260018839
REQUEST	226		Welcome	1590260018839	1590260018841	OK	 
REQUEST	207		Welcome	1590260018839	1590260018842	OK	 
USER	CrearLocalTestPositivo	208	START	1590260018889	1590260018889
USER	CrearLocalTestNegativo	227	START	1590260018889	1590260018889
REQUEST	227		Welcome	1590260018889	1590260018893	OK	 
REQUEST	208		Welcome	1590260018889	1590260018893	OK	 
USER	CrearLocalTestNegativo	228	START	1590260018947	1590260018947
USER	CrearLocalTestPositivo	209	START	1590260018947	1590260018947
REQUEST	209		Welcome	1590260018947	1590260018949	OK	 
REQUEST	228		Welcome	1590260018947	1590260018949	OK	 
USER	CrearLocalTestNegativo	229	START	1590260019009	1590260019009
USER	CrearLocalTestPositivo	210	START	1590260019009	1590260019009
REQUEST	229		Welcome	1590260019010	1590260019012	OK	 
REQUEST	210		Welcome	1590260019010	1590260019012	OK	 
USER	CrearLocalTestNegativo	230	START	1590260019041	1590260019041
USER	CrearLocalTestPositivo	211	START	1590260019041	1590260019041
REQUEST	230		Welcome	1590260019041	1590260019043	OK	 
REQUEST	211		Welcome	1590260019041	1590260019043	OK	 
USER	CrearLocalTestNegativo	231	START	1590260019099	1590260019099
USER	CrearLocalTestPositivo	212	START	1590260019099	1590260019099
REQUEST	212		Welcome	1590260019099	1590260019102	OK	 
REQUEST	231		Welcome	1590260019099	1590260019102	OK	 
USER	CrearLocalTestPositivo	213	START	1590260019146	1590260019146
USER	CrearLocalTestNegativo	232	START	1590260019146	1590260019146
REQUEST	232		Welcome	1590260019147	1590260019150	OK	 
