ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearLocalTest	crearlocaltest	1590260012381	 	3.3.1
USER	CrearLocalTestNegativo	42	START	1590260013637	1590260013637
USER	CrearLocalTestPositivo	1	START	1590260013627	1590260013627
USER	CrearLocalTestPositivo	2	START	1590260013686	1590260013686
USER	CrearLocalTestNegativo	43	START	1590260013686	1590260013686
REQUEST	1		Welcome	1590260013655	1590260013678	OK	 
REQUEST	42		Welcome	1590260013655	1590260013677	OK	 
REQUEST	43		Welcome	1590260013686	1590260013705	OK	 
REQUEST	2		Welcome	1590260013686	1590260013705	OK	 
USER	CrearLocalTestNegativo	44	START	1590260013732	1590260013732
REQUEST	44		Welcome	1590260013733	1590260013737	OK	 
USER	CrearLocalTestPositivo	3	START	1590260013749	1590260013749
REQUEST	3		Welcome	1590260013749	1590260013753	OK	 
USER	CrearLocalTestNegativo	45	START	1590260013779	1590260013779
REQUEST	45		Welcome	1590260013780	1590260013784	OK	 
USER	CrearLocalTestPositivo	4	START	1590260013799	1590260013799
REQUEST	4		Welcome	1590260013799	1590260013802	OK	 
USER	CrearLocalTestNegativo	46	START	1590260013829	1590260013829
REQUEST	46		Welcome	1590260013829	1590260013832	OK	 
USER	CrearLocalTestPositivo	5	START	1590260013858	1590260013858
REQUEST	5		Welcome	1590260013858	1590260013861	OK	 
USER	CrearLocalTestNegativo	47	START	1590260013888	1590260013888
REQUEST	47		Welcome	1590260013889	1590260013893	OK	 
USER	CrearLocalTestPositivo	6	START	1590260013906	1590260013906
REQUEST	6		Welcome	1590260013906	1590260013910	OK	 
USER	CrearLocalTestNegativo	48	START	1590260013932	1590260013932
REQUEST	48		Welcome	1590260013932	1590260013935	OK	 
USER	CrearLocalTestPositivo	7	START	1590260013949	1590260013949
REQUEST	7		Welcome	1590260013949	1590260013953	OK	 
USER	CrearLocalTestNegativo	49	START	1590260013979	1590260013979
REQUEST	49		Welcome	1590260013979	1590260013982	OK	 
USER	CrearLocalTestPositivo	8	START	1590260013999	1590260013999
REQUEST	8		Welcome	1590260013999	1590260014002	OK	 
USER	CrearLocalTestNegativo	50	START	1590260014029	1590260014029
REQUEST	50		Welcome	1590260014029	1590260014031	OK	 
USER	CrearLocalTestPositivo	9	START	1590260014057	1590260014057
REQUEST	9		Welcome	1590260014057	1590260014060	OK	 
USER	CrearLocalTestNegativo	51	START	1590260014088	1590260014088
REQUEST	51		Welcome	1590260014089	1590260014091	OK	 
USER	CrearLocalTestPositivo	10	START	1590260014119	1590260014119
REQUEST	10		Welcome	1590260014120	1590260014123	OK	 
USER	CrearLocalTestNegativo	52	START	1590260014137	1590260014137
REQUEST	52		Welcome	1590260014137	1590260014140	OK	 
USER	CrearLocalTestPositivo	11	START	1590260014153	1590260014153
REQUEST	11		Welcome	1590260014153	1590260014156	OK	 
USER	CrearLocalTestNegativo	53	START	1590260014184	1590260014184
REQUEST	53		Welcome	1590260014184	1590260014187	OK	 
USER	CrearLocalTestPositivo	12	START	1590260014199	1590260014199
REQUEST	12		Welcome	1590260014200	1590260014203	OK	 
USER	CrearLocalTestNegativo	54	START	1590260014230	1590260014230
REQUEST	54		Welcome	1590260014231	1590260014234	OK	 
USER	CrearLocalTestPositivo	13	START	1590260014249	1590260014249
REQUEST	13		Welcome	1590260014249	1590260014252	OK	 
