ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590423101018	 	3.3.1
USER	VerFiestasQueAsistoNegativo	12	START	1590423101903	1590423101903
USER	VerFiestasQueAsistoPositivo	1	START	1590423101896	1590423101896
REQUEST	1		Home	1590423101923	1590423101942	OK	 
REQUEST	12		Home	1590423101923	1590423101942	OK	 
REQUEST	12		favicon.png	1590423102016	1590423102020	OK	 
REQUEST	1		favicon.png	1590423102016	1590423102020	OK	 
REQUEST	12		petclinic.css	1590423102016	1590423102035	OK	 
REQUEST	1		spring-pivotal-logo.png	1590423102017	1590423102037	OK	 
REQUEST	1		jquery-ui.min.css	1590423102017	1590423102040	OK	 
REQUEST	1		jquery-ui.theme.min.css	1590423102017	1590423102066	OK	 
REQUEST	1		jquery.min.js	1590423102018	1590423102068	OK	 
REQUEST	12		jquery-ui.min.js	1590423102029	1590423102069	OK	 
REQUEST	12		jquery-ui.min.css	1590423102017	1590423102070	OK	 
REQUEST	12		jquery-ui.theme.min.css	1590423102017	1590423102071	OK	 
REQUEST	12		spring-pivotal-logo.png	1590423102017	1590423102073	OK	 
REQUEST	1		jquery-ui.min.js	1590423102029	1590423102073	OK	 
REQUEST	12		jquery.min.js	1590423102018	1590423102075	OK	 
REQUEST	1		petclinic.css	1590423102016	1590423102075	OK	 
REQUEST	12		bootstrap.min.js	1590423102067	1590423102076	OK	 
REQUEST	1		bootstrap.min.js	1590423102038	1590423102077	OK	 
USER	VerFiestasQueAsistoNegativo	13	START	1590423102108	1590423102108
REQUEST	13		Home	1590423102109	1590423102115	OK	 
USER	VerFiestasQueAsistoPositivo	2	START	1590423102119	1590423102119
REQUEST	2		Home	1590423102120	1590423102127	OK	 
REQUEST	13		favicon.png	1590423102122	1590423102127	OK	 
REQUEST	13		spring-pivotal-logo.png	1590423102125	1590423102133	OK	 
REQUEST	13		petclinic.css	1590423102123	1590423102135	OK	 
REQUEST	13		jquery.min.js	1590423102126	1590423102138	OK	 
REQUEST	2		favicon.png	1590423102134	1590423102139	OK	 
REQUEST	13		jquery-ui.min.js	1590423102128	1590423102140	OK	 
REQUEST	13		jquery-ui.min.css	1590423102123	1590423102140	OK	 
REQUEST	13		jquery-ui.theme.min.css	1590423102124	1590423102142	OK	 
REQUEST	13		bootstrap.min.js	1590423102134	1590423102143	OK	 
REQUEST	2		jquery-ui.min.css	1590423102135	1590423102145	OK	 
REQUEST	2		jquery-ui.min.js	1590423102140	1590423102147	OK	 
REQUEST	2		petclinic.css	1590423102134	1590423102149	OK	 
REQUEST	2		jquery-ui.theme.min.css	1590423102136	1590423102150	OK	 
REQUEST	2		spring-pivotal-logo.png	1590423102136	1590423102151	OK	 
REQUEST	2		bootstrap.min.js	1590423102146	1590423102152	OK	 
REQUEST	2		jquery.min.js	1590423102137	1590423102152	OK	 
REQUEST	12		jquery.min.js	1590423101998	1590423102207	OK	 
REQUEST	1		jquery.min.js	1590423101998	1590423102208	OK	 
REQUEST	13		jquery.min.js	1590423102121	1590423102274	OK	 
REQUEST	2		jquery.min.js	1590423102133	1590423102293	OK	 
USER	VerFiestasQueAsistoNegativo	14	START	1590423102308	1590423102308
REQUEST	14		Home	1590423102308	1590423102312	OK	 
USER	VerFiestasQueAsistoPositivo	3	START	1590423102318	1590423102318
REQUEST	14		favicon.png	1590423102316	1590423102319	OK	 
REQUEST	14		petclinic.css	1590423102316	1590423102324	OK	 
REQUEST	3		Home	1590423102319	1590423102326	OK	 
REQUEST	14		jquery-ui.min.js	1590423102320	1590423102327	OK	 
