ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183134521	 	3.3.1
USER	AceptarAnuncioTestNegativo	73	START	1590183136477	1590183136477
USER	AceptarAnuncioTestPositivo	6	START	1590183136547	1590183136547
USER	AceptarAnuncioTestPositivo	4	START	1590183136519	1590183136519
USER	AceptarAnuncioTestPositivo	5	START	1590183136525	1590183136525
USER	AceptarAnuncioTestNegativo	77	START	1590183136552	1590183136552
USER	AceptarAnuncioTestPositivo	1	START	1590183136403	1590183136403
USER	AceptarAnuncioTestPositivo	2	START	1590183136417	1590183136417
USER	AceptarAnuncioTestNegativo	75	START	1590183136480	1590183136480
USER	AceptarAnuncioTestNegativo	76	START	1590183136481	1590183136481
USER	AceptarAnuncioTestPositivo	3	START	1590183136518	1590183136518
USER	AceptarAnuncioTestNegativo	74	START	1590183136480	1590183136480
USER	AceptarAnuncioTestPositivo	7	START	1590183136573	1590183136573
USER	AceptarAnuncioTestNegativo	78	START	1590183136578	1590183136578
USER	AceptarAnuncioTestNegativo	79	START	1590183136610	1590183136610
USER	AceptarAnuncioTestPositivo	8	START	1590183136682	1590183136682
USER	AceptarAnuncioTestNegativo	80	START	1590183136692	1590183136692
USER	AceptarAnuncioTestPositivo	9	START	1590183136716	1590183136716
USER	AceptarAnuncioTestNegativo	81	START	1590183136740	1590183136740
REQUEST	2		Welcome	1590183136566	1590183136709	OK	 
REQUEST	75		Welcome	1590183136568	1590183136709	OK	 
USER	AceptarAnuncioTestNegativo	83	START	1590183136750	1590183136750
USER	AceptarAnuncioTestNegativo	84	START	1590183136752	1590183136752
USER	AceptarAnuncioTestNegativo	82	START	1590183136750	1590183136750
USER	AceptarAnuncioTestPositivo	10	START	1590183136762	1590183136762
USER	AceptarAnuncioTestNegativo	85	START	1590183136809	1590183136809
USER	AceptarAnuncioTestNegativo	86	START	1590183136811	1590183136811
USER	AceptarAnuncioTestPositivo	11	START	1590183136811	1590183136811
REQUEST	7		Welcome	1590183136574	1590183136788	OK	 
REQUEST	77		Welcome	1590183136566	1590183136789	OK	 
REQUEST	1		Welcome	1590183136566	1590183136787	OK	 
REQUEST	78		Welcome	1590183136580	1590183136810	OK	 
REQUEST	8		Welcome	1590183136684	1590183136853	OK	 
USER	AceptarAnuncioTestPositivo	12	START	1590183136855	1590183136855
USER	AceptarAnuncioTestNegativo	87	START	1590183136855	1590183136855
USER	AceptarAnuncioTestPositivo	13	START	1590183136857	1590183136857
REQUEST	76		Welcome	1590183136557	1590183136812	OK	 
USER	AceptarAnuncioTestNegativo	88	START	1590183136882	1590183136882
USER	AceptarAnuncioTestPositivo	14	START	1590183136882	1590183136882
