ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851489531	 	3.3.1
USER	VerDashboardNegativo	103	START	1590851490415	1590851490415
USER	VerDashboardPositivo	1	START	1590851490401	1590851490401
USER	VerDashboardPositivo	2	START	1590851490434	1590851490434
USER	VerDashboardNegativo	102	START	1590851490415	1590851490415
USER	VerDashboardNegativo	104	START	1590851490456	1590851490456
USER	VerDashboardPositivo	3	START	1590851490456	1590851490456
REQUEST	1		Home	1590851490435	1590851490459	OK	 
REQUEST	104		Home	1590851490458	1590851490467	OK	 
REQUEST	102		Home	1590851490435	1590851490459	OK	 
REQUEST	2		Home	1590851490435	1590851490459	OK	 
REQUEST	103		Home	1590851490435	1590851490459	OK	 
REQUEST	3		Home	1590851490458	1590851490467	OK	 
USER	VerDashboardPositivo	4	START	1590851490478	1590851490478
USER	VerDashboardNegativo	105	START	1590851490479	1590851490479
REQUEST	105		Home	1590851490480	1590851490490	OK	 
REQUEST	4		Home	1590851490480	1590851490490	OK	 
USER	VerDashboardPositivo	5	START	1590851490494	1590851490494
USER	VerDashboardNegativo	106	START	1590851490494	1590851490494
REQUEST	106		Home	1590851490495	1590851490506	OK	 
REQUEST	5		Home	1590851490495	1590851490506	OK	 
USER	VerDashboardPositivo	6	START	1590851490519	1590851490519
USER	VerDashboardNegativo	107	START	1590851490520	1590851490520
REQUEST	107		Home	1590851490520	1590851490529	OK	 
USER	VerDashboardPositivo	7	START	1590851490534	1590851490534
USER	VerDashboardNegativo	108	START	1590851490534	1590851490534
REQUEST	108		Home	1590851490536	1590851490550	OK	 
REQUEST	7		Home	1590851490535	1590851490553	OK	 
REQUEST	6		Home	1590851490520	1590851490555	OK	 
USER	VerDashboardPositivo	8	START	1590851490556	1590851490556
USER	VerDashboardNegativo	109	START	1590851490556	1590851490556
REQUEST	8		Home	1590851490557	1590851490562	OK	 
REQUEST	109		Home	1590851490557	1590851490563	OK	 
USER	VerDashboardPositivo	9	START	1590851490578	1590851490578
USER	VerDashboardNegativo	110	START	1590851490578	1590851490578
REQUEST	110		Home	1590851490579	1590851490584	OK	 
REQUEST	9		Home	1590851490579	1590851490584	OK	 
USER	VerDashboardPositivo	10	START	1590851490593	1590851490593
USER	VerDashboardNegativo	111	START	1590851490593	1590851490593
REQUEST	10		Home	1590851490594	1590851490599	OK	 
REQUEST	111		Home	1590851490594	1590851490600	OK	 
USER	VerDashboardPositivo	11	START	1590851490615	1590851490615
USER	VerDashboardNegativo	112	START	1590851490615	1590851490615
REQUEST	112		Home	1590851490615	1590851490619	OK	 
