ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590184077373	 	3.3.1
USER	AceptarAnuncioTestPositivo	1	START	1590184079081	1590184079081
USER	AceptarAnuncioTestNegativo	32	START	1590184079111	1590184079111
USER	AceptarAnuncioTestPositivo	2	START	1590184079138	1590184079138
USER	AceptarAnuncioTestNegativo	33	START	1590184079180	1590184079180
REQUEST	1		Welcome	1590184079142	1590184079181	OK	 
REQUEST	2		Welcome	1590184079148	1590184079184	OK	 
REQUEST	32		Welcome	1590184079146	1590184079183	OK	 
USER	AceptarAnuncioTestPositivo	3	START	1590184079283	1590184079283
USER	AceptarAnuncioTestNegativo	34	START	1590184079283	1590184079283
REQUEST	33		Welcome	1590184079184	1590184079293	OK	 
USER	AceptarAnuncioTestNegativo	35	START	1590184079298	1590184079298
REQUEST	34		Welcome	1590184079284	1590184079307	OK	 
REQUEST	35		Welcome	1590184079298	1590184079314	OK	 
USER	AceptarAnuncioTestPositivo	4	START	1590184079318	1590184079318
REQUEST	3		Welcome	1590184079283	1590184079337	OK	 
REQUEST	4		Welcome	1590184079319	1590184079343	OK	 
USER	AceptarAnuncioTestNegativo	36	START	1590184079358	1590184079358
REQUEST	36		Welcome	1590184079359	1590184079364	OK	 
USER	AceptarAnuncioTestPositivo	5	START	1590184079382	1590184079382
REQUEST	5		Welcome	1590184079384	1590184079393	OK	 
USER	AceptarAnuncioTestNegativo	37	START	1590184079428	1590184079428
REQUEST	37		Welcome	1590184079429	1590184079433	OK	 
USER	AceptarAnuncioTestPositivo	6	START	1590184079453	1590184079453
REQUEST	6		Welcome	1590184079453	1590184079459	OK	 
USER	AceptarAnuncioTestNegativo	38	START	1590184079493	1590184079493
REQUEST	38		Welcome	1590184079494	1590184079501	OK	 
USER	AceptarAnuncioTestPositivo	7	START	1590184079522	1590184079522
REQUEST	7		Welcome	1590184079525	1590184079539	OK	 
USER	AceptarAnuncioTestNegativo	39	START	1590184079561	1590184079561
REQUEST	39		Welcome	1590184079562	1590184079568	OK	 
USER	AceptarAnuncioTestPositivo	8	START	1590184079587	1590184079587
REQUEST	8		Welcome	1590184079588	1590184079591	OK	 
USER	AceptarAnuncioTestNegativo	40	START	1590184079628	1590184079628
REQUEST	40		Welcome	1590184079630	1590184079640	OK	 
USER	AceptarAnuncioTestPositivo	9	START	1590184079645	1590184079645
REQUEST	9		Welcome	1590184079647	1590184079654	OK	 
USER	AceptarAnuncioTestNegativo	41	START	1590184079690	1590184079690
REQUEST	41		Welcome	1590184079691	1590184079696	OK	 
USER	AceptarAnuncioTestPositivo	10	START	1590184079713	1590184079713
REQUEST	10		Welcome	1590184079714	1590184079720	OK	 
USER	AceptarAnuncioTestPositivo	11	START	1590184079768	1590184079768
USER	AceptarAnuncioTestNegativo	42	START	1590184079768	1590184079768
REQUEST	11		Welcome	1590184079770	1590184079780	OK	 
REQUEST	42		Welcome	1590184079770	1590184079780	OK	 
USER	AceptarAnuncioTestNegativo	43	START	1590184079833	1590184079833
USER	AceptarAnuncioTestPositivo	12	START	1590184079838	1590184079838
REQUEST	43		Welcome	1590184079834	1590184079841	OK	 
REQUEST	12		Welcome	1590184079839	1590184079846	OK	 
USER	AceptarAnuncioTestNegativo	44	START	1590184079888	1590184079888
REQUEST	44		Welcome	1590184079891	1590184079903	OK	 
USER	AceptarAnuncioTestPositivo	13	START	1590184079914	1590184079914
