ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	DashboardTest	dashboardtest	1590851688957	 	3.3.1
USER	VerDashboardPositivo	27	START	1590851691150	1590851691150
REQUEST	27		Home	1590851691150	1590851691153	OK	 
USER	VerDashboardNegativo	69	START	1590851691190	1590851691190
REQUEST	69		Home	1590851691191	1590851691194	OK	 
USER	VerDashboardPositivo	28	START	1590851691200	1590851691200
REQUEST	28		Home	1590851691201	1590851691204	OK	 
USER	VerDashboardNegativo	70	START	1590851691243	1590851691243
REQUEST	70		Home	1590851691243	1590851691246	OK	 
USER	VerDashboardPositivo	29	START	1590851691253	1590851691253
REQUEST	29		Home	1590851691254	1590851691257	OK	 
USER	VerDashboardNegativo	71	START	1590851691295	1590851691295
USER	VerDashboardPositivo	30	START	1590851691300	1590851691300
REQUEST	71		Home	1590851691296	1590851691300	OK	 
REQUEST	30		Home	1590851691300	1590851691304	OK	 
USER	VerDashboardNegativo	72	START	1590851691341	1590851691341
REQUEST	72		Home	1590851691341	1590851691344	OK	 
USER	VerDashboardPositivo	31	START	1590851691351	1590851691351
REQUEST	31		Home	1590851691351	1590851691354	OK	 
USER	VerDashboardNegativo	73	START	1590851691393	1590851691393
REQUEST	73		Home	1590851691393	1590851691397	OK	 
USER	VerDashboardPositivo	32	START	1590851691403	1590851691403
REQUEST	32		Home	1590851691404	1590851691407	OK	 
USER	VerDashboardNegativo	74	START	1590851691440	1590851691440
REQUEST	74		Home	1590851691440	1590851691447	OK	 
USER	VerDashboardPositivo	33	START	1590851691450	1590851691450
REQUEST	33		Home	1590851691450	1590851691453	OK	 
USER	VerDashboardNegativo	75	START	1590851691492	1590851691492
REQUEST	75		Home	1590851691492	1590851691495	OK	 
USER	VerDashboardPositivo	34	START	1590851691502	1590851691502
REQUEST	34		Home	1590851691502	1590851691505	OK	 
