ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	CrearValoraciones	crearvaloraciones	1590567675602	 	3.3.1
REQUEST	421		Home	1590567676406	1590567676528	OK	 
REQUEST	7		Home	1590567676343	1590567676529	OK	 
REQUEST	11		Home	1590567676366	1590567676529	OK	 
REQUEST	21		Home	1590567676407	1590567676531	OK	 
USER	CrearValoracion	44	START	1590567676525	1590567676525
REQUEST	424		Home	1590567676407	1590567676534	OK	 
REQUEST	17		Home	1590567676400	1590567676537	OK	 
REQUEST	414		Home	1590567676364	1590567676537	OK	 
REQUEST	12		Home	1590567676364	1590567676538	OK	 
REQUEST	410		Home	1590567676346	1590567676542	OK	 
REQUEST	420		Home	1590567676406	1590567676543	OK	 
USER	CrearValoracion	46	START	1590567676545	1590567676545
USER	AceptarLocal	451	START	1590567676546	1590567676546
USER	AceptarLocal	450	START	1590567676545	1590567676545
USER	CrearValoracion	48	START	1590567676546	1590567676546
USER	CrearValoracion	49	START	1590567676546	1590567676546
USER	AceptarLocal	453	START	1590567676547	1590567676547
USER	AceptarLocal	452	START	1590567676547	1590567676547
REQUEST	6		Home	1590567676343	1590567676553	OK	 
REQUEST	43		Home	1590567676517	1590567676553	OK	 
REQUEST	20		Home	1590567676407	1590567676547	OK	 
REQUEST	18		Home	1590567676406	1590567676555	OK	 
REQUEST	422		Home	1590567676407	1590567676556	OK	 
REQUEST	413		Home	1590567676346	1590567676557	OK	 
USER	CrearValoracion	47	START	1590567676545	1590567676545
REQUEST	3		Home	1590567676346	1590567676559	OK	 
REQUEST	415		Home	1590567676365	1590567676562	OK	 
REQUEST	425		Home	1590567676408	1590567676563	OK	 
REQUEST	22		Home	1590567676416	1590567676564	OK	 
REQUEST	419		Home	1590567676375	1590567676565	OK	 
REQUEST	27		Home	1590567676443	1590567676572	OK	 
REQUEST	19		Home	1590567676407	1590567676572	OK	 
USER	CrearValoracion	50	START	1590567676572	1590567676572
USER	AceptarLocal	454	START	1590567676573	1590567676573
USER	CrearValoracion	51	START	1590567676573	1590567676573
USER	AceptarLocal	455	START	1590567676574	1590567676574
USER	CrearValoracion	52	START	1590567676576	1590567676576
USER	AceptarLocal	456	START	1590567676578	1590567676578
USER	CrearValoracion	53	START	1590567676578	1590567676578
REQUEST	440		Home	1590567676499	1590567676583	OK	 
