ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearLocalTest	crearlocaltest	1590235716678	 	3.3.1
REQUEST	944		Logged	1590235768697	1590235768699	OK	 
REQUEST	919		Logged Redirect 1	1590235768698	1590235768700	OK	 
REQUEST	944		Logged Redirect 1	1590235768699	1590235768702	OK	 
USER	CrearLocalTestNegativo	2545	START	1590235768709	1590235768709
USER	CrearLocalTestPositivo	2520	START	1590235768709	1590235768709
REQUEST	2020		Login	1590235768709	1590235768710	OK	 
REQUEST	2045		Login	1590235768709	1590235768711	OK	 
REQUEST	2520		Welcome	1590235768709	1590235768713	OK	 
REQUEST	2545		Welcome	1590235768709	1590235768713	OK	 
REQUEST	920		Logged	1590235768740	1590235768741	OK	 
REQUEST	945		Logged	1590235768740	1590235768742	OK	 
REQUEST	920		Logged Redirect 1	1590235768741	1590235768743	OK	 
REQUEST	945		Logged Redirect 1	1590235768742	1590235768743	OK	 
USER	CrearLocalTestPositivo	2521	START	1590235768756	1590235768756
USER	CrearLocalTestNegativo	2546	START	1590235768756	1590235768756
REQUEST	2021		Login	1590235768757	1590235768758	OK	 
REQUEST	2046		Login	1590235768757	1590235768758	OK	 
REQUEST	2521		Welcome	1590235768756	1590235768759	OK	 
REQUEST	2546		Welcome	1590235768756	1590235768759	OK	 
USER	CrearLocalTestPositivo	2522	START	1590235768789	1590235768789
USER	CrearLocalTestNegativo	2547	START	1590235768789	1590235768789
REQUEST	946		Logged	1590235768789	1590235768790	OK	 
REQUEST	2022		Login	1590235768789	1590235768790	OK	 
REQUEST	921		Logged	1590235768789	1590235768791	OK	 
REQUEST	2047		Login	1590235768789	1590235768791	OK	 
REQUEST	2522		Welcome	1590235768789	1590235768793	OK	 
REQUEST	946		Logged Redirect 1	1590235768790	1590235768793	OK	 
REQUEST	2547		Welcome	1590235768789	1590235768793	OK	 
REQUEST	921		Logged Redirect 1	1590235768791	1590235768793	OK	 
REQUEST	947		Logged	1590235768820	1590235768821	OK	 
REQUEST	922		Logged	1590235768820	1590235768822	OK	 
REQUEST	947		Logged Redirect 1	1590235768821	1590235768824	OK	 
REQUEST	922		Logged Redirect 1	1590235768822	1590235768824	OK	 
USER	CrearLocalTestPositivo	2523	START	1590235768836	1590235768836
USER	CrearLocalTestNegativo	2548	START	1590235768836	1590235768836
REQUEST	2048		Login	1590235768836	1590235768837	OK	 
REQUEST	2023		Login	1590235768836	1590235768838	OK	 
REQUEST	2523		Welcome	1590235768836	1590235768839	OK	 
REQUEST	2548		Welcome	1590235768836	1590235768839	OK	 
USER	CrearLocalTestPositivo	2524	START	1590235768867	1590235768867
USER	CrearLocalTestNegativo	2549	START	1590235768867	1590235768867
REQUEST	923		Logged	1590235768867	1590235768868	OK	 
REQUEST	948		Logged	1590235768867	1590235768868	OK	 
REQUEST	948		Logged Redirect 1	1590235768868	1590235768871	OK	 
REQUEST	923		Logged Redirect 1	1590235768868	1590235768871	OK	 
REQUEST	2524		Welcome	1590235768867	1590235768871	OK	 
REQUEST	2549		Welcome	1590235768867	1590235768871	OK	 
REQUEST	2024		Login	1590235768886	1590235768887	OK	 
REQUEST	2049		Login	1590235768886	1590235768887	OK	 
REQUEST	949		Logged	1590235768902	1590235768902	OK	 
REQUEST	924		Logged	1590235768902	1590235768903	OK	 
REQUEST	949		Logged Redirect 1	1590235768903	1590235768905	OK	 
REQUEST	924		Logged Redirect 1	1590235768903	1590235768905	OK	 
USER	CrearLocalTestNegativo	2550	START	1590235768907	1590235768907
USER	CrearLocalTestPositivo	2525	START	1590235768907	1590235768907
REQUEST	2025		Login	1590235768907	1590235768907	OK	 
REQUEST	2050		Login	1590235768907	1590235768908	OK	 
REQUEST	2525		Welcome	1590235768907	1590235768910	OK	 
REQUEST	2550		Welcome	1590235768907	1590235768910	OK	 
REQUEST	925		Logged	1590235768937	1590235768938	OK	 
REQUEST	950		Logged	1590235768937	1590235768938	OK	 
REQUEST	950		Logged Redirect 1	1590235768938	1590235768940	OK	 
REQUEST	925		Logged Redirect 1	1590235768938	1590235768940	OK	 
USER	CrearLocalTestPositivo	2526	START	1590235768949	1590235768949
USER	CrearLocalTestNegativo	2551	START	1590235768949	1590235768949
REQUEST	2551		Welcome	1590235768949	1590235768951	OK	 
REQUEST	2526		Welcome	1590235768949	1590235768951	OK	 
REQUEST	2026		Login	1590235768964	1590235768965	OK	 
REQUEST	2051		Login	1590235768964	1590235768965	OK	 
REQUEST	951		Logged	1590235768980	1590235768981	OK	 
REQUEST	926		Logged	1590235768980	1590235768981	OK	 
REQUEST	951		Logged Redirect 1	1590235768981	1590235768982	OK	 
REQUEST	926		Logged Redirect 1	1590235768982	1590235768983	OK	 
USER	CrearLocalTestPositivo	2527	START	1590235768996	1590235768996
USER	CrearLocalTestNegativo	2552	START	1590235768996	1590235768996
REQUEST	2052		Login	1590235768996	1590235768996	OK	 
REQUEST	2027		Login	1590235768996	1590235768997	OK	 
REQUEST	2552		Welcome	1590235768996	1590235768998	OK	 
REQUEST	2527		Welcome	1590235768996	1590235768998	OK	 
USER	CrearLocalTestPositivo	2553	START	1590235769011	1590235769011
USER	CrearLocalTestNegativo	2578	START	1590235769011	1590235769011
REQUEST	2553		Welcome	1590235769011	1590235769014	OK	 
REQUEST	2578		Welcome	1590235769011	1590235769014	OK	 
REQUEST	927		Logged	1590235769027	1590235769028	OK	 
REQUEST	952		Logged	1590235769027	1590235769028	OK	 
REQUEST	952		Logged Redirect 1	1590235769028	1590235769030	OK	 
REQUEST	927		Logged Redirect 1	1590235769028	1590235769030	OK	 
USER	CrearLocalTestNegativo	2579	START	1590235769047	1590235769047
USER	CrearLocalTestPositivo	2554	START	1590235769047	1590235769047
REQUEST	2053		Login	1590235769047	1590235769047	OK	 
REQUEST	2078		Login	1590235769047	1590235769048	OK	 
REQUEST	2579		Welcome	1590235769047	1590235769050	OK	 
REQUEST	2554		Welcome	1590235769047	1590235769050	OK	 
REQUEST	953		Logged	1590235769058	1590235769059	OK	 
REQUEST	978		Logged	1590235769058	1590235769060	OK	 
REQUEST	953		Logged Redirect 1	1590235769059	1590235769061	OK	 
REQUEST	978		Logged Redirect 1	1590235769060	1590235769061	OK	 
USER	CrearLocalTestNegativo	2580	START	1590235769089	1590235769089
USER	CrearLocalTestPositivo	2555	START	1590235769089	1590235769089
REQUEST	2555		Welcome	1590235769089	1590235769092	OK	 
REQUEST	2580		Welcome	1590235769089	1590235769092	OK	 
REQUEST	2079		Login	1590235769105	1590235769105	OK	 
REQUEST	2054		Login	1590235769105	1590235769106	OK	 
REQUEST	954		Logged	1590235769107	1590235769107	OK	 
REQUEST	979		Logged	1590235769107	1590235769108	OK	 
REQUEST	954		Logged Redirect 1	1590235769108	1590235769109	OK	 
REQUEST	979		Logged Redirect 1	1590235769108	1590235769110	OK	 
USER	CrearLocalTestNegativo	2581	START	1590235769136	1590235769136
USER	CrearLocalTestPositivo	2556	START	1590235769136	1590235769136
REQUEST	2055		Login	1590235769136	1590235769137	OK	 
REQUEST	2080		Login	1590235769136	1590235769137	OK	 
REQUEST	2556		Welcome	1590235769136	1590235769139	OK	 
REQUEST	2581		Welcome	1590235769136	1590235769139	OK	 
REQUEST	955		Logged	1590235769152	1590235769153	OK	 
REQUEST	980		Logged	1590235769152	1590235769153	OK	 
REQUEST	955		Logged Redirect 1	1590235769153	1590235769155	OK	 
REQUEST	980		Logged Redirect 1	1590235769153	1590235769155	OK	 
USER	CrearLocalTestPositivo	2557	START	1590235769167	1590235769167
USER	CrearLocalTestNegativo	2582	START	1590235769167	1590235769167
REQUEST	2081		Login	1590235769167	1590235769168	OK	 
REQUEST	2056		Login	1590235769167	1590235769169	OK	 
REQUEST	2557		Welcome	1590235769168	1590235769170	OK	 
REQUEST	2582		Welcome	1590235769168	1590235769170	OK	 
REQUEST	956		Logged	1590235769187	1590235769188	OK	 
REQUEST	981		Logged	1590235769187	1590235769188	OK	 
REQUEST	956		Logged Redirect 1	1590235769188	1590235769190	OK	 
REQUEST	981		Logged Redirect 1	1590235769189	1590235769190	OK	 
USER	CrearLocalTestPositivo	2558	START	1590235769214	1590235769214
USER	CrearLocalTestNegativo	2583	START	1590235769214	1590235769214
REQUEST	2057		Login	1590235769214	1590235769215	OK	 
REQUEST	2082		Login	1590235769214	1590235769215	OK	 
REQUEST	2583		Welcome	1590235769214	1590235769217	OK	 
REQUEST	2558		Welcome	1590235769214	1590235769217	OK	 
REQUEST	982		Logged	1590235769230	1590235769231	OK	 
REQUEST	957		Logged	1590235769230	1590235769231	OK	 
REQUEST	982		Logged Redirect 1	1590235769231	1590235769233	OK	 
REQUEST	957		Logged Redirect 1	1590235769231	1590235769233	OK	 
REQUEST	2083		Login	1590235769245	1590235769246	OK	 
REQUEST	2058		Login	1590235769245	1590235769247	OK	 
USER	CrearLocalTestPositivo	2559	START	1590235769247	1590235769247
USER	CrearLocalTestNegativo	2584	START	1590235769247	1590235769247
REQUEST	2584		Welcome	1590235769247	1590235769249	OK	 
REQUEST	2559		Welcome	1590235769247	1590235769250	OK	 
REQUEST	983		Logged	1590235769261	1590235769262	OK	 
REQUEST	958		Logged	1590235769261	1590235769262	OK	 
REQUEST	983		Logged Redirect 1	1590235769262	1590235769264	OK	 
REQUEST	958		Logged Redirect 1	1590235769262	1590235769264	OK	 
USER	CrearLocalTestNegativo	2585	START	1590235769292	1590235769292
USER	CrearLocalTestPositivo	2560	START	1590235769292	1590235769292
REQUEST	2059		Login	1590235769292	1590235769293	OK	 
REQUEST	2084		Login	1590235769292	1590235769294	OK	 
REQUEST	2585		Welcome	1590235769292	1590235769296	OK	 
REQUEST	2560		Welcome	1590235769292	1590235769296	OK	 
REQUEST	959		Logged	1590235769308	1590235769309	OK	 
REQUEST	984		Logged	1590235769308	1590235769310	OK	 
REQUEST	959		Logged Redirect 1	1590235769309	1590235769311	OK	 
REQUEST	984		Logged Redirect 1	1590235769310	1590235769311	OK	 
USER	CrearLocalTestNegativo	2586	START	1590235769327	1590235769327
USER	CrearLocalTestPositivo	2561	START	1590235769327	1590235769327
REQUEST	2085		Login	1590235769327	1590235769327	OK	 
REQUEST	2060		Login	1590235769327	1590235769328	OK	 
REQUEST	2586		Welcome	1590235769327	1590235769330	OK	 
REQUEST	2561		Welcome	1590235769327	1590235769330	OK	 
REQUEST	960		Logged	1590235769339	1590235769340	OK	 
REQUEST	985		Logged	1590235769339	1590235769341	OK	 
REQUEST	960		Logged Redirect 1	1590235769340	1590235769342	OK	 
REQUEST	985		Logged Redirect 1	1590235769341	1590235769342	OK	 
USER	CrearLocalTestNegativo	2587	START	1590235769370	1590235769370
USER	CrearLocalTestPositivo	2562	START	1590235769370	1590235769370
REQUEST	2587		Welcome	1590235769371	1590235769373	OK	 
REQUEST	2562		Welcome	1590235769371	1590235769373	OK	 
REQUEST	986		Logged	1590235769386	1590235769387	OK	 
REQUEST	2061		Login	1590235769386	1590235769387	OK	 
REQUEST	2086		Login	1590235769386	1590235769387	OK	 
REQUEST	961		Logged	1590235769386	1590235769388	OK	 
REQUEST	986		Logged Redirect 1	1590235769387	1590235769389	OK	 
REQUEST	961		Logged Redirect 1	1590235769388	1590235769389	OK	 
REQUEST	962		Logged	1590235769402	1590235769402	OK	 
REQUEST	962		Logged Redirect 1	1590235769402	1590235769404	OK	 
USER	CrearLocalTestPositivo	2563	START	1590235769417	1590235769417
USER	CrearLocalTestNegativo	2588	START	1590235769417	1590235769417
REQUEST	2062		Login	1590235769417	1590235769418	OK	 
REQUEST	987		Logged	1590235769417	1590235769419	OK	 
REQUEST	2087		Login	1590235769417	1590235769419	OK	 
REQUEST	2588		Welcome	1590235769417	1590235769421	OK	 
REQUEST	2563		Welcome	1590235769417	1590235769421	OK	 
REQUEST	987		Logged Redirect 1	1590235769419	1590235769421	OK	 
USER	CrearLocalTestPositivo	2564	START	1590235769448	1590235769448
USER	CrearLocalTestNegativo	2589	START	1590235769448	1590235769448
REQUEST	963		Logged	1590235769449	1590235769449	OK	 
REQUEST	988		Logged	1590235769449	1590235769450	OK	 
REQUEST	963		Logged Redirect 1	1590235769449	1590235769452	OK	 
REQUEST	2564		Welcome	1590235769449	1590235769452	OK	 
REQUEST	2589		Welcome	1590235769449	1590235769452	OK	 
REQUEST	988		Logged Redirect 1	1590235769451	1590235769452	OK	 
REQUEST	2088		Login	1590235769464	1590235769465	OK	 
REQUEST	2063		Login	1590235769464	1590235769465	OK	 
REQUEST	964		Logged	1590235769480	1590235769481	OK	 
REQUEST	989		Logged	1590235769480	1590235769482	OK	 
REQUEST	964		Logged Redirect 1	1590235769481	1590235769483	OK	 
REQUEST	989		Logged Redirect 1	1590235769482	1590235769483	OK	 
USER	CrearLocalTestPositivo	2565	START	1590235769495	1590235769495
USER	CrearLocalTestNegativo	2590	START	1590235769495	1590235769495
REQUEST	2064		Login	1590235769495	1590235769496	OK	 
REQUEST	2089		Login	1590235769495	1590235769497	OK	 
REQUEST	2590		Welcome	1590235769496	1590235769499	OK	 
REQUEST	2565		Welcome	1590235769496	1590235769499	OK	 
USER	CrearLocalTestNegativo	2591	START	1590235769527	1590235769527
USER	CrearLocalTestPositivo	2566	START	1590235769527	1590235769527
REQUEST	2065		Login	1590235769527	1590235769527	OK	 
REQUEST	2090		Login	1590235769527	1590235769528	OK	 
REQUEST	2566		Welcome	1590235769527	1590235769530	OK	 
REQUEST	2591		Welcome	1590235769527	1590235769530	OK	 
REQUEST	965		Logged	1590235769542	1590235769543	OK	 
REQUEST	965		Logged Redirect 1	1590235769543	1590235769545	OK	 
REQUEST	990		Logged	1590235769547	1590235769547	OK	 
REQUEST	990		Logged Redirect 1	1590235769548	1590235769549	OK	 
USER	CrearLocalTestNegativo	2592	START	1590235769574	1590235769574
USER	CrearLocalTestPositivo	2567	START	1590235769574	1590235769574
REQUEST	966		Logged	1590235769574	1590235769575	OK	 
REQUEST	2091		Login	1590235769574	1590235769575	OK	 
REQUEST	2066		Login	1590235769574	1590235769577	OK	 
REQUEST	991		Logged	1590235769574	1590235769577	OK	 
REQUEST	966		Logged Redirect 1	1590235769575	1590235769579	OK	 
REQUEST	2592		Welcome	1590235769574	1590235769581	OK	 
REQUEST	2567		Welcome	1590235769574	1590235769581	OK	 
REQUEST	991		Logged Redirect 1	1590235769577	1590235769581	OK	 
USER	CrearLocalTestPositivo	2568	START	1590235769607	1590235769607
USER	CrearLocalTestNegativo	2593	START	1590235769607	1590235769607
REQUEST	2092		Login	1590235769607	1590235769608	OK	 
REQUEST	2067		Login	1590235769607	1590235769609	OK	 
REQUEST	2593		Welcome	1590235769607	1590235769614	OK	 
REQUEST	2568		Welcome	1590235769607	1590235769614	OK	 
REQUEST	992		Logged	1590235769620	1590235769621	OK	 
REQUEST	967		Logged	1590235769620	1590235769621	OK	 
REQUEST	992		Logged Redirect 1	1590235769621	1590235769623	OK	 
REQUEST	967		Logged Redirect 1	1590235769621	1590235769623	OK	 
USER	CrearLocalTestPositivo	2569	START	1590235769652	1590235769652
USER	CrearLocalTestNegativo	2594	START	1590235769652	1590235769652
REQUEST	2569		Welcome	1590235769652	1590235769654	OK	 
REQUEST	2594		Welcome	1590235769652	1590235769654	OK	 
REQUEST	2068		Login	1590235769667	1590235769668	OK	 
REQUEST	993		Logged	1590235769667	1590235769669	OK	 
REQUEST	968		Logged	1590235769667	1590235769669	OK	 
REQUEST	2093		Login	1590235769667	1590235769669	OK	 
REQUEST	968		Logged Redirect 1	1590235769669	1590235769671	OK	 
REQUEST	993		Logged Redirect 1	1590235769669	1590235769671	OK	 
USER	CrearLocalTestPositivo	2570	START	1590235769687	1590235769687
USER	CrearLocalTestNegativo	2595	START	1590235769687	1590235769687
REQUEST	2069		Login	1590235769687	1590235769687	OK	 
REQUEST	2094		Login	1590235769687	1590235769688	OK	 
REQUEST	2595		Welcome	1590235769687	1590235769689	OK	 
REQUEST	2570		Welcome	1590235769687	1590235769689	OK	 
REQUEST	969		Logged	1590235769699	1590235769699	OK	 
REQUEST	994		Logged	1590235769699	1590235769700	OK	 
REQUEST	969		Logged Redirect 1	1590235769700	1590235769701	OK	 
REQUEST	994		Logged Redirect 1	1590235769700	1590235769702	OK	 
USER	CrearLocalTestNegativo	2596	START	1590235769730	1590235769730
USER	CrearLocalTestPositivo	2571	START	1590235769730	1590235769730
REQUEST	970		Logged	1590235769730	1590235769731	OK	 
REQUEST	995		Logged	1590235769730	1590235769733	OK	 
REQUEST	2571		Welcome	1590235769731	1590235769733	OK	 
REQUEST	2596		Welcome	1590235769731	1590235769733	OK	 
REQUEST	970		Logged Redirect 1	1590235769731	1590235769734	OK	 
REQUEST	995		Logged Redirect 1	1590235769733	1590235769734	OK	 
REQUEST	2095		Login	1590235769746	1590235769747	OK	 
REQUEST	2070		Login	1590235769746	1590235769747	OK	 
USER	CrearLocalTestNegativo	2597	START	1590235769777	1590235769777
USER	CrearLocalTestPositivo	2572	START	1590235769777	1590235769777
REQUEST	2071		Login	1590235769777	1590235769778	OK	 
REQUEST	2096		Login	1590235769777	1590235769779	OK	 
REQUEST	2597		Welcome	1590235769777	1590235769781	OK	 
REQUEST	2572		Welcome	1590235769777	1590235769781	OK	 
REQUEST	996		Logged	1590235769797	1590235769798	OK	 
REQUEST	971		Logged	1590235769797	1590235769799	OK	 
REQUEST	996		Logged Redirect 1	1590235769798	1590235769800	OK	 
REQUEST	971		Logged Redirect 1	1590235769799	1590235769801	OK	 
USER	CrearLocalTestPositivo	2573	START	1590235769808	1590235769808
USER	CrearLocalTestNegativo	2598	START	1590235769808	1590235769808
REQUEST	2072		Login	1590235769808	1590235769809	OK	 
REQUEST	2097		Login	1590235769808	1590235769810	OK	 
REQUEST	2573		Welcome	1590235769809	1590235769812	OK	 
REQUEST	2598		Welcome	1590235769809	1590235769812	OK	 
REQUEST	997		Logged	1590235769824	1590235769825	OK	 
REQUEST	972		Logged	1590235769824	1590235769826	OK	 
REQUEST	972		Logged Redirect 1	1590235769826	1590235769828	OK	 
REQUEST	997		Logged Redirect 1	1590235769825	1590235769828	OK	 
REQUEST	998		Logged	1590235769840	1590235769841	OK	 
REQUEST	973		Logged	1590235769840	1590235769842	OK	 
REQUEST	998		Logged Redirect 1	1590235769841	1590235769843	OK	 
REQUEST	973		Logged Redirect 1	1590235769842	1590235769844	OK	 
USER	CrearLocalTestPositivo	2574	START	1590235769855	1590235769855
USER	CrearLocalTestNegativo	2599	START	1590235769855	1590235769855
REQUEST	2098		Login	1590235769857	1590235769858	OK	 
REQUEST	2073		Login	1590235769857	1590235769858	OK	 
REQUEST	2599		Welcome	1590235769855	1590235769859	OK	 
REQUEST	2574		Welcome	1590235769855	1590235769859	OK	 
USER	CrearLocalTestNegativo	2600	START	1590235769887	1590235769887
USER	CrearLocalTestPositivo	2575	START	1590235769887	1590235769887
REQUEST	2074		Login	1590235769887	1590235769888	OK	 
REQUEST	2099		Login	1590235769887	1590235769889	OK	 
REQUEST	2600		Welcome	1590235769887	1590235769892	OK	 
REQUEST	2575		Welcome	1590235769887	1590235769892	OK	 
REQUEST	999		Logged	1590235769908	1590235769909	OK	 
REQUEST	974		Logged	1590235769908	1590235769910	OK	 
REQUEST	999		Logged Redirect 1	1590235769909	1590235769912	OK	 
REQUEST	974		Logged Redirect 1	1590235769910	1590235769912	OK	 
USER	CrearLocalTestNegativo	2601	START	1590235769927	1590235769927
USER	CrearLocalTestPositivo	2576	START	1590235769927	1590235769927
REQUEST	2601		Welcome	1590235769927	1590235769931	OK	 
REQUEST	2576		Welcome	1590235769927	1590235769931	OK	 
REQUEST	975		Logged	1590235769959	1590235769960	OK	 
REQUEST	2100		Login	1590235769959	1590235769960	OK	 
REQUEST	2075		Login	1590235769959	1590235769961	OK	 
REQUEST	1000		Logged	1590235769959	1590235769963	OK	 
REQUEST	975		Logged Redirect 1	1590235769960	1590235769965	OK	 
REQUEST	1000		Logged Redirect 1	1590235769963	1590235769967	OK	 
USER	CrearLocalTestPositivo	2577	START	1590235769989	1590235769989
USER	CrearLocalTestNegativo	2602	START	1590235769989	1590235769989
REQUEST	976		Logged	1590235769989	1590235769990	OK	 
REQUEST	2076		Login	1590235769989	1590235769990	OK	 
REQUEST	1001		Logged	1590235769989	1590235769991	OK	 
REQUEST	2101		Login	1590235769989	1590235769991	OK	 
REQUEST	976		Logged Redirect 1	1590235769990	1590235769992	OK	 
REQUEST	2602		Welcome	1590235769989	1590235769992	OK	 
REQUEST	2577		Welcome	1590235769989	1590235769993	OK	 
REQUEST	1001		Logged Redirect 1	1590235769991	1590235769993	OK	 
REQUEST	2077		Login	1590235770007	1590235770007	OK	 
REQUEST	2102		Login	1590235770007	1590235770008	OK	 
USER	CrearLocalTestPositivo	2603	START	1590235770021	1590235770021
USER	CrearLocalTestNegativo	2628	START	1590235770021	1590235770021
REQUEST	2603		Welcome	1590235770021	1590235770024	OK	 
REQUEST	2628		Welcome	1590235770021	1590235770024	OK	 
REQUEST	1002		Logged	1590235770037	1590235770037	OK	 
REQUEST	2103		Login	1590235770037	1590235770038	OK	 
REQUEST	2128		Login	1590235770037	1590235770038	OK	 
REQUEST	1028		Logged	1590235770037	1590235770039	OK	 
REQUEST	977		Logged	1590235770037	1590235770039	OK	 
REQUEST	1003		Logged	1590235770037	1590235770039	OK	 
REQUEST	1002		Logged Redirect 1	1590235770038	1590235770040	OK	 
REQUEST	977		Logged Redirect 1	1590235770039	1590235770041	OK	 
REQUEST	1003		Logged Redirect 1	1590235770039	1590235770041	OK	 
REQUEST	1028		Logged Redirect 1	1590235770039	1590235770041	OK	 
USER	CrearLocalTestNegativo	2629	START	1590235770057	1590235770057
USER	CrearLocalTestPositivo	2604	START	1590235770057	1590235770057
REQUEST	1029		Logged	1590235770057	1590235770058	OK	 
REQUEST	1004		Logged	1590235770057	1590235770058	OK	 
REQUEST	2629		Welcome	1590235770057	1590235770060	OK	 
REQUEST	2604		Welcome	1590235770057	1590235770060	OK	 
REQUEST	1029		Logged Redirect 1	1590235770058	1590235770060	OK	 
REQUEST	1004		Logged Redirect 1	1590235770059	1590235770060	OK	 
REQUEST	2104		Login	1590235770087	1590235770087	OK	 
REQUEST	2129		Login	1590235770087	1590235770088	OK	 
USER	CrearLocalTestPositivo	2605	START	1590235770098	1590235770098
USER	CrearLocalTestNegativo	2630	START	1590235770098	1590235770098
REQUEST	2630		Welcome	1590235770099	1590235770101	OK	 
REQUEST	2605		Welcome	1590235770099	1590235770101	OK	 
REQUEST	1005		Logged	1590235770117	1590235770117	OK	 
REQUEST	2130		Login	1590235770117	1590235770117	OK	 
REQUEST	2105		Login	1590235770117	1590235770118	OK	 
REQUEST	1005		Logged Redirect 1	1590235770118	1590235770119	OK	 
REQUEST	1030		Logged	1590235770130	1590235770131	OK	 
REQUEST	1030		Logged Redirect 1	1590235770131	1590235770133	OK	 
USER	CrearLocalTestNegativo	2631	START	1590235770145	1590235770145
USER	CrearLocalTestPositivo	2606	START	1590235770145	1590235770145
REQUEST	2606		Welcome	1590235770146	1590235770148	OK	 
REQUEST	2631		Welcome	1590235770146	1590235770148	OK	 
REQUEST	2106		Login	1590235770167	1590235770168	OK	 
REQUEST	1006		Logged	1590235770167	1590235770168	OK	 
REQUEST	1031		Logged	1590235770167	1590235770168	OK	 
REQUEST	2131		Login	1590235770167	1590235770168	OK	 
REQUEST	1031		Logged Redirect 1	1590235770168	1590235770170	OK	 
REQUEST	1006		Logged Redirect 1	1590235770168	1590235770170	OK	 
USER	CrearLocalTestNegativo	2632	START	1590235770179	1590235770179
USER	CrearLocalTestPositivo	2607	START	1590235770179	1590235770179
REQUEST	2632		Welcome	1590235770179	1590235770184	OK	 
REQUEST	2607		Welcome	1590235770179	1590235770184	OK	 
REQUEST	1007		Logged	1590235770197	1590235770198	OK	 
REQUEST	2107		Login	1590235770197	1590235770198	OK	 
REQUEST	2132		Login	1590235770197	1590235770198	OK	 
REQUEST	1007		Logged Redirect 1	1590235770198	1590235770200	OK	 
USER	CrearLocalTestNegativo	2633	START	1590235770226	1590235770226
USER	CrearLocalTestPositivo	2608	START	1590235770226	1590235770226
REQUEST	1032		Logged	1590235770227	1590235770229	OK	 
REQUEST	2608		Welcome	1590235770226	1590235770230	OK	 
REQUEST	2633		Welcome	1590235770226	1590235770230	OK	 
REQUEST	1032		Logged Redirect 1	1590235770229	1590235770231	OK	 
USER	CrearLocalTestNegativo	2634	START	1590235770257	1590235770257
USER	CrearLocalTestPositivo	2609	START	1590235770257	1590235770257
REQUEST	1008		Logged	1590235770257	1590235770258	OK	 
REQUEST	2133		Login	1590235770257	1590235770258	OK	 
REQUEST	1033		Logged	1590235770257	1590235770259	OK	 
REQUEST	2108		Login	1590235770257	1590235770259	OK	 
REQUEST	1008		Logged Redirect 1	1590235770258	1590235770261	OK	 
REQUEST	1033		Logged Redirect 1	1590235770259	1590235770261	OK	 
REQUEST	2609		Welcome	1590235770258	1590235770262	OK	 
REQUEST	2634		Welcome	1590235770258	1590235770262	OK	 
REQUEST	1009		Logged	1590235770287	1590235770288	OK	 
REQUEST	2134		Login	1590235770287	1590235770288	OK	 
REQUEST	1034		Logged	1590235770287	1590235770288	OK	 
REQUEST	2109		Login	1590235770287	1590235770288	OK	 
REQUEST	1009		Logged Redirect 1	1590235770288	1590235770290	OK	 
REQUEST	1034		Logged Redirect 1	1590235770288	1590235770290	OK	 
USER	CrearLocalTestNegativo	2635	START	1590235770303	1590235770303
USER	CrearLocalTestPositivo	2610	START	1590235770303	1590235770303
REQUEST	2635		Welcome	1590235770304	1590235770306	OK	 
REQUEST	2610		Welcome	1590235770304	1590235770306	OK	 
REQUEST	1010		Logged	1590235770319	1590235770320	OK	 
REQUEST	1035		Logged	1590235770319	1590235770321	OK	 
REQUEST	1035		Logged Redirect 1	1590235770321	1590235770323	OK	 
REQUEST	1010		Logged Redirect 1	1590235770320	1590235770323	OK	 
REQUEST	2135		Login	1590235770335	1590235770336	OK	 
REQUEST	2110		Login	1590235770335	1590235770336	OK	 
USER	CrearLocalTestPositivo	2611	START	1590235770337	1590235770337
USER	CrearLocalTestNegativo	2636	START	1590235770337	1590235770337
REQUEST	1011		Logged	1590235770337	1590235770337	OK	 
REQUEST	1036		Logged	1590235770337	1590235770338	OK	 
REQUEST	1011		Logged Redirect 1	1590235770337	1590235770339	OK	 
REQUEST	2636		Welcome	1590235770337	1590235770340	OK	 
REQUEST	2611		Welcome	1590235770337	1590235770340	OK	 
REQUEST	1036		Logged Redirect 1	1590235770338	1590235770340	OK	 
REQUEST	2111		Login	1590235770366	1590235770367	OK	 
REQUEST	2136		Login	1590235770366	1590235770368	OK	 
USER	CrearLocalTestNegativo	2637	START	1590235770382	1590235770382
USER	CrearLocalTestPositivo	2612	START	1590235770382	1590235770382
REQUEST	2637		Welcome	1590235770382	1590235770386	OK	 
REQUEST	2612		Welcome	1590235770382	1590235770386	OK	 
REQUEST	2112		Login	1590235770387	1590235770387	OK	 
REQUEST	2137		Login	1590235770387	1590235770388	OK	 
REQUEST	1037		Logged	1590235770397	1590235770398	OK	 
REQUEST	1012		Logged	1590235770397	1590235770400	OK	 
REQUEST	1037		Logged Redirect 1	1590235770399	1590235770401	OK	 
REQUEST	1012		Logged Redirect 1	1590235770400	1590235770402	OK	 
USER	CrearLocalTestPositivo	2613	START	1590235770429	1590235770429
USER	CrearLocalTestNegativo	2638	START	1590235770429	1590235770429
REQUEST	1038		Logged	1590235770429	1590235770430	OK	 
REQUEST	1013		Logged	1590235770429	1590235770430	OK	 
REQUEST	2613		Welcome	1590235770429	1590235770431	OK	 
REQUEST	1013		Logged Redirect 1	1590235770430	1590235770431	OK	 
