ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarAnuncioTest	aceptaranunciotest	1590183478526	 	3.3.1
USER	AceptarAnuncioTestPositivo	24	START	1590183481146	1590183481146
USER	AceptarAnuncioTestNegativo	76	START	1590183481151	1590183481151
REQUEST	24		Welcome	1590183481147	1590183481160	OK	 
REQUEST	76		Welcome	1590183481152	1590183481165	OK	 
USER	AceptarAnuncioTestPositivo	25	START	1590183481176	1590183481176
USER	AceptarAnuncioTestNegativo	77	START	1590183481183	1590183481183
REQUEST	25		Welcome	1590183481176	1590183481191	OK	 
REQUEST	77		Welcome	1590183481183	1590183481195	OK	 
USER	AceptarAnuncioTestPositivo	26	START	1590183481218	1590183481218
USER	AceptarAnuncioTestNegativo	78	START	1590183481221	1590183481221
REQUEST	26		Welcome	1590183481219	1590183481228	OK	 
REQUEST	78		Welcome	1590183481221	1590183481230	OK	 
USER	AceptarAnuncioTestNegativo	79	START	1590183481268	1590183481268
USER	AceptarAnuncioTestPositivo	27	START	1590183481268	1590183481268
REQUEST	27		Welcome	1590183481269	1590183481275	OK	 
REQUEST	79		Welcome	1590183481269	1590183481275	OK	 
USER	AceptarAnuncioTestPositivo	28	START	1590183481301	1590183481301
USER	AceptarAnuncioTestNegativo	80	START	1590183481304	1590183481304
REQUEST	28		Welcome	1590183481302	1590183481309	OK	 
REQUEST	80		Welcome	1590183481305	1590183481311	OK	 
USER	AceptarAnuncioTestPositivo	29	START	1590183481334	1590183481334
USER	AceptarAnuncioTestNegativo	81	START	1590183481334	1590183481334
REQUEST	81		Welcome	1590183481335	1590183481340	OK	 
REQUEST	29		Welcome	1590183481335	1590183481341	OK	 
USER	AceptarAnuncioTestPositivo	30	START	1590183481377	1590183481377
USER	AceptarAnuncioTestNegativo	82	START	1590183481377	1590183481377
REQUEST	82		Welcome	1590183481379	1590183481387	OK	 
REQUEST	30		Welcome	1590183481378	1590183481387	OK	 
USER	AceptarAnuncioTestNegativo	83	START	1590183481414	1590183481414
USER	AceptarAnuncioTestPositivo	31	START	1590183481414	1590183481414
REQUEST	31		Welcome	1590183481415	1590183481422	OK	 
REQUEST	83		Welcome	1590183481415	1590183481422	OK	 
USER	AceptarAnuncioTestNegativo	84	START	1590183481460	1590183481460
USER	AceptarAnuncioTestPositivo	32	START	1590183481460	1590183481460
REQUEST	84		Welcome	1590183481461	1590183481466	OK	 
REQUEST	32		Welcome	1590183481461	1590183481466	OK	 
USER	AceptarAnuncioTestNegativo	85	START	1590183481503	1590183481503
USER	AceptarAnuncioTestPositivo	33	START	1590183481503	1590183481503
REQUEST	33		Welcome	1590183481504	1590183481509	OK	 
REQUEST	85		Welcome	1590183481504	1590183481509	OK	 
USER	AceptarAnuncioTestPositivo	34	START	1590183481540	1590183481540
USER	AceptarAnuncioTestNegativo	86	START	1590183481540	1590183481540
REQUEST	34		Welcome	1590183481541	1590183481545	OK	 
REQUEST	86		Welcome	1590183481541	1590183481545	OK	 
USER	AceptarAnuncioTestNegativo	87	START	1590183481579	1590183481579
USER	AceptarAnuncioTestPositivo	35	START	1590183481579	1590183481579
REQUEST	35		Welcome	1590183481580	1590183481586	OK	 
REQUEST	87		Welcome	1590183481580	1590183481586	OK	 
USER	AceptarAnuncioTestPositivo	36	START	1590183481616	1590183481616
USER	AceptarAnuncioTestNegativo	88	START	1590183481616	1590183481616
REQUEST	36		Welcome	1590183481617	1590183481626	OK	 
REQUEST	88		Welcome	1590183481617	1590183481627	OK	 
USER	AceptarAnuncioTestNegativo	89	START	1590183481656	1590183481656
USER	AceptarAnuncioTestPositivo	37	START	1590183481656	1590183481656
REQUEST	37		Welcome	1590183481658	1590183481670	OK	 
REQUEST	89		Welcome	1590183481658	1590183481674	OK	 
USER	AceptarAnuncioTestNegativo	90	START	1590183481708	1590183481708
USER	AceptarAnuncioTestPositivo	38	START	1590183481708	1590183481708
REQUEST	90		Welcome	1590183481709	1590183481715	OK	 
REQUEST	38		Welcome	1590183481709	1590183481715	OK	 
USER	AceptarAnuncioTestNegativo	91	START	1590183481734	1590183481734
USER	AceptarAnuncioTestPositivo	39	START	1590183481734	1590183481734
REQUEST	39		Welcome	1590183481735	1590183481740	OK	 
REQUEST	91		Welcome	1590183481735	1590183481741	OK	 
USER	AceptarAnuncioTestPositivo	40	START	1590183481774	1590183481774
USER	AceptarAnuncioTestNegativo	92	START	1590183481774	1590183481774
REQUEST	40		Welcome	1590183481775	1590183481786	OK	 
REQUEST	92		Welcome	1590183481779	1590183481789	OK	 
USER	AceptarAnuncioTestPositivo	41	START	1590183481819	1590183481819
USER	AceptarAnuncioTestNegativo	93	START	1590183481819	1590183481819
REQUEST	93		Welcome	1590183481820	1590183481826	OK	 
REQUEST	41		Welcome	1590183481820	1590183481826	OK	 
USER	AceptarAnuncioTestNegativo	94	START	1590183481859	1590183481859
USER	AceptarAnuncioTestPositivo	42	START	1590183481859	1590183481859
REQUEST	42		Welcome	1590183481860	1590183481866	OK	 
REQUEST	94		Welcome	1590183481860	1590183481866	OK	 
USER	AceptarAnuncioTestPositivo	43	START	1590183481896	1590183481896
USER	AceptarAnuncioTestNegativo	95	START	1590183481896	1590183481896
REQUEST	43		Welcome	1590183481898	1590183481909	OK	 
REQUEST	95		Welcome	1590183481898	1590183481910	OK	 
USER	AceptarAnuncioTestNegativo	96	START	1590183481943	1590183481943
USER	AceptarAnuncioTestPositivo	44	START	1590183481943	1590183481943
REQUEST	44		Welcome	1590183481945	1590183481956	OK	 
REQUEST	96		Welcome	1590183481945	1590183481956	OK	 
USER	AceptarAnuncioTestNegativo	97	START	1590183481987	1590183481987
USER	AceptarAnuncioTestPositivo	45	START	1590183481987	1590183481987
REQUEST	97		Welcome	1590183481988	1590183481994	OK	 
REQUEST	45		Welcome	1590183481988	1590183481994	OK	 
USER	AceptarAnuncioTestPositivo	46	START	1590183482026	1590183482026
USER	AceptarAnuncioTestNegativo	98	START	1590183482026	1590183482026
REQUEST	98		Welcome	1590183482027	1590183482035	OK	 
REQUEST	46		Welcome	1590183482027	1590183482035	OK	 
USER	AceptarAnuncioTestPositivo	47	START	1590183482054	1590183482054
USER	AceptarAnuncioTestNegativo	99	START	1590183482054	1590183482054
REQUEST	47		Welcome	1590183482055	1590183482066	OK	 
REQUEST	99		Welcome	1590183482055	1590183482067	OK	 
USER	AceptarAnuncioTestPositivo	48	START	1590183482098	1590183482098
USER	AceptarAnuncioTestNegativo	100	START	1590183482098	1590183482098
REQUEST	48		Welcome	1590183482098	1590183482103	OK	 
REQUEST	100		Welcome	1590183482098	1590183482103	OK	 
