ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.BuscarLocalTestDiagnosis	buscarlocaltestdiagnosis	1590161608069	 	3.3.1
REQUEST	887		BuscarLocalForm	1590161629097	1590161629100	OK	 
REQUEST	153		ThereAreResults	1590161629097	1590161629102	OK	 
REQUEST	187		ThereAreNoResults	1590161629097	1590161629102	OK	 
USER	BuscarLocalNegativoTest	1379	START	1590161629107	1590161629107
USER	BuscarLocalPositivoTest	1344	START	1590161629107	1590161629107
REQUEST	1379		Welcome	1590161629108	1590161629112	OK	 
REQUEST	1344		Welcome	1590161629108	1590161629112	OK	 
REQUEST	853		BuscarLocalForm	1590161629118	1590161629119	OK	 
REQUEST	888		BuscarLocalForm	1590161629129	1590161629131	OK	 
USER	BuscarLocalNegativoTest	1380	START	1590161629139	1590161629139
USER	BuscarLocalPositivoTest	1345	START	1590161629139	1590161629139
REQUEST	154		ThereAreResults	1590161629140	1590161629143	OK	 
REQUEST	188		ThereAreNoResults	1590161629140	1590161629143	OK	 
REQUEST	1345		Welcome	1590161629140	1590161629145	OK	 
REQUEST	1380		Welcome	1590161629140	1590161629145	OK	 
REQUEST	854		BuscarLocalForm	1590161629161	1590161629163	OK	 
REQUEST	889		BuscarLocalForm	1590161629161	1590161629163	OK	 
USER	BuscarLocalPositivoTest	1346	START	1590161629171	1590161629171
USER	BuscarLocalNegativoTest	1381	START	1590161629171	1590161629171
REQUEST	1381		Welcome	1590161629171	1590161629176	OK	 
REQUEST	1346		Welcome	1590161629171	1590161629176	OK	 
REQUEST	189		ThereAreNoResults	1590161629177	1590161629179	OK	 
REQUEST	155		ThereAreResults	1590161629177	1590161629179	OK	 
USER	BuscarLocalPositivoTest	1347	START	1590161629188	1590161629188
USER	BuscarLocalNegativoTest	1382	START	1590161629188	1590161629188
REQUEST	890		BuscarLocalForm	1590161629188	1590161629192	OK	 
REQUEST	855		BuscarLocalForm	1590161629188	1590161629192	OK	 
REQUEST	1347		Welcome	1590161629188	1590161629195	OK	 
REQUEST	1382		Welcome	1590161629190	1590161629195	OK	 
REQUEST	190		ThereAreNoResults	1590161629209	1590161629212	OK	 
REQUEST	891		BuscarLocalForm	1590161629209	1590161629212	OK	 
REQUEST	156		ThereAreResults	1590161629209	1590161629213	OK	 
USER	BuscarLocalNegativoTest	1383	START	1590161629220	1590161629220
USER	BuscarLocalPositivoTest	1348	START	1590161629220	1590161629220
REQUEST	856		BuscarLocalForm	1590161629220	1590161629222	OK	 
REQUEST	1383		Welcome	1590161629220	1590161629224	OK	 
REQUEST	1348		Welcome	1590161629220	1590161629224	OK	 
REQUEST	191		ThereAreNoResults	1590161629230	1590161629232	OK	 
REQUEST	157		ThereAreResults	1590161629230	1590161629233	OK	 
REQUEST	857		BuscarLocalForm	1590161629241	1590161629243	OK	 
USER	BuscarLocalNegativoTest	1384	START	1590161629246	1590161629246
USER	BuscarLocalPositivoTest	1349	START	1590161629246	1590161629246
REQUEST	892		BuscarLocalForm	1590161629246	1590161629248	OK	 
REQUEST	1384		Welcome	1590161629246	1590161629250	OK	 
REQUEST	1349		Welcome	1590161629246	1590161629250	OK	 
REQUEST	192		ThereAreNoResults	1590161629256	1590161629258	OK	 
REQUEST	158		ThereAreResults	1590161629266	1590161629268	OK	 
REQUEST	893		BuscarLocalForm	1590161629266	1590161629269	OK	 
REQUEST	858		BuscarLocalForm	1590161629266	1590161629269	OK	 
USER	BuscarLocalPositivoTest	1350	START	1590161629276	1590161629276
USER	BuscarLocalNegativoTest	1385	START	1590161629276	1590161629276
REQUEST	193		ThereAreNoResults	1590161629276	1590161629279	OK	 
REQUEST	159		ThereAreResults	1590161629276	1590161629279	OK	 
REQUEST	1350		Welcome	1590161629276	1590161629282	OK	 
REQUEST	1385		Welcome	1590161629277	1590161629282	OK	 
REQUEST	894		BuscarLocalForm	1590161629300	1590161629301	OK	 
REQUEST	859		BuscarLocalForm	1590161629300	1590161629302	OK	 
USER	BuscarLocalNegativoTest	1386	START	1590161629311	1590161629311
USER	BuscarLocalPositivoTest	1351	START	1590161629311	1590161629311
REQUEST	194		ThereAreNoResults	1590161629311	1590161629315	OK	 
REQUEST	160		ThereAreResults	1590161629311	1590161629317	OK	 
REQUEST	1386		Welcome	1590161629311	1590161629321	OK	 
REQUEST	1351		Welcome	1590161629311	1590161629323	OK	 
USER	BuscarLocalNegativoTest	1387	START	1590161629336	1590161629336
USER	BuscarLocalPositivoTest	1352	START	1590161629336	1590161629336
REQUEST	1352		Welcome	1590161629336	1590161629345	OK	 
REQUEST	1387		Welcome	1590161629336	1590161629345	OK	 
REQUEST	161		ThereAreResults	1590161629347	1590161629352	OK	 
REQUEST	195		ThereAreNoResults	1590161629347	1590161629353	OK	 
REQUEST	861		BuscarLocalForm	1590161629358	1590161629363	OK	 
REQUEST	860		BuscarLocalForm	1590161629358	1590161629365	OK	 
REQUEST	895		BuscarLocalForm	1590161629358	1590161629368	OK	 
REQUEST	896		BuscarLocalForm	1590161629360	1590161629368	OK	 
USER	BuscarLocalNegativoTest	1388	START	1590161629371	1590161629371
USER	BuscarLocalPositivoTest	1353	START	1590161629370	1590161629370
REQUEST	1388		Welcome	1590161629371	1590161629381	OK	 
REQUEST	1353		Welcome	1590161629371	1590161629381	OK	 
REQUEST	196		ThereAreNoResults	1590161629388	1590161629395	OK	 
REQUEST	162		ThereAreResults	1590161629388	1590161629395	OK	 
REQUEST	197		ThereAreNoResults	1590161629390	1590161629399	OK	 
REQUEST	163		ThereAreResults	1590161629398	1590161629403	OK	 
REQUEST	862		BuscarLocalForm	1590161629401	1590161629405	OK	 
REQUEST	897		BuscarLocalForm	1590161629405	1590161629407	OK	 
USER	BuscarLocalPositivoTest	1354	START	1590161629407	1590161629407
USER	BuscarLocalNegativoTest	1389	START	1590161629408	1590161629408
REQUEST	1354		Welcome	1590161629407	1590161629412	OK	 
REQUEST	1389		Welcome	1590161629409	1590161629414	OK	 
REQUEST	863		BuscarLocalForm	1590161629419	1590161629422	OK	 
REQUEST	898		BuscarLocalForm	1590161629419	1590161629423	OK	 
USER	BuscarLocalPositivoTest	1355	START	1590161629423	1590161629423
USER	BuscarLocalNegativoTest	1390	START	1590161629425	1590161629425
REQUEST	1355		Welcome	1590161629423	1590161629433	OK	 
REQUEST	164		ThereAreResults	1590161629429	1590161629433	OK	 
REQUEST	198		ThereAreNoResults	1590161629429	1590161629435	OK	 
REQUEST	1390		Welcome	1590161629425	1590161629435	OK	 
REQUEST	864		BuscarLocalForm	1590161629440	1590161629442	OK	 
REQUEST	199		ThereAreNoResults	1590161629440	1590161629443	OK	 
REQUEST	899		BuscarLocalForm	1590161629440	1590161629444	OK	 
REQUEST	165		ThereAreResults	1590161629440	1590161629444	OK	 
USER	BuscarLocalPositivoTest	1356	START	1590161629451	1590161629451
USER	BuscarLocalNegativoTest	1391	START	1590161629451	1590161629451
REQUEST	1356		Welcome	1590161629451	1590161629456	OK	 
REQUEST	1391		Welcome	1590161629451	1590161629456	OK	 
REQUEST	900		BuscarLocalForm	1590161629467	1590161629468	OK	 
REQUEST	865		BuscarLocalForm	1590161629467	1590161629469	OK	 
USER	BuscarLocalNegativoTest	1392	START	1590161629478	1590161629478
USER	BuscarLocalPositivoTest	1357	START	1590161629478	1590161629478
REQUEST	200		ThereAreNoResults	1590161629478	1590161629481	OK	 
REQUEST	166		ThereAreResults	1590161629478	1590161629481	OK	 
REQUEST	1392		Welcome	1590161629478	1590161629484	OK	 
REQUEST	1357		Welcome	1590161629478	1590161629484	OK	 
REQUEST	901		BuscarLocalForm	1590161629500	1590161629502	OK	 
REQUEST	866		BuscarLocalForm	1590161629500	1590161629503	OK	 
USER	BuscarLocalNegativoTest	1393	START	1590161629510	1590161629510
USER	BuscarLocalPositivoTest	1358	START	1590161629510	1590161629510
REQUEST	201		ThereAreNoResults	1590161629510	1590161629513	OK	 
REQUEST	167		ThereAreResults	1590161629510	1590161629513	OK	 
REQUEST	1393		Welcome	1590161629510	1590161629515	OK	 
REQUEST	1358		Welcome	1590161629510	1590161629515	OK	 
REQUEST	168		ThereAreResults	1590161629521	1590161629525	OK	 
REQUEST	202		ThereAreNoResults	1590161629521	1590161629526	OK	 
REQUEST	902		BuscarLocalForm	1590161629527	1590161629535	OK	 
REQUEST	867		BuscarLocalForm	1590161629527	1590161629536	OK	 
USER	BuscarLocalPositivoTest	1359	START	1590161629538	1590161629538
USER	BuscarLocalNegativoTest	1394	START	1590161629538	1590161629538
REQUEST	1359		Welcome	1590161629538	1590161629543	OK	 
REQUEST	1394		Welcome	1590161629539	1590161629545	OK	 
REQUEST	903		BuscarLocalForm	1590161629557	1590161629559	OK	 
REQUEST	868		BuscarLocalForm	1590161629557	1590161629560	OK	 
USER	BuscarLocalPositivoTest	1360	START	1590161629571	1590161629571
REQUEST	203		ThereAreNoResults	1590161629571	1590161629574	OK	 
USER	BuscarLocalNegativoTest	1395	START	1590161629574	1590161629574
REQUEST	1360		Welcome	1590161629571	1590161629578	OK	 
REQUEST	1395		Welcome	1590161629574	1590161629580	OK	 
USER	BuscarLocalPositivoTest	1361	START	1590161629589	1590161629589
REQUEST	904		BuscarLocalForm	1590161629589	1590161629592	OK	 
REQUEST	869		BuscarLocalForm	1590161629589	1590161629592	OK	 
USER	BuscarLocalNegativoTest	1396	START	1590161629593	1590161629593
REQUEST	1361		Welcome	1590161629590	1590161629595	OK	 
REQUEST	1396		Welcome	1590161629593	1590161629599	OK	 
REQUEST	170		ThereAreResults	1590161629598	1590161629600	OK	 
REQUEST	905		BuscarLocalForm	1590161629607	1590161629609	OK	 
REQUEST	169		ThereAreResults	1590161629607	1590161629610	OK	 
USER	BuscarLocalPositivoTest	1362	START	1590161629617	1590161629617
USER	BuscarLocalNegativoTest	1397	START	1590161629617	1590161629617
REQUEST	870		BuscarLocalForm	1590161629617	1590161629619	OK	 
REQUEST	1397		Welcome	1590161629617	1590161629621	OK	 
REQUEST	1362		Welcome	1590161629617	1590161629622	OK	 
REQUEST	205		ThereAreNoResults	1590161629628	1590161629630	OK	 
REQUEST	171		ThereAreResults	1590161629628	1590161629630	OK	 
REQUEST	906		BuscarLocalForm	1590161629639	1590161629641	OK	 
REQUEST	871		BuscarLocalForm	1590161629639	1590161629642	OK	 
USER	BuscarLocalPositivoTest	1363	START	1590161629646	1590161629646
REQUEST	206		ThereAreNoResults	1590161629646	1590161629649	OK	 
USER	BuscarLocalNegativoTest	1398	START	1590161629650	1590161629650
REQUEST	1363		Welcome	1590161629646	1590161629652	OK	 
REQUEST	1398		Welcome	1590161629650	1590161629663	OK	 
REQUEST	204		ThereAreNoResults	1590161629662	1590161629664	OK	 
REQUEST	172		ThereAreResults	1590161629662	1590161629666	OK	 
REQUEST	207		ThereAreNoResults	1590161629667	1590161629670	OK	 
REQUEST	173		ThereAreResults	1590161629667	1590161629670	OK	 
REQUEST	872		BuscarLocalForm	1590161629667	1590161629672	OK	 
REQUEST	907		BuscarLocalForm	1590161629671	1590161629673	OK	 
USER	BuscarLocalNegativoTest	1399	START	1590161629676	1590161629676
USER	BuscarLocalPositivoTest	1364	START	1590161629676	1590161629676
REQUEST	1399		Welcome	1590161629676	1590161629681	OK	 
REQUEST	1364		Welcome	1590161629676	1590161629683	OK	 
REQUEST	908		BuscarLocalForm	1590161629698	1590161629700	OK	 
REQUEST	873		BuscarLocalForm	1590161629698	1590161629700	OK	 
USER	BuscarLocalNegativoTest	1400	START	1590161629709	1590161629709
USER	BuscarLocalPositivoTest	1365	START	1590161629708	1590161629708
REQUEST	174		ThereAreResults	1590161629709	1590161629711	OK	 
REQUEST	208		ThereAreNoResults	1590161629709	1590161629712	OK	 
REQUEST	1400		Welcome	1590161629709	1590161629714	OK	 
REQUEST	1365		Welcome	1590161629709	1590161629714	OK	 
REQUEST	909		BuscarLocalForm	1590161629730	1590161629732	OK	 
REQUEST	874		BuscarLocalForm	1590161629730	1590161629732	OK	 
USER	BuscarLocalNegativoTest	1401	START	1590161629741	1590161629741
USER	BuscarLocalPositivoTest	1366	START	1590161629741	1590161629741
REQUEST	175		ThereAreResults	1590161629741	1590161629745	OK	 
REQUEST	209		ThereAreNoResults	1590161629741	1590161629745	OK	 
REQUEST	1366		Welcome	1590161629742	1590161629747	OK	 
REQUEST	1401		Welcome	1590161629742	1590161629747	OK	 
REQUEST	875		BuscarLocalForm	1590161629756	1590161629758	OK	 
REQUEST	910		BuscarLocalForm	1590161629756	1590161629759	OK	 
USER	BuscarLocalNegativoTest	1402	START	1590161629767	1590161629767
USER	BuscarLocalPositivoTest	1367	START	1590161629766	1590161629766
REQUEST	210		ThereAreNoResults	1590161629766	1590161629769	OK	 
REQUEST	176		ThereAreResults	1590161629766	1590161629769	OK	 
REQUEST	1367		Welcome	1590161629767	1590161629772	OK	 
REQUEST	1402		Welcome	1590161629767	1590161629772	OK	 
REQUEST	876		BuscarLocalForm	1590161629788	1590161629790	OK	 
REQUEST	911		BuscarLocalForm	1590161629788	1590161629791	OK	 
USER	BuscarLocalNegativoTest	1403	START	1590161629798	1590161629798
USER	BuscarLocalPositivoTest	1368	START	1590161629798	1590161629798
REQUEST	177		ThereAreResults	1590161629798	1590161629801	OK	 
REQUEST	211		ThereAreNoResults	1590161629798	1590161629801	OK	 
REQUEST	1403		Welcome	1590161629799	1590161629804	OK	 
REQUEST	1368		Welcome	1590161629799	1590161629805	OK	 
REQUEST	912		BuscarLocalForm	1590161629808	1590161629810	OK	 
USER	BuscarLocalNegativoTest	1404	START	1590161629819	1590161629819
USER	BuscarLocalPositivoTest	1369	START	1590161629819	1590161629819
REQUEST	913		BuscarLocalForm	1590161629819	1590161629822	OK	 
REQUEST	877		BuscarLocalForm	1590161629819	1590161629823	OK	 
REQUEST	949		BuscarLocalForm	1590161629819	1590161629824	OK	 
REQUEST	1404		Welcome	1590161629820	1590161629825	OK	 
REQUEST	1369		Welcome	1590161629820	1590161629825	OK	 
REQUEST	178		ThereAreResults	1590161629829	1590161629832	OK	 
REQUEST	248		ThereAreNoResults	1590161629829	1590161629832	OK	 
REQUEST	212		ThereAreNoResults	1590161629829	1590161629833	OK	 
USER	BuscarLocalPositivoTest	1405	START	1590161629850	1590161629850
USER	BuscarLocalNegativoTest	1439	START	1590161629850	1590161629850
REQUEST	213		ThereAreResults	1590161629851	1590161629854	OK	 
REQUEST	1405		Welcome	1590161629851	1590161629857	OK	 
REQUEST	1439		Welcome	1590161629851	1590161629858	OK	 
REQUEST	950		BuscarLocalForm	1590161629871	1590161629875	OK	 
REQUEST	914		BuscarLocalForm	1590161629871	1590161629875	OK	 
USER	BuscarLocalPositivoTest	1406	START	1590161629878	1590161629878
REQUEST	214		ThereAreResults	1590161629876	1590161629881	OK	 
USER	BuscarLocalNegativoTest	1440	START	1590161629883	1590161629883
REQUEST	249		ThereAreNoResults	1590161629877	1590161629883	OK	 
REQUEST	1406		Welcome	1590161629879	1590161629888	OK	 
REQUEST	1440		Welcome	1590161629883	1590161629892	OK	 
REQUEST	951		BuscarLocalForm	1590161629900	1590161629903	OK	 
REQUEST	915		BuscarLocalForm	1590161629900	1590161629906	OK	 
USER	BuscarLocalPositivoTest	1407	START	1590161629911	1590161629911
REQUEST	215		ThereAreResults	1590161629911	1590161629919	OK	 
REQUEST	250		ThereAreNoResults	1590161629911	1590161629922	OK	 
USER	BuscarLocalNegativoTest	1441	START	1590161629922	1590161629922
REQUEST	1407		Welcome	1590161629914	1590161629927	OK	 
REQUEST	1441		Welcome	1590161629924	1590161629931	OK	 
USER	BuscarLocalNegativoTest	1442	START	1590161629940	1590161629940
USER	BuscarLocalPositivoTest	1408	START	1590161629940	1590161629940
REQUEST	251		ThereAreNoResults	1590161629940	1590161629946	OK	 
REQUEST	916		BuscarLocalForm	1590161629940	1590161629947	OK	 
REQUEST	216		ThereAreResults	1590161629940	1590161629948	OK	 
REQUEST	952		BuscarLocalForm	1590161629940	1590161629950	OK	 
REQUEST	1442		Welcome	1590161629942	1590161629951	OK	 
REQUEST	1408		Welcome	1590161629942	1590161629951	OK	 
USER	BuscarLocalNegativoTest	1443	START	1590161629968	1590161629968
USER	BuscarLocalPositivoTest	1409	START	1590161629968	1590161629968
REQUEST	252		ThereAreNoResults	1590161629968	1590161629972	OK	 
REQUEST	917		BuscarLocalForm	1590161629968	1590161629974	OK	 
REQUEST	953		BuscarLocalForm	1590161629968	1590161629974	OK	 
REQUEST	217		ThereAreResults	1590161629968	1590161629976	OK	 
REQUEST	1409		Welcome	1590161629969	1590161629977	OK	 
REQUEST	1443		Welcome	1590161629968	1590161629979	OK	 
REQUEST	954		BuscarLocalForm	1590161629989	1590161629991	OK	 
REQUEST	918		BuscarLocalForm	1590161629989	1590161629991	OK	 
USER	BuscarLocalNegativoTest	1444	START	1590161629999	1590161629999
USER	BuscarLocalPositivoTest	1410	START	1590161629999	1590161629999
REQUEST	218		ThereAreResults	1590161629999	1590161630002	OK	 
REQUEST	253		ThereAreNoResults	1590161629999	1590161630002	OK	 
REQUEST	1410		Welcome	1590161629999	1590161630004	OK	 
REQUEST	1444		Welcome	1590161629999	1590161630004	OK	 
REQUEST	254		ThereAreNoResults	1590161630010	1590161630012	OK	 
USER	BuscarLocalPositivoTest	1411	START	1590161630020	1590161630020
USER	BuscarLocalNegativoTest	1445	START	1590161630020	1590161630020
REQUEST	955		BuscarLocalForm	1590161630020	1590161630022	OK	 
REQUEST	219		ThereAreResults	1590161630020	1590161630023	OK	 
REQUEST	919		BuscarLocalForm	1590161630020	1590161630024	OK	 
REQUEST	1411		Welcome	1590161630020	1590161630029	OK	 
REQUEST	1445		Welcome	1590161630020	1590161630029	OK	 
REQUEST	920		BuscarLocalForm	1590161630036	1590161630037	OK	 
REQUEST	956		BuscarLocalForm	1590161630036	1590161630038	OK	 
USER	BuscarLocalPositivoTest	1412	START	1590161630046	1590161630046
USER	BuscarLocalNegativoTest	1446	START	1590161630046	1590161630046
REQUEST	255		ThereAreNoResults	1590161630046	1590161630048	OK	 
REQUEST	1412		Welcome	1590161630046	1590161630050	OK	 
REQUEST	1446		Welcome	1590161630046	1590161630050	OK	 
REQUEST	220		ThereAreResults	1590161630056	1590161630058	OK	 
REQUEST	921		BuscarLocalForm	1590161630067	1590161630068	OK	 
REQUEST	957		BuscarLocalForm	1590161630067	1590161630069	OK	 
USER	BuscarLocalPositivoTest	1413	START	1590161630078	1590161630078
USER	BuscarLocalNegativoTest	1447	START	1590161630078	1590161630078
REQUEST	221		ThereAreResults	1590161630078	1590161630082	OK	 
REQUEST	256		ThereAreNoResults	1590161630078	1590161630084	OK	 
REQUEST	1413		Welcome	1590161630078	1590161630084	OK	 
REQUEST	1447		Welcome	1590161630078	1590161630085	OK	 
REQUEST	922		BuscarLocalForm	1590161630100	1590161630101	OK	 
REQUEST	958		BuscarLocalForm	1590161630100	1590161630102	OK	 
USER	BuscarLocalPositivoTest	1414	START	1590161630110	1590161630110
USER	BuscarLocalNegativoTest	1448	START	1590161630110	1590161630110
REQUEST	222		ThereAreResults	1590161630110	1590161630113	OK	 
REQUEST	257		ThereAreNoResults	1590161630110	1590161630113	OK	 
REQUEST	1414		Welcome	1590161630110	1590161630118	OK	 
REQUEST	1448		Welcome	1590161630110	1590161630118	OK	 
REQUEST	959		BuscarLocalForm	1590161630126	1590161630127	OK	 
REQUEST	923		BuscarLocalForm	1590161630126	1590161630128	OK	 
USER	BuscarLocalPositivoTest	1415	START	1590161630136	1590161630136
USER	BuscarLocalNegativoTest	1449	START	1590161630136	1590161630136
REQUEST	223		ThereAreResults	1590161630136	1590161630139	OK	 
REQUEST	1415		Welcome	1590161630136	1590161630141	OK	 
REQUEST	1449		Welcome	1590161630136	1590161630142	OK	 
REQUEST	924		BuscarLocalForm	1590161630157	1590161630158	OK	 
REQUEST	258		ThereAreNoResults	1590161630157	1590161630159	OK	 
REQUEST	960		BuscarLocalForm	1590161630157	1590161630159	OK	 
USER	BuscarLocalPositivoTest	1416	START	1590161630167	1590161630167
USER	BuscarLocalNegativoTest	1450	START	1590161630167	1590161630167
REQUEST	224		ThereAreResults	1590161630167	1590161630170	OK	 
REQUEST	259		ThereAreNoResults	1590161630167	1590161630170	OK	 
REQUEST	1450		Welcome	1590161630167	1590161630172	OK	 
REQUEST	1416		Welcome	1590161630167	1590161630172	OK	 
REQUEST	925		BuscarLocalForm	1590161630189	1590161630190	OK	 
REQUEST	961		BuscarLocalForm	1590161630189	1590161630192	OK	 
USER	BuscarLocalPositivoTest	1417	START	1590161630200	1590161630200
USER	BuscarLocalNegativoTest	1451	START	1590161630200	1590161630200
REQUEST	1451		Welcome	1590161630200	1590161630204	OK	 
REQUEST	1417		Welcome	1590161630200	1590161630204	OK	 
REQUEST	926		BuscarLocalForm	1590161630211	1590161630213	OK	 
REQUEST	962		BuscarLocalForm	1590161630211	1590161630215	OK	 
REQUEST	225		ThereAreResults	1590161630211	1590161630215	OK	 
REQUEST	260		ThereAreNoResults	1590161630211	1590161630217	OK	 
USER	BuscarLocalPositivoTest	1418	START	1590161630222	1590161630222
USER	BuscarLocalNegativoTest	1452	START	1590161630222	1590161630222
REQUEST	261		ThereAreNoResults	1590161630222	1590161630225	OK	 
REQUEST	1452		Welcome	1590161630222	1590161630227	OK	 
REQUEST	1418		Welcome	1590161630222	1590161630227	OK	 
REQUEST	927		BuscarLocalForm	1590161630237	1590161630239	OK	 
REQUEST	963		BuscarLocalForm	1590161630237	1590161630240	OK	 
REQUEST	226		ThereAreResults	1590161630237	1590161630240	OK	 
USER	BuscarLocalPositivoTest	1419	START	1590161630247	1590161630247
USER	BuscarLocalNegativoTest	1453	START	1590161630247	1590161630247
REQUEST	1453		Welcome	1590161630248	1590161630252	OK	 
REQUEST	1419		Welcome	1590161630248	1590161630252	OK	 
REQUEST	262		ThereAreNoResults	1590161630259	1590161630261	OK	 
REQUEST	227		ThereAreResults	1590161630259	1590161630261	OK	 
REQUEST	964		BuscarLocalForm	1590161630269	1590161630270	OK	 
REQUEST	928		BuscarLocalForm	1590161630269	1590161630271	OK	 
USER	BuscarLocalNegativoTest	1454	START	1590161630280	1590161630280
USER	BuscarLocalPositivoTest	1420	START	1590161630280	1590161630280
REQUEST	1454		Welcome	1590161630280	1590161630284	OK	 
REQUEST	1420		Welcome	1590161630280	1590161630284	OK	 
REQUEST	228		ThereAreResults	1590161630290	1590161630293	OK	 
REQUEST	263		ThereAreNoResults	1590161630290	1590161630293	OK	 
REQUEST	965		BuscarLocalForm	1590161630301	1590161630302	OK	 
REQUEST	929		BuscarLocalForm	1590161630301	1590161630303	OK	 
USER	BuscarLocalPositivoTest	1421	START	1590161630312	1590161630312
USER	BuscarLocalNegativoTest	1455	START	1590161630312	1590161630312
REQUEST	264		ThereAreNoResults	1590161630312	1590161630314	OK	 
REQUEST	229		ThereAreResults	1590161630312	1590161630315	OK	 
REQUEST	1421		Welcome	1590161630312	1590161630317	OK	 
REQUEST	1455		Welcome	1590161630312	1590161630317	OK	 
REQUEST	966		BuscarLocalForm	1590161630326	1590161630327	OK	 
REQUEST	930		BuscarLocalForm	1590161630326	1590161630328	OK	 
USER	BuscarLocalPositivoTest	1422	START	1590161630337	1590161630337
USER	BuscarLocalNegativoTest	1456	START	1590161630337	1590161630337
REQUEST	230		ThereAreResults	1590161630337	1590161630340	OK	 
REQUEST	265		ThereAreNoResults	1590161630337	1590161630340	OK	 
REQUEST	1456		Welcome	1590161630337	1590161630342	OK	 
REQUEST	1422		Welcome	1590161630337	1590161630343	OK	 
REQUEST	967		BuscarLocalForm	1590161630358	1590161630359	OK	 
REQUEST	931		BuscarLocalForm	1590161630358	1590161630360	OK	 
USER	BuscarLocalPositivoTest	1423	START	1590161630368	1590161630368
USER	BuscarLocalNegativoTest	1457	START	1590161630368	1590161630368
REQUEST	1457		Welcome	1590161630369	1590161630372	OK	 
REQUEST	1423		Welcome	1590161630369	1590161630372	OK	 
REQUEST	231		ThereAreResults	1590161630379	1590161630382	OK	 
REQUEST	968		BuscarLocalForm	1590161630390	1590161630391	OK	 
REQUEST	932		BuscarLocalForm	1590161630390	1590161630391	OK	 
REQUEST	266		ThereAreNoResults	1590161630390	1590161630393	OK	 
USER	BuscarLocalNegativoTest	1458	START	1590161630401	1590161630401
USER	BuscarLocalPositivoTest	1424	START	1590161630401	1590161630401
REQUEST	1424		Welcome	1590161630401	1590161630405	OK	 
REQUEST	1458		Welcome	1590161630401	1590161630405	OK	 
REQUEST	969		BuscarLocalForm	1590161630412	1590161630413	OK	 
REQUEST	933		BuscarLocalForm	1590161630412	1590161630414	OK	 
USER	BuscarLocalPositivoTest	1425	START	1590161630416	1590161630416
USER	BuscarLocalNegativoTest	1459	START	1590161630416	1590161630416
REQUEST	1425		Welcome	1590161630416	1590161630420	OK	 
REQUEST	1459		Welcome	1590161630416	1590161630420	OK	 
REQUEST	268		ThereAreNoResults	1590161630426	1590161630428	OK	 
REQUEST	232		ThereAreResults	1590161630426	1590161630428	OK	 
REQUEST	267		ThereAreNoResults	1590161630426	1590161630428	OK	 
REQUEST	233		ThereAreResults	1590161630426	1590161630430	OK	 
REQUEST	269		ThereAreNoResults	1590161630436	1590161630438	OK	 
REQUEST	934		BuscarLocalForm	1590161630436	1590161630439	OK	 
REQUEST	970		BuscarLocalForm	1590161630436	1590161630440	OK	 
USER	BuscarLocalNegativoTest	1460	START	1590161630446	1590161630446
USER	BuscarLocalPositivoTest	1426	START	1590161630446	1590161630446
REQUEST	1460		Welcome	1590161630446	1590161630450	OK	 
REQUEST	1426		Welcome	1590161630446	1590161630450	OK	 
REQUEST	234		ThereAreResults	1590161630457	1590161630459	OK	 
REQUEST	971		BuscarLocalForm	1590161630468	1590161630469	OK	 
REQUEST	935		BuscarLocalForm	1590161630468	1590161630470	OK	 
REQUEST	235		ThereAreResults	1590161630468	1590161630472	OK	 
USER	BuscarLocalPositivoTest	1427	START	1590161630478	1590161630478
USER	BuscarLocalNegativoTest	1461	START	1590161630478	1590161630478
REQUEST	1427		Welcome	1590161630478	1590161630482	OK	 
REQUEST	1461		Welcome	1590161630478	1590161630482	OK	 
REQUEST	972		BuscarLocalForm	1590161630499	1590161630500	OK	 
REQUEST	936		BuscarLocalForm	1590161630499	1590161630501	OK	 
USER	BuscarLocalNegativoTest	1462	START	1590161630509	1590161630509
USER	BuscarLocalPositivoTest	1428	START	1590161630509	1590161630509
REQUEST	270		ThereAreNoResults	1590161630509	1590161630512	OK	 
REQUEST	1428		Welcome	1590161630509	1590161630513	OK	 
REQUEST	1462		Welcome	1590161630509	1590161630514	OK	 
REQUEST	973		BuscarLocalForm	1590161630531	1590161630533	OK	 
REQUEST	937		BuscarLocalForm	1590161630531	1590161630533	OK	 
USER	BuscarLocalNegativoTest	1463	START	1590161630536	1590161630536
USER	BuscarLocalPositivoTest	1429	START	1590161630536	1590161630536
REQUEST	271		ThereAreNoResults	1590161630536	1590161630539	OK	 
REQUEST	1429		Welcome	1590161630536	1590161630541	OK	 
REQUEST	1463		Welcome	1590161630536	1590161630541	OK	 
REQUEST	938		BuscarLocalForm	1590161630559	1590161630561	OK	 
REQUEST	974		BuscarLocalForm	1590161630559	1590161630562	OK	 
USER	BuscarLocalPositivoTest	1430	START	1590161630570	1590161630570
USER	BuscarLocalNegativoTest	1464	START	1590161630570	1590161630570
REQUEST	272		ThereAreNoResults	1590161630570	1590161630574	OK	 
REQUEST	238		ThereAreResults	1590161630570	1590161630574	OK	 
REQUEST	273		ThereAreNoResults	1590161630570	1590161630576	OK	 
REQUEST	1430		Welcome	1590161630571	1590161630580	OK	 
REQUEST	1464		Welcome	1590161630571	1590161630581	OK	 
