ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMisLocalesTest	vermislocalestest	1590170291982	 	3.3.1
REQUEST	1453		RightLogin	1590170331771	1590170331775	OK	 
REQUEST	503		RightLogged	1590170331773	1590170331776	OK	 
REQUEST	1452		WrongLogin	1590170331771	1590170331776	OK	 
REQUEST	503		RightLogged Redirect 1	1590170331776	1590170331781	OK	 
REQUEST	528		WrongLogged	1590170331779	1590170331781	OK	 
REQUEST	478		RightLogged Redirect 1	1590170331775	1590170331782	OK	 
REQUEST	528		WrongLogged Redirect 1	1590170331781	1590170331786	OK	 
USER	VerMisLocalesPositivoTest	1905	START	1590170331816	1590170331816
REQUEST	1454		RightLogin	1590170331816	1590170331817	OK	 
REQUEST	1478		WrongLogin	1590170331816	1590170331818	OK	 
REQUEST	1479		WrongLogin	1590170331816	1590170331819	OK	 
USER	VerMisLocalesNegativoTest	1929	START	1590170331820	1590170331820
REQUEST	504		RightLogged	1590170331821	1590170331823	OK	 
REQUEST	529		WrongLogged	1590170331821	1590170331825	OK	 
REQUEST	1905		Welcome	1590170331817	1590170331829	OK	 
REQUEST	504		RightLogged Redirect 1	1590170331824	1590170331833	OK	 
REQUEST	529		WrongLogged Redirect 1	1590170331826	1590170331837	OK	 
REQUEST	1929		Welcome	1590170331821	1590170331839	OK	 
USER	VerMisLocalesPositivoTest	1906	START	1590170331839	1590170331839
USER	VerMisLocalesNegativoTest	1930	START	1590170331839	1590170331839
REQUEST	1455		RightLogin	1590170331849	1590170331852	OK	 
REQUEST	1906		Welcome	1590170331839	1590170331856	OK	 
REQUEST	1930		Welcome	1590170331841	1590170331857	OK	 
REQUEST	530		WrongLogged	1590170331873	1590170331875	OK	 
REQUEST	1480		WrongLogin	1590170331873	1590170331875	OK	 
REQUEST	530		WrongLogged Redirect 1	1590170331875	1590170331880	OK	 
USER	VerMisLocalesNegativoTest	1931	START	1590170331890	1590170331890
USER	VerMisLocalesPositivoTest	1907	START	1590170331890	1590170331890
REQUEST	505		RightLogged	1590170331890	1590170331893	OK	 
REQUEST	1931		Welcome	1590170331890	1590170331897	OK	 
REQUEST	505		RightLogged Redirect 1	1590170331893	1590170331898	OK	 
REQUEST	1907		Welcome	1590170331891	1590170331898	OK	 
REQUEST	506		RightLogged	1590170331916	1590170331917	OK	 
REQUEST	1456		RightLogin	1590170331916	1590170331917	OK	 
REQUEST	1481		WrongLogin	1590170331916	1590170331919	OK	 
REQUEST	531		WrongLogged	1590170331916	1590170331919	OK	 
USER	VerMisLocalesNegativoTest	1932	START	1590170331921	1590170331921
USER	VerMisLocalesPositivoTest	1908	START	1590170331921	1590170331921
REQUEST	1482		WrongLogin	1590170331920	1590170331922	OK	 
REQUEST	1457		RightLogin	1590170331920	1590170331924	OK	 
REQUEST	506		RightLogged Redirect 1	1590170331918	1590170331926	OK	 
REQUEST	1932		Welcome	1590170331921	1590170331931	OK	 
REQUEST	531		WrongLogged Redirect 1	1590170331919	1590170331931	OK	 
REQUEST	1908		Welcome	1590170331921	1590170331932	OK	 
REQUEST	507		RightLogged	1590170331932	1590170331934	OK	 
REQUEST	532		WrongLogged	1590170331932	1590170331936	OK	 
REQUEST	507		RightLogged Redirect 1	1590170331934	1590170331940	OK	 
REQUEST	532		WrongLogged Redirect 1	1590170331936	1590170331941	OK	 
USER	VerMisLocalesPositivoTest	1909	START	1590170331959	1590170331959
USER	VerMisLocalesNegativoTest	1933	START	1590170331959	1590170331959
REQUEST	1933		Welcome	1590170331959	1590170331963	OK	 
REQUEST	1909		Welcome	1590170331959	1590170331964	OK	 
REQUEST	508		RightLogged	1590170331983	1590170331984	OK	 
REQUEST	1483		WrongLogin	1590170331984	1590170331985	OK	 
REQUEST	1458		RightLogin	1590170331984	1590170331985	OK	 
REQUEST	533		WrongLogged	1590170331983	1590170331986	OK	 
REQUEST	508		RightLogged Redirect 1	1590170331985	1590170331989	OK	 
REQUEST	533		WrongLogged Redirect 1	1590170331986	1590170331990	OK	 
USER	VerMisLocalesNegativoTest	1934	START	1590170332013	1590170332013
USER	VerMisLocalesPositivoTest	1910	START	1590170332013	1590170332013
REQUEST	1459		RightLogin	1590170332013	1590170332014	OK	 
REQUEST	1484		WrongLogin	1590170332013	1590170332015	OK	 
REQUEST	1934		Welcome	1590170332013	1590170332018	OK	 
REQUEST	1910		Welcome	1590170332013	1590170332019	OK	 
USER	VerMisLocalesNegativoTest	1935	START	1590170332039	1590170332039
USER	VerMisLocalesPositivoTest	1911	START	1590170332039	1590170332039
REQUEST	534		WrongLogged	1590170332039	1590170332041	OK	 
REQUEST	509		RightLogged	1590170332039	1590170332042	OK	 
REQUEST	1911		Welcome	1590170332039	1590170332045	OK	 
REQUEST	534		WrongLogged Redirect 1	1590170332042	1590170332045	OK	 
REQUEST	509		RightLogged Redirect 1	1590170332042	1590170332047	OK	 
REQUEST	1935		Welcome	1590170332039	1590170332048	OK	 
REQUEST	1485		WrongLogin	1590170332067	1590170332068	OK	 
REQUEST	510		RightLogged	1590170332067	1590170332068	OK	 
REQUEST	535		WrongLogged	1590170332067	1590170332069	OK	 
REQUEST	1460		RightLogin	1590170332067	1590170332070	OK	 
REQUEST	535		WrongLogged Redirect 1	1590170332069	1590170332073	OK	 
REQUEST	510		RightLogged Redirect 1	1590170332069	1590170332073	OK	 
USER	VerMisLocalesPositivoTest	1912	START	1590170332098	1590170332098
REQUEST	1461		RightLogin	1590170332098	1590170332099	OK	 
REQUEST	536		WrongLogged	1590170332098	1590170332101	OK	 
USER	VerMisLocalesNegativoTest	1936	START	1590170332101	1590170332101
REQUEST	1486		WrongLogin	1590170332102	1590170332104	OK	 
REQUEST	1912		Welcome	1590170332098	1590170332106	OK	 
REQUEST	511		RightLogged	1590170332104	1590170332106	OK	 
REQUEST	536		WrongLogged Redirect 1	1590170332101	1590170332109	OK	 
REQUEST	1936		Welcome	1590170332102	1590170332109	OK	 
REQUEST	511		RightLogged Redirect 1	1590170332106	1590170332111	OK	 
USER	VerMisLocalesPositivoTest	1913	START	1590170332128	1590170332128
USER	VerMisLocalesNegativoTest	1937	START	1590170332128	1590170332128
REQUEST	512		RightLogged	1590170332129	1590170332131	OK	 
REQUEST	1487		WrongLogin	1590170332129	1590170332133	OK	 
REQUEST	537		WrongLogged	1590170332129	1590170332134	OK	 
REQUEST	1462		RightLogin	1590170332131	1590170332134	OK	 
REQUEST	512		RightLogged Redirect 1	1590170332131	1590170332136	OK	 
REQUEST	537		WrongLogged Redirect 1	1590170332134	1590170332137	OK	 
REQUEST	1913		Welcome	1590170332128	1590170332138	OK	 
REQUEST	1937		Welcome	1590170332128	1590170332151	OK	 
USER	VerMisLocalesNegativoTest	1938	START	1590170332168	1590170332168
USER	VerMisLocalesPositivoTest	1914	START	1590170332168	1590170332168
REQUEST	1914		Welcome	1590170332169	1590170332173	OK	 
REQUEST	1938		Welcome	1590170332169	1590170332174	OK	 
REQUEST	1463		RightLogin	1590170332192	1590170332193	OK	 
REQUEST	538		WrongLogged	1590170332192	1590170332193	OK	 
REQUEST	513		RightLogged	1590170332192	1590170332194	OK	 
REQUEST	1488		WrongLogin	1590170332192	1590170332194	OK	 
REQUEST	513		RightLogged Redirect 1	1590170332194	1590170332196	OK	 
REQUEST	538		WrongLogged Redirect 1	1590170332193	1590170332196	OK	 
USER	VerMisLocalesNegativoTest	1939	START	1590170332214	1590170332214
USER	VerMisLocalesPositivoTest	1915	START	1590170332214	1590170332214
REQUEST	539		WrongLogged	1590170332214	1590170332218	OK	 
REQUEST	1464		RightLogin	1590170332215	1590170332218	OK	 
REQUEST	1489		WrongLogin	1590170332215	1590170332218	OK	 
REQUEST	1939		Welcome	1590170332214	1590170332224	OK	 
REQUEST	539		WrongLogged Redirect 1	1590170332218	1590170332225	OK	 
REQUEST	1915		Welcome	1590170332215	1590170332226	OK	 
REQUEST	514		RightLogged	1590170332244	1590170332246	OK	 
USER	VerMisLocalesPositivoTest	1916	START	1590170332249	1590170332249
USER	VerMisLocalesNegativoTest	1940	START	1590170332253	1590170332253
REQUEST	514		RightLogged Redirect 1	1590170332247	1590170332261	OK	 
REQUEST	1940		Welcome	1590170332254	1590170332266	OK	 
REQUEST	1916		Welcome	1590170332250	1590170332270	OK	 
REQUEST	540		WrongLogged	1590170332272	1590170332274	OK	 
REQUEST	540		WrongLogged Redirect 1	1590170332274	1590170332280	OK	 
REQUEST	515		RightLogged	1590170332277	1590170332281	OK	 
REQUEST	1465		RightLogin	1590170332276	1590170332281	OK	 
REQUEST	1490		WrongLogin	1590170332277	1590170332281	OK	 
USER	VerMisLocalesNegativoTest	1941	START	1590170332283	1590170332283
USER	VerMisLocalesPositivoTest	1917	START	1590170332283	1590170332283
REQUEST	1466		RightLogin	1590170332282	1590170332286	OK	 
REQUEST	1491		WrongLogin	1590170332282	1590170332286	OK	 
REQUEST	515		RightLogged Redirect 1	1590170332281	1590170332291	OK	 
REQUEST	1941		Welcome	1590170332283	1590170332291	OK	 
REQUEST	1917		Welcome	1590170332283	1590170332293	OK	 
REQUEST	541		WrongLogged	1590170332308	1590170332309	OK	 
REQUEST	516		RightLogged	1590170332311	1590170332312	OK	 
REQUEST	541		WrongLogged Redirect 1	1590170332310	1590170332315	OK	 
REQUEST	516		RightLogged Redirect 1	1590170332312	1590170332316	OK	 
USER	VerMisLocalesPositivoTest	1918	START	1590170332319	1590170332319
USER	VerMisLocalesNegativoTest	1942	START	1590170332319	1590170332319
REQUEST	1942		Welcome	1590170332319	1590170332325	OK	 
REQUEST	1918		Welcome	1590170332319	1590170332326	OK	 
REQUEST	542		WrongLogged	1590170332354	1590170332355	OK	 
REQUEST	517		RightLogged	1590170332354	1590170332357	OK	 
REQUEST	542		WrongLogged Redirect 1	1590170332356	1590170332359	OK	 
REQUEST	517		RightLogged Redirect 1	1590170332357	1590170332361	OK	 
REQUEST	1492		WrongLogin	1590170332360	1590170332362	OK	 
USER	VerMisLocalesPositivoTest	1919	START	1590170332363	1590170332363
REQUEST	1467		RightLogin	1590170332363	1590170332365	OK	 
USER	VerMisLocalesNegativoTest	1943	START	1590170332365	1590170332365
REQUEST	1919		Welcome	1590170332363	1590170332369	OK	 
REQUEST	1943		Welcome	1590170332366	1590170332370	OK	 
REQUEST	543		WrongLogged	1590170332391	1590170332392	OK	 
REQUEST	1468		RightLogin	1590170332391	1590170332393	OK	 
REQUEST	1493		WrongLogin	1590170332391	1590170332393	OK	 
REQUEST	518		RightLogged	1590170332391	1590170332395	OK	 
REQUEST	543		WrongLogged Redirect 1	1590170332393	1590170332396	OK	 
REQUEST	518		RightLogged Redirect 1	1590170332395	1590170332398	OK	 
USER	VerMisLocalesNegativoTest	1944	START	1590170332415	1590170332415
USER	VerMisLocalesPositivoTest	1920	START	1590170332415	1590170332415
REQUEST	1494		WrongLogin	1590170332416	1590170332418	OK	 
REQUEST	544		WrongLogged	1590170332416	1590170332419	OK	 
REQUEST	1469		RightLogin	1590170332421	1590170332422	OK	 
REQUEST	1920		Welcome	1590170332416	1590170332423	OK	 
REQUEST	1944		Welcome	1590170332416	1590170332423	OK	 
REQUEST	544		WrongLogged Redirect 1	1590170332419	1590170332425	OK	 
USER	VerMisLocalesNegativoTest	1945	START	1590170332443	1590170332443
USER	VerMisLocalesPositivoTest	1921	START	1590170332443	1590170332443
REQUEST	519		RightLogged	1590170332443	1590170332445	OK	 
REQUEST	1921		Welcome	1590170332443	1590170332448	OK	 
REQUEST	1945		Welcome	1590170332443	1590170332451	OK	 
REQUEST	519		RightLogged Redirect 1	1590170332445	1590170332453	OK	 
REQUEST	545		WrongLogged	1590170332474	1590170332475	OK	 
REQUEST	1470		RightLogin	1590170332474	1590170332475	OK	 
REQUEST	1495		WrongLogin	1590170332474	1590170332476	OK	 
REQUEST	520		RightLogged	1590170332476	1590170332477	OK	 
REQUEST	520		RightLogged Redirect 1	1590170332477	1590170332479	OK	 
REQUEST	545		WrongLogged Redirect 1	1590170332475	1590170332479	OK	 
USER	VerMisLocalesPositivoTest	1922	START	1590170332479	1590170332479
USER	VerMisLocalesNegativoTest	1946	START	1590170332481	1590170332481
REQUEST	1922		Welcome	1590170332480	1590170332485	OK	 
REQUEST	1946		Welcome	1590170332481	1590170332486	OK	 
REQUEST	1496		WrongLogin	1590170332499	1590170332500	OK	 
REQUEST	546		WrongLogged	1590170332499	1590170332500	OK	 
REQUEST	1471		RightLogin	1590170332499	1590170332501	OK	 
REQUEST	546		WrongLogged Redirect 1	1590170332500	1590170332504	OK	 
USER	VerMisLocalesNegativoTest	1947	START	1590170332523	1590170332523
USER	VerMisLocalesPositivoTest	1923	START	1590170332523	1590170332523
REQUEST	521		RightLogged	1590170332523	1590170332525	OK	 
REQUEST	547		WrongLogged	1590170332523	1590170332526	OK	 
REQUEST	521		RightLogged Redirect 1	1590170332525	1590170332529	OK	 
REQUEST	1947		Welcome	1590170332523	1590170332529	OK	 
REQUEST	547		WrongLogged Redirect 1	1590170332526	1590170332529	OK	 
REQUEST	1923		Welcome	1590170332523	1590170332530	OK	 
REQUEST	1472		RightLogin	1590170332546	1590170332547	OK	 
REQUEST	1497		WrongLogin	1590170332546	1590170332548	OK	 
USER	VerMisLocalesPositivoTest	1924	START	1590170332566	1590170332566
USER	VerMisLocalesNegativoTest	1948	START	1590170332566	1590170332566
REQUEST	522		RightLogged	1590170332569	1590170332571	OK	 
REQUEST	1948		Welcome	1590170332567	1590170332572	OK	 
REQUEST	1924		Welcome	1590170332567	1590170332573	OK	 
REQUEST	522		RightLogged Redirect 1	1590170332571	1590170332575	OK	 
REQUEST	1473		RightLogin	1590170332593	1590170332594	OK	 
REQUEST	548		WrongLogged	1590170332593	1590170332595	OK	 
REQUEST	1498		WrongLogin	1590170332593	1590170332595	OK	 
REQUEST	548		WrongLogged Redirect 1	1590170332595	1590170332598	OK	 
REQUEST	523		RightLogged	1590170332597	1590170332598	OK	 
USER	VerMisLocalesNegativoTest	1949	START	1590170332599	1590170332599
USER	VerMisLocalesPositivoTest	1925	START	1590170332599	1590170332599
REQUEST	523		RightLogged Redirect 1	1590170332598	1590170332602	OK	 
REQUEST	1949		Welcome	1590170332599	1590170332605	OK	 
REQUEST	1925		Welcome	1590170332599	1590170332606	OK	 
REQUEST	549		WrongLogged	1590170332624	1590170332625	OK	 
REQUEST	1474		RightLogin	1590170332623	1590170332625	OK	 
REQUEST	1499		WrongLogin	1590170332625	1590170332626	OK	 
REQUEST	524		RightLogged	1590170332626	1590170332628	OK	 
REQUEST	549		WrongLogged Redirect 1	1590170332625	1590170332630	OK	 
REQUEST	524		RightLogged Redirect 1	1590170332628	1590170332632	OK	 
USER	VerMisLocalesNegativoTest	1950	START	1590170332656	1590170332656
USER	VerMisLocalesPositivoTest	1926	START	1590170332656	1590170332656
REQUEST	1500		WrongLogin	1590170332657	1590170332658	OK	 
REQUEST	550		WrongLogged	1590170332657	1590170332659	OK	 
REQUEST	1475		RightLogin	1590170332657	1590170332660	OK	 
REQUEST	525		RightLogged	1590170332660	1590170332662	OK	 
REQUEST	525		RightLogged Redirect 1	1590170332662	1590170332665	OK	 
REQUEST	1950		Welcome	1590170332657	1590170332666	OK	 
REQUEST	1926		Welcome	1590170332657	1590170332668	OK	 
REQUEST	550		WrongLogged Redirect 1	1590170332660	1590170332668	OK	 
USER	VerMisLocalesPositivoTest	1927	START	1590170332679	1590170332679
USER	VerMisLocalesNegativoTest	1951	START	1590170332679	1590170332679
REQUEST	551		WrongLogged	1590170332679	1590170332682	OK	 
REQUEST	1927		Welcome	1590170332679	1590170332685	OK	 
REQUEST	551		WrongLogged Redirect 1	1590170332682	1590170332685	OK	 
REQUEST	1951		Welcome	1590170332680	1590170332687	OK	 
REQUEST	1476		RightLogin	1590170332714	1590170332715	OK	 
REQUEST	1501		WrongLogin	1590170332714	1590170332715	OK	 
USER	VerMisLocalesPositivoTest	1928	START	1590170332734	1590170332734
USER	VerMisLocalesNegativoTest	1952	START	1590170332734	1590170332734
REQUEST	1477		RightLogin	1590170332734	1590170332735	OK	 
REQUEST	526		RightLogged	1590170332734	1590170332736	OK	 
REQUEST	1502		WrongLogin	1590170332734	1590170332737	OK	 
REQUEST	1928		Welcome	1590170332734	1590170332739	OK	 
REQUEST	526		RightLogged Redirect 1	1590170332736	1590170332740	OK	 
REQUEST	1952		Welcome	1590170332734	1590170332740	OK	 
USER	VerMisLocalesNegativoTest	1979	START	1590170332742	1590170332742
USER	VerMisLocalesPositivoTest	1953	START	1590170332742	1590170332742
REQUEST	1953		Welcome	1590170332742	1590170332747	OK	 
REQUEST	1979		Welcome	1590170332742	1590170332747	OK	 
REQUEST	552		WrongLogged	1590170332768	1590170332769	OK	 
REQUEST	527		RightLogged	1590170332768	1590170332770	OK	 
REQUEST	579		WrongLogged	1590170332769	1590170332771	OK	 
REQUEST	552		WrongLogged Redirect 1	1590170332769	1590170332772	OK	 
REQUEST	527		RightLogged Redirect 1	1590170332770	1590170332774	OK	 
REQUEST	553		RightLogged	1590170332770	1590170332774	OK	 
REQUEST	579		WrongLogged Redirect 1	1590170332771	1590170332776	OK	 
REQUEST	553		RightLogged Redirect 1	1590170332774	1590170332776	OK	 
REQUEST	1528		WrongLogin	1590170332793	1590170332794	OK	 
REQUEST	1503		RightLogin	1590170332793	1590170332795	OK	 
USER	VerMisLocalesPositivoTest	1954	START	1590170332816	1590170332816
USER	VerMisLocalesNegativoTest	1980	START	1590170332816	1590170332816
REQUEST	1980		Welcome	1590170332816	1590170332820	OK	 
REQUEST	1954		Welcome	1590170332816	1590170332820	OK	 
USER	VerMisLocalesPositivoTest	1955	START	1590170332839	1590170332839
USER	VerMisLocalesNegativoTest	1981	START	1590170332839	1590170332839
REQUEST	1981		Welcome	1590170332839	1590170332847	OK	 
REQUEST	1955		Welcome	1590170332839	1590170332847	OK	 
REQUEST	580		WrongLogged	1590170332866	1590170332871	OK	 
REQUEST	1529		WrongLogin	1590170332867	1590170332872	OK	 
REQUEST	554		RightLogged	1590170332866	1590170332874	OK	 
REQUEST	1504		RightLogin	1590170332866	1590170332876	OK	 
REQUEST	1530		WrongLogin	1590170332869	1590170332877	OK	 
USER	VerMisLocalesPositivoTest	1956	START	1590170332879	1590170332879
REQUEST	1505		RightLogin	1590170332879	1590170332881	OK	 
USER	VerMisLocalesNegativoTest	1982	START	1590170332882	1590170332882
REQUEST	580		WrongLogged Redirect 1	1590170332871	1590170332887	OK	 
REQUEST	554		RightLogged Redirect 1	1590170332874	1590170332890	OK	 
REQUEST	1956		Welcome	1590170332879	1590170332891	OK	 
REQUEST	1982		Welcome	1590170332883	1590170332894	OK	 
REQUEST	581		WrongLogged	1590170332894	1590170332896	OK	 
REQUEST	555		RightLogged	1590170332894	1590170332897	OK	 
REQUEST	581		WrongLogged Redirect 1	1590170332896	1590170332901	OK	 
REQUEST	582		WrongLogged	1590170332900	1590170332901	OK	 
REQUEST	555		RightLogged Redirect 1	1590170332897	1590170332904	OK	 
REQUEST	1531		WrongLogin	1590170332900	1590170332905	OK	 
REQUEST	1506		RightLogin	1590170332901	1590170332906	OK	 
REQUEST	582		WrongLogged Redirect 1	1590170332902	1590170332909	OK	 
REQUEST	556		RightLogged	1590170332914	1590170332915	OK	 
REQUEST	556		RightLogged Redirect 1	1590170332915	1590170332919	OK	 
USER	VerMisLocalesPositivoTest	1957	START	1590170332919	1590170332919
REQUEST	1532		WrongLogin	1590170332919	1590170332921	OK	 
USER	VerMisLocalesNegativoTest	1983	START	1590170332921	1590170332921
REQUEST	1957		Welcome	1590170332919	1590170332926	OK	 
REQUEST	1983		Welcome	1590170332922	1590170332928	OK	 
REQUEST	1507		RightLogin	1590170332947	1590170332948	OK	 
USER	VerMisLocalesNegativoTest	1984	START	1590170332966	1590170332966
USER	VerMisLocalesPositivoTest	1958	START	1590170332966	1590170332966
REQUEST	583		WrongLogged	1590170332966	1590170332969	OK	 
REQUEST	557		RightLogged	1590170332966	1590170332969	OK	 
REQUEST	1533		WrongLogin	1590170332971	1590170332973	OK	 
REQUEST	1984		Welcome	1590170332966	1590170332974	OK	 
REQUEST	583		WrongLogged Redirect 1	1590170332969	1590170332977	OK	 
REQUEST	557		RightLogged Redirect 1	1590170332969	1590170332977	OK	 
REQUEST	1958		Welcome	1590170332966	1590170332980	OK	 
USER	VerMisLocalesPositivoTest	1959	START	1590170332999	1590170332999
REQUEST	584		WrongLogged	1590170332999	1590170333001	OK	 
REQUEST	1534		WrongLogin	1590170332999	1590170333002	OK	 
REQUEST	558		RightLogged	1590170332999	1590170333002	OK	 
REQUEST	1508		RightLogin	1590170332999	1590170333002	OK	 
USER	VerMisLocalesNegativoTest	1985	START	1590170333003	1590170333003
REQUEST	584		WrongLogged Redirect 1	1590170333001	1590170333005	OK	 
REQUEST	558		RightLogged Redirect 1	1590170333002	1590170333007	OK	 
REQUEST	1959		Welcome	1590170332999	1590170333007	OK	 
REQUEST	1985		Welcome	1590170333004	1590170333008	OK	 
REQUEST	1509		RightLogin	1590170333017	1590170333018	OK	 
USER	VerMisLocalesNegativoTest	1986	START	1590170333039	1590170333039
USER	VerMisLocalesPositivoTest	1960	START	1590170333039	1590170333039
REQUEST	559		RightLogged	1590170333039	1590170333041	OK	 
REQUEST	1960		Welcome	1590170333039	1590170333043	OK	 
REQUEST	1986		Welcome	1590170333039	1590170333044	OK	 
REQUEST	559		RightLogged Redirect 1	1590170333041	1590170333045	OK	 
REQUEST	585		WrongLogged	1590170333055	1590170333056	OK	 
REQUEST	585		WrongLogged Redirect 1	1590170333057	1590170333060	OK	 
REQUEST	560		RightLogged	1590170333059	1590170333061	OK	 
REQUEST	1535		WrongLogin	1590170333061	1590170333063	OK	 
REQUEST	586		WrongLogged	1590170333061	1590170333064	OK	 
REQUEST	560		RightLogged Redirect 1	1590170333061	1590170333065	OK	 
REQUEST	586		WrongLogged Redirect 1	1590170333064	1590170333068	OK	 
USER	VerMisLocalesPositivoTest	1961	START	1590170333085	1590170333085
REQUEST	1510		RightLogin	1590170333085	1590170333086	OK	 
USER	VerMisLocalesNegativoTest	1987	START	1590170333087	1590170333087
REQUEST	1961		Welcome	1590170333085	1590170333092	OK	 
REQUEST	1987		Welcome	1590170333088	1590170333093	OK	 
REQUEST	1536		WrongLogin	1590170333110	1590170333111	OK	 
USER	VerMisLocalesNegativoTest	1988	START	1590170333129	1590170333129
USER	VerMisLocalesPositivoTest	1962	START	1590170333129	1590170333129
REQUEST	561		RightLogged	1590170333129	1590170333131	OK	 
REQUEST	562		RightLogged	1590170333129	1590170333133	OK	 
REQUEST	588		WrongLogged	1590170333134	1590170333135	OK	 
REQUEST	587		WrongLogged	1590170333134	1590170333136	OK	 
REQUEST	587		WrongLogged Redirect 1	1590170333136	1590170333139	OK	 
REQUEST	588		WrongLogged Redirect 1	1590170333135	1590170333140	OK	 
REQUEST	1962		Welcome	1590170333130	1590170333142	OK	 
REQUEST	561		RightLogged Redirect 1	1590170333132	1590170333142	OK	 
REQUEST	562		RightLogged Redirect 1	1590170333133	1590170333143	OK	 
REQUEST	1988		Welcome	1590170333129	1590170333145	OK	 
REQUEST	1511		RightLogin	1590170333144	1590170333145	OK	 
REQUEST	1537		WrongLogin	1590170333144	1590170333146	OK	 
USER	VerMisLocalesNegativoTest	1989	START	1590170333159	1590170333159
USER	VerMisLocalesPositivoTest	1963	START	1590170333159	1590170333159
REQUEST	1512		RightLogin	1590170333159	1590170333161	OK	 
REQUEST	1963		Welcome	1590170333159	1590170333164	OK	 
REQUEST	1989		Welcome	1590170333159	1590170333164	OK	 
REQUEST	589		WrongLogged	1590170333179	1590170333180	OK	 
REQUEST	589		WrongLogged Redirect 1	1590170333180	1590170333184	OK	 
REQUEST	563		RightLogged	1590170333201	1590170333203	OK	 
USER	VerMisLocalesPositivoTest	1964	START	1590170333203	1590170333203
REQUEST	1513		RightLogin	1590170333202	1590170333204	OK	 
REQUEST	1538		WrongLogin	1590170333201	1590170333205	OK	 
USER	VerMisLocalesNegativoTest	1990	START	1590170333204	1590170333204
REQUEST	563		RightLogged Redirect 1	1590170333203	1590170333208	OK	 
REQUEST	1964		Welcome	1590170333203	1590170333208	OK	 
REQUEST	1990		Welcome	1590170333205	1590170333210	OK	 
REQUEST	1539		WrongLogin	1590170333209	1590170333211	OK	 
REQUEST	1514		RightLogin	1590170333224	1590170333225	OK	 
REQUEST	590		WrongLogged	1590170333229	1590170333230	OK	 
REQUEST	564		RightLogged	1590170333229	1590170333231	OK	 
REQUEST	590		WrongLogged Redirect 1	1590170333230	1590170333234	OK	 
REQUEST	564		RightLogged Redirect 1	1590170333231	1590170333235	OK	 
USER	VerMisLocalesPositivoTest	1965	START	1590170333252	1590170333252
USER	VerMisLocalesNegativoTest	1991	START	1590170333252	1590170333252
REQUEST	591		WrongLogged	1590170333255	1590170333257	OK	 
REQUEST	565		RightLogged	1590170333257	1590170333258	OK	 
REQUEST	1515		RightLogin	1590170333257	1590170333258	OK	 
REQUEST	1540		WrongLogin	1590170333258	1590170333259	OK	 
REQUEST	1965		Welcome	1590170333253	1590170333262	OK	 
REQUEST	565		RightLogged Redirect 1	1590170333258	1590170333264	OK	 
REQUEST	1991		Welcome	1590170333253	1590170333264	OK	 
REQUEST	591		WrongLogged Redirect 1	1590170333257	1590170333265	OK	 
USER	VerMisLocalesPositivoTest	1966	START	1590170333291	1590170333291
USER	VerMisLocalesNegativoTest	1992	START	1590170333291	1590170333291
REQUEST	1541		WrongLogin	1590170333292	1590170333293	OK	 
REQUEST	566		RightLogged	1590170333292	1590170333294	OK	 
REQUEST	1992		Welcome	1590170333292	1590170333297	OK	 
REQUEST	1966		Welcome	1590170333292	1590170333297	OK	 
REQUEST	566		RightLogged Redirect 1	1590170333294	1590170333299	OK	 
REQUEST	592		WrongLogged	1590170333314	1590170333315	OK	 
REQUEST	592		WrongLogged Redirect 1	1590170333315	1590170333318	OK	 
USER	VerMisLocalesNegativoTest	1993	START	1590170333319	1590170333319
USER	VerMisLocalesPositivoTest	1967	START	1590170333319	1590170333319
REQUEST	1516		RightLogin	1590170333319	1590170333321	OK	 
REQUEST	1967		Welcome	1590170333319	1590170333325	OK	 
REQUEST	1993		Welcome	1590170333319	1590170333326	OK	 
REQUEST	567		RightLogged	1590170333348	1590170333351	OK	 
REQUEST	593		WrongLogged	1590170333348	1590170333352	OK	 
REQUEST	1542		WrongLogin	1590170333349	1590170333352	OK	 
REQUEST	567		RightLogged Redirect 1	1590170333351	1590170333355	OK	 
REQUEST	593		WrongLogged Redirect 1	1590170333352	1590170333355	OK	 
USER	VerMisLocalesNegativoTest	1994	START	1590170333373	1590170333373
USER	VerMisLocalesPositivoTest	1968	START	1590170333373	1590170333373
REQUEST	1517		RightLogin	1590170333373	1590170333376	OK	 
REQUEST	1968		Welcome	1590170333373	1590170333379	OK	 
REQUEST	1543		WrongLogin	1590170333377	1590170333379	OK	 
REQUEST	1994		Welcome	1590170333375	1590170333381	OK	 
USER	VerMisLocalesPositivoTest	1969	START	1590170333400	1590170333400
REQUEST	568		RightLogged	1590170333399	1590170333400	OK	 
USER	VerMisLocalesNegativoTest	1995	START	1590170333400	1590170333400
REQUEST	568		RightLogged Redirect 1	1590170333401	1590170333406	OK	 
REQUEST	1969		Welcome	1590170333400	1590170333407	OK	 
REQUEST	1995		Welcome	1590170333402	1590170333409	OK	 
REQUEST	594		WrongLogged	1590170333411	1590170333412	OK	 
REQUEST	1518		RightLogin	1590170333412	1590170333413	OK	 
REQUEST	594		WrongLogged Redirect 1	1590170333413	1590170333421	OK	 
REQUEST	1544		WrongLogin	1590170333441	1590170333443	OK	 
REQUEST	1519		RightLogin	1590170333441	1590170333444	OK	 
