ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMisLocalesTest	vermislocalestest	1590170291982	 	3.3.1
USER	VerMisLocalesNegativoTest	76	START	1590170294672	1590170294672
REQUEST	76		Welcome	1590170294672	1590170294676	OK	 
USER	VerMisLocalesPositivoTest	25	START	1590170294694	1590170294694
REQUEST	25		Welcome	1590170294695	1590170294699	OK	 
USER	VerMisLocalesNegativoTest	77	START	1590170294718	1590170294718
REQUEST	77		Welcome	1590170294719	1590170294723	OK	 
USER	VerMisLocalesPositivoTest	26	START	1590170294735	1590170294735
REQUEST	26		Welcome	1590170294736	1590170294740	OK	 
USER	VerMisLocalesNegativoTest	78	START	1590170294757	1590170294757
REQUEST	78		Welcome	1590170294758	1590170294762	OK	 
USER	VerMisLocalesPositivoTest	27	START	1590170294779	1590170294779
REQUEST	27		Welcome	1590170294779	1590170294784	OK	 
USER	VerMisLocalesNegativoTest	79	START	1590170294802	1590170294802
REQUEST	79		Welcome	1590170294803	1590170294808	OK	 
USER	VerMisLocalesPositivoTest	28	START	1590170294827	1590170294827
USER	VerMisLocalesNegativoTest	80	START	1590170294829	1590170294829
REQUEST	28		Welcome	1590170294828	1590170294832	OK	 
REQUEST	80		Welcome	1590170294830	1590170294834	OK	 
USER	VerMisLocalesPositivoTest	29	START	1590170294852	1590170294852
REQUEST	29		Welcome	1590170294853	1590170294856	OK	 
USER	VerMisLocalesNegativoTest	81	START	1590170294875	1590170294875
REQUEST	81		Welcome	1590170294876	1590170294880	OK	 
USER	VerMisLocalesPositivoTest	30	START	1590170294898	1590170294898
REQUEST	30		Welcome	1590170294899	1590170294903	OK	 
USER	VerMisLocalesNegativoTest	82	START	1590170294921	1590170294921
REQUEST	82		Welcome	1590170294923	1590170294931	OK	 
USER	VerMisLocalesNegativoTest	83	START	1590170294953	1590170294953
USER	VerMisLocalesPositivoTest	31	START	1590170294953	1590170294953
REQUEST	83		Welcome	1590170294956	1590170294966	OK	 
REQUEST	31		Welcome	1590170294955	1590170294967	OK	 
USER	VerMisLocalesPositivoTest	32	START	1590170294973	1590170294973
REQUEST	32		Welcome	1590170294974	1590170294982	OK	 
USER	VerMisLocalesNegativoTest	84	START	1590170295000	1590170295000
REQUEST	84		Welcome	1590170295002	1590170295006	OK	 
USER	VerMisLocalesNegativoTest	85	START	1590170295029	1590170295029
USER	VerMisLocalesPositivoTest	33	START	1590170295029	1590170295029
REQUEST	33		Welcome	1590170295029	1590170295034	OK	 
REQUEST	85		Welcome	1590170295029	1590170295034	OK	 
USER	VerMisLocalesPositivoTest	34	START	1590170295051	1590170295051
REQUEST	34		Welcome	1590170295051	1590170295056	OK	 
USER	VerMisLocalesNegativoTest	86	START	1590170295075	1590170295075
REQUEST	86		Welcome	1590170295076	1590170295080	OK	 
USER	VerMisLocalesPositivoTest	35	START	1590170295098	1590170295098
REQUEST	35		Welcome	1590170295099	1590170295103	OK	 
USER	VerMisLocalesNegativoTest	87	START	1590170295121	1590170295121
REQUEST	87		Welcome	1590170295121	1590170295128	OK	 
USER	VerMisLocalesPositivoTest	36	START	1590170295148	1590170295148
USER	VerMisLocalesNegativoTest	88	START	1590170295149	1590170295149
REQUEST	36		Welcome	1590170295150	1590170295163	OK	 
REQUEST	88		Welcome	1590170295150	1590170295163	OK	 
USER	VerMisLocalesPositivoTest	37	START	1590170295184	1590170295184
REQUEST	37		Welcome	1590170295185	1590170295191	OK	 
USER	VerMisLocalesNegativoTest	89	START	1590170295209	1590170295209
USER	VerMisLocalesPositivoTest	38	START	1590170295213	1590170295213
REQUEST	89		Welcome	1590170295210	1590170295217	OK	 
REQUEST	38		Welcome	1590170295214	1590170295224	OK	 
USER	VerMisLocalesNegativoTest	90	START	1590170295231	1590170295231
REQUEST	90		Welcome	1590170295232	1590170295238	OK	 
USER	VerMisLocalesPositivoTest	39	START	1590170295261	1590170295261
REQUEST	39		Welcome	1590170295262	1590170295266	OK	 
USER	VerMisLocalesNegativoTest	91	START	1590170295277	1590170295277
REQUEST	91		Welcome	1590170295277	1590170295281	OK	 
USER	VerMisLocalesPositivoTest	40	START	1590170295295	1590170295295
REQUEST	40		Welcome	1590170295296	1590170295300	OK	 
USER	VerMisLocalesNegativoTest	92	START	1590170295311	1590170295311
REQUEST	92		Welcome	1590170295312	1590170295317	OK	 
USER	VerMisLocalesPositivoTest	41	START	1590170295333	1590170295333
REQUEST	41		Welcome	1590170295334	1590170295339	OK	 
USER	VerMisLocalesNegativoTest	93	START	1590170295364	1590170295364
USER	VerMisLocalesPositivoTest	42	START	1590170295369	1590170295369
REQUEST	93		Welcome	1590170295366	1590170295374	OK	 
REQUEST	42		Welcome	1590170295370	1590170295379	OK	 
USER	VerMisLocalesNegativoTest	94	START	1590170295399	1590170295399
REQUEST	94		Welcome	1590170295400	1590170295409	OK	 
USER	VerMisLocalesPositivoTest	43	START	1590170295430	1590170295430
USER	VerMisLocalesNegativoTest	95	START	1590170295430	1590170295430
REQUEST	43		Welcome	1590170295431	1590170295441	OK	 
REQUEST	95		Welcome	1590170295431	1590170295441	OK	 
USER	VerMisLocalesPositivoTest	44	START	1590170295449	1590170295449
REQUEST	44		Welcome	1590170295450	1590170295456	OK	 
USER	VerMisLocalesNegativoTest	96	START	1590170295473	1590170295473
REQUEST	96		Welcome	1590170295475	1590170295480	OK	 
USER	VerMisLocalesPositivoTest	45	START	1590170295498	1590170295498
REQUEST	45		Welcome	1590170295499	1590170295504	OK	 
USER	VerMisLocalesNegativoTest	97	START	1590170295522	1590170295522
REQUEST	97		Welcome	1590170295523	1590170295529	OK	 
USER	VerMisLocalesPositivoTest	46	START	1590170295547	1590170295547
USER	VerMisLocalesNegativoTest	98	START	1590170295549	1590170295549
REQUEST	46		Welcome	1590170295548	1590170295554	OK	 
REQUEST	98		Welcome	1590170295550	1590170295556	OK	 
USER	VerMisLocalesPositivoTest	47	START	1590170295574	1590170295574
REQUEST	47		Welcome	1590170295575	1590170295580	OK	 
USER	VerMisLocalesNegativoTest	99	START	1590170295590	1590170295590
REQUEST	99		Welcome	1590170295591	1590170295595	OK	 
USER	VerMisLocalesPositivoTest	48	START	1590170295609	1590170295609
REQUEST	48		Welcome	1590170295609	1590170295613	OK	 
USER	VerMisLocalesNegativoTest	100	START	1590170295631	1590170295631
REQUEST	100		Welcome	1590170295631	1590170295638	OK	 
USER	VerMisLocalesPositivoTest	49	START	1590170295659	1590170295659
REQUEST	49		Welcome	1590170295660	1590170295666	OK	 
USER	VerMisLocalesNegativoTest	101	START	1590170295684	1590170295684
REQUEST	101		Welcome	1590170295685	1590170295691	OK	 
USER	VerMisLocalesPositivoTest	50	START	1590170295709	1590170295709
USER	VerMisLocalesNegativoTest	102	START	1590170295709	1590170295709
REQUEST	102		Welcome	1590170295710	1590170295717	OK	 
REQUEST	50		Welcome	1590170295710	1590170295717	OK	 
USER	VerMisLocalesPositivoTest	51	START	1590170295735	1590170295735
REQUEST	51		Welcome	1590170295736	1590170295741	OK	 
USER	VerMisLocalesPositivoTest	104	START	1590170295759	1590170295759
USER	VerMisLocalesNegativoTest	103	START	1590170295759	1590170295759
