ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	VerFiestasQueAsistoTest	verfiestasqueasistotest	1590262739038	 	3.3.1
USER	VerFiestasQueAsistoPositivo	5	START	1590262740337	1590262740337
REQUEST	26		petclinic.css	1590262740335	1590262740343	OK	 
REQUEST	26		jquery-ui.min.js	1590262740338	1590262740346	OK	 
REQUEST	26		spring-pivotal-logo.png	1590262740336	1590262740347	OK	 
REQUEST	5		Home	1590262740338	1590262740347	OK	 
REQUEST	26		jquery.min.js	1590262740336	1590262740348	OK	 
REQUEST	26		bootstrap.min.js	1590262740345	1590262740348	OK	 
REQUEST	26		jquery-ui.min.css	1590262740336	1590262740349	OK	 
REQUEST	26		jquery-ui.theme.min.css	1590262740336	1590262740350	OK	 
REQUEST	5		favicon.png	1590262740350	1590262740353	OK	 
REQUEST	5		petclinic.css	1590262740350	1590262740356	OK	 
REQUEST	5		jquery-ui.min.css	1590262740351	1590262740358	OK	 
REQUEST	5		jquery-ui.theme.min.css	1590262740351	1590262740359	OK	 
REQUEST	5		spring-pivotal-logo.png	1590262740351	1590262740360	OK	 
REQUEST	5		jquery.min.js	1590262740352	1590262740360	OK	 
REQUEST	5		jquery-ui.min.js	1590262740353	1590262740361	OK	 
REQUEST	5		bootstrap.min.js	1590262740358	1590262740361	OK	 
REQUEST	4		jquery.min.js	1590262740253	1590262740389	OK	 
REQUEST	25		jquery.min.js	1590262740232	1590262740393	OK	 
USER	VerFiestasQueAsistoPositivo	6	START	1590262740435	1590262740435
USER	VerFiestasQueAsistoNegativo	27	START	1590262740435	1590262740435
REQUEST	6		Home	1590262740435	1590262740439	OK	 
REQUEST	27		Home	1590262740435	1590262740440	OK	 
REQUEST	6		favicon.png	1590262740443	1590262740446	OK	 
REQUEST	27		favicon.png	1590262740443	1590262740446	OK	 
REQUEST	6		jquery-ui.min.css	1590262740443	1590262740450	OK	 
REQUEST	27		petclinic.css	1590262740443	1590262740451	OK	 
REQUEST	6		jquery-ui.min.js	1590262740446	1590262740469	OK	 
REQUEST	27		jquery-ui.min.js	1590262740446	1590262740469	OK	 
REQUEST	27		bootstrap.min.js	1590262740460	1590262740470	OK	 
REQUEST	6		petclinic.css	1590262740443	1590262740470	OK	 
REQUEST	27		jquery-ui.min.css	1590262740444	1590262740471	OK	 
REQUEST	6		bootstrap.min.js	1590262740460	1590262740471	OK	 
REQUEST	27		jquery-ui.theme.min.css	1590262740444	1590262740472	OK	 
REQUEST	6		jquery-ui.theme.min.css	1590262740444	1590262740472	OK	 
REQUEST	27		spring-pivotal-logo.png	1590262740444	1590262740472	OK	 
REQUEST	27		jquery.min.js	1590262740444	1590262740473	OK	 
REQUEST	6		spring-pivotal-logo.png	1590262740444	1590262740473	OK	 
REQUEST	6		jquery.min.js	1590262740444	1590262740473	OK	 
REQUEST	26		jquery.min.js	1590262740334	1590262740496	OK	 
REQUEST	5		jquery.min.js	1590262740350	1590262740523	OK	 
USER	VerFiestasQueAsistoNegativo	28	START	1590262740527	1590262740527
USER	VerFiestasQueAsistoPositivo	7	START	1590262740539	1590262740539
REQUEST	28		Home	1590262740527	1590262740543	OK	 
REQUEST	7		Home	1590262740541	1590262740544	OK	 
REQUEST	28		favicon.png	1590262740547	1590262740550	OK	 
REQUEST	7		favicon.png	1590262740547	1590262740550	OK	 
REQUEST	28		petclinic.css	1590262740547	1590262740555	OK	 
REQUEST	28		spring-pivotal-logo.png	1590262740549	1590262740557	OK	 
REQUEST	7		jquery-ui.min.js	1590262740551	1590262740558	OK	 
REQUEST	28		jquery-ui.min.js	1590262740551	1590262740559	OK	 
REQUEST	7		petclinic.css	1590262740547	1590262740559	OK	 
REQUEST	7		spring-pivotal-logo.png	1590262740549	1590262740561	OK	 
REQUEST	28		jquery.min.js	1590262740549	1590262740562	OK	 
REQUEST	7		jquery.min.js	1590262740549	1590262740562	OK	 
REQUEST	28		jquery-ui.min.css	1590262740548	1590262740563	OK	 
REQUEST	7		jquery-ui.min.css	1590262740548	1590262740563	OK	 
