ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerMisLocalesTest	vermislocalestest	1590169929324	 	3.3.1
USER	VerMisLocalesNegativoTest	73	START	1590169931306	1590169931306
USER	VerMisLocalesNegativoTest	77	START	1590169931370	1590169931370
USER	VerMisLocalesNegativoTest	74	START	1590169931307	1590169931307
USER	VerMisLocalesNegativoTest	76	START	1590169931342	1590169931342
USER	VerMisLocalesPositivoTest	2	START	1590169931254	1590169931254
USER	VerMisLocalesNegativoTest	75	START	1590169931308	1590169931308
USER	VerMisLocalesPositivoTest	1	START	1590169931253	1590169931253
USER	VerMisLocalesPositivoTest	3	START	1590169931317	1590169931317
USER	VerMisLocalesNegativoTest	78	START	1590169931452	1590169931452
USER	VerMisLocalesPositivoTest	4	START	1590169931452	1590169931452
USER	VerMisLocalesNegativoTest	79	START	1590169931461	1590169931461
USER	VerMisLocalesPositivoTest	5	START	1590169931461	1590169931461
USER	VerMisLocalesPositivoTest	6	START	1590169931464	1590169931464
USER	VerMisLocalesNegativoTest	80	START	1590169931468	1590169931468
USER	VerMisLocalesPositivoTest	7	START	1590169931492	1590169931492
USER	VerMisLocalesNegativoTest	81	START	1590169931494	1590169931494
USER	VerMisLocalesPositivoTest	8	START	1590169931502	1590169931502
USER	VerMisLocalesNegativoTest	82	START	1590169931539	1590169931539
USER	VerMisLocalesPositivoTest	9	START	1590169931587	1590169931587
USER	VerMisLocalesNegativoTest	83	START	1590169931588	1590169931588
USER	VerMisLocalesPositivoTest	10	START	1590169931601	1590169931601
USER	VerMisLocalesNegativoTest	84	START	1590169931603	1590169931603
USER	VerMisLocalesPositivoTest	11	START	1590169931605	1590169931605
USER	VerMisLocalesPositivoTest	12	START	1590169931619	1590169931619
USER	VerMisLocalesNegativoTest	86	START	1590169931621	1590169931621
REQUEST	78		Welcome	1590169931453	1590169931619	OK	 
USER	VerMisLocalesNegativoTest	85	START	1590169931606	1590169931606
REQUEST	7		Welcome	1590169931493	1590169931624	OK	 
REQUEST	5		Welcome	1590169931464	1590169931557	OK	 
REQUEST	4		Welcome	1590169931455	1590169931587	OK	 
REQUEST	80		Welcome	1590169931469	1590169931588	OK	 
REQUEST	2		Welcome	1590169931361	1590169931561	OK	 
USER	VerMisLocalesPositivoTest	13	START	1590169931668	1590169931668
USER	VerMisLocalesNegativoTest	87	START	1590169931668	1590169931668
REQUEST	75		Welcome	1590169931363	1590169931591	OK	 
REQUEST	1		Welcome	1590169931361	1590169931594	OK	 
USER	VerMisLocalesPositivoTest	14	START	1590169931703	1590169931703
USER	VerMisLocalesPositivoTest	15	START	1590169931707	1590169931707
USER	VerMisLocalesNegativoTest	88	START	1590169931704	1590169931704
USER	VerMisLocalesNegativoTest	89	START	1590169931716	1590169931716
USER	VerMisLocalesPositivoTest	16	START	1590169931806	1590169931806
USER	VerMisLocalesNegativoTest	90	START	1590169931808	1590169931808
USER	VerMisLocalesPositivoTest	17	START	1590169931810	1590169931810
USER	VerMisLocalesNegativoTest	91	START	1590169931812	1590169931812
USER	VerMisLocalesNegativoTest	92	START	1590169931814	1590169931814
USER	VerMisLocalesPositivoTest	18	START	1590169931814	1590169931814
USER	VerMisLocalesPositivoTest	19	START	1590169931817	1590169931817
USER	VerMisLocalesNegativoTest	93	START	1590169931817	1590169931817
USER	VerMisLocalesPositivoTest	20	START	1590169931873	1590169931873
USER	VerMisLocalesNegativoTest	94	START	1590169931879	1590169931879
REQUEST	77		Welcome	1590169931371	1590169931859	OK	 
REQUEST	8		Welcome	1590169931504	1590169931865	OK	 
REQUEST	74		Welcome	1590169931370	1590169931871	OK	 
REQUEST	79		Welcome	1590169931462	1590169931857	OK	 
REQUEST	6		Welcome	1590169931468	1590169931852	OK	 
REQUEST	3		Welcome	1590169931363	1590169931872	OK	 
USER	VerMisLocalesPositivoTest	22	START	1590169931901	1590169931901
REQUEST	76		Welcome	1590169931362	1590169931883	OK	 
REQUEST	73		Welcome	1590169931361	1590169931889	OK	 
USER	VerMisLocalesNegativoTest	96	START	1590169931924	1590169931924
USER	VerMisLocalesNegativoTest	95	START	1590169931900	1590169931900
USER	VerMisLocalesPositivoTest	21	START	1590169931900	1590169931900
REQUEST	81		Welcome	1590169931496	1590169931922	OK	 
REQUEST	88		Welcome	1590169931709	1590169931944	OK	 
REQUEST	16		Welcome	1590169931806	1590169931962	OK	 
REQUEST	15		Welcome	1590169931708	1590169931953	OK	 
REQUEST	13		Welcome	1590169931668	1590169931956	OK	 
USER	VerMisLocalesPositivoTest	23	START	1590169931974	1590169931974
USER	VerMisLocalesPositivoTest	24	START	1590169931979	1590169931979
USER	VerMisLocalesNegativoTest	97	START	1590169931977	1590169931977
USER	VerMisLocalesNegativoTest	98	START	1590169931987	1590169931987
USER	VerMisLocalesPositivoTest	25	START	1590169932002	1590169932002
USER	VerMisLocalesNegativoTest	99	START	1590169932002	1590169932002
REQUEST	12		Welcome	1590169931621	1590169932013	OK	 
REQUEST	87		Welcome	1590169931669	1590169932023	OK	 
REQUEST	90		Welcome	1590169931809	1590169932025	OK	 
REQUEST	85		Welcome	1590169931659	1590169932034	OK	 
REQUEST	86		Welcome	1590169931622	1590169932043	OK	 
REQUEST	84		Welcome	1590169931604	1590169932047	OK	 
REQUEST	94		Welcome	1590169931880	1590169932057	OK	 
REQUEST	18		Welcome	1590169931816	1590169932061	OK	 
REQUEST	10		Welcome	1590169931602	1590169932070	OK	 
REQUEST	82		Welcome	1590169931540	1590169932075	OK	 
REQUEST	92		Welcome	1590169931815	1590169932083	OK	 
REQUEST	89		Welcome	1590169931718	1590169932089	OK	 
REQUEST	20		Welcome	1590169931879	1590169932092	OK	 
REQUEST	22		Welcome	1590169931902	1590169932098	OK	 
REQUEST	21		Welcome	1590169931929	1590169932106	OK	 
REQUEST	93		Welcome	1590169931819	1590169932110	OK	 
REQUEST	97		Welcome	1590169931979	1590169932116	OK	 
REQUEST	23		Welcome	1590169931976	1590169932117	OK	 
REQUEST	24		Welcome	1590169931980	1590169932128	OK	 
REQUEST	98		Welcome	1590169931994	1590169932131	OK	 
REQUEST	83		Welcome	1590169931590	1590169932138	OK	 
REQUEST	95		Welcome	1590169931924	1590169932148	OK	 
REQUEST	96		Welcome	1590169931925	1590169932175	OK	 
REQUEST	14		Welcome	1590169931704	1590169932187	OK	 
REQUEST	91		Welcome	1590169931813	1590169932193	OK	 
REQUEST	19		Welcome	1590169931818	1590169932200	OK	 
REQUEST	11		Welcome	1590169931606	1590169932211	OK	 
REQUEST	9		Welcome	1590169931588	1590169932223	OK	 
REQUEST	17		Welcome	1590169931811	1590169932232	OK	 
USER	VerMisLocalesNegativoTest	100	START	1590169932241	1590169932241
USER	VerMisLocalesPositivoTest	27	START	1590169932247	1590169932247
USER	VerMisLocalesPositivoTest	26	START	1590169932241	1590169932241
USER	VerMisLocalesPositivoTest	28	START	1590169932254	1590169932254
USER	VerMisLocalesNegativoTest	101	START	1590169932254	1590169932254
USER	VerMisLocalesNegativoTest	102	START	1590169932264	1590169932264
USER	VerMisLocalesPositivoTest	29	START	1590169932264	1590169932264
USER	VerMisLocalesPositivoTest	30	START	1590169932274	1590169932274
USER	VerMisLocalesNegativoTest	103	START	1590169932273	1590169932273
USER	VerMisLocalesNegativoTest	104	START	1590169932283	1590169932283
USER	VerMisLocalesPositivoTest	31	START	1590169932285	1590169932285
USER	VerMisLocalesPositivoTest	32	START	1590169932293	1590169932293
USER	VerMisLocalesNegativoTest	105	START	1590169932292	1590169932292
USER	VerMisLocalesNegativoTest	106	START	1590169932299	1590169932299
USER	VerMisLocalesPositivoTest	33	START	1590169932306	1590169932306
USER	VerMisLocalesNegativoTest	107	START	1590169932308	1590169932308
USER	VerMisLocalesNegativoTest	108	START	1590169932311	1590169932311
USER	VerMisLocalesPositivoTest	34	START	1590169932311	1590169932311
USER	VerMisLocalesPositivoTest	35	START	1590169932323	1590169932323
USER	VerMisLocalesNegativoTest	109	START	1590169932329	1590169932329
USER	VerMisLocalesPositivoTest	36	START	1590169932333	1590169932333
USER	VerMisLocalesNegativoTest	110	START	1590169932339	1590169932339
USER	VerMisLocalesNegativoTest	111	START	1590169932344	1590169932344
USER	VerMisLocalesPositivoTest	37	START	1590169932344	1590169932344
REQUEST	100		Welcome	1590169932242	1590169932369	OK	 
USER	VerMisLocalesNegativoTest	112	START	1590169932420	1590169932420
USER	VerMisLocalesPositivoTest	38	START	1590169932419	1590169932419
USER	VerMisLocalesPositivoTest	39	START	1590169932436	1590169932436
USER	VerMisLocalesNegativoTest	113	START	1590169932441	1590169932441
USER	VerMisLocalesPositivoTest	40	START	1590169932441	1590169932441
USER	VerMisLocalesNegativoTest	114	START	1590169932445	1590169932445
REQUEST	99		Welcome	1590169932006	1590169932453	OK	 
REQUEST	102		Welcome	1590169932265	1590169932497	OK	 
REQUEST	103		Welcome	1590169932274	1590169932497	OK	 
REQUEST	26		Welcome	1590169932247	1590169932498	OK	 
REQUEST	25		Welcome	1590169932003	1590169932498	OK	 
REQUEST	31		Welcome	1590169932288	1590169932501	OK	 
REQUEST	30		Welcome	1590169932275	1590169932502	OK	 
REQUEST	28		Welcome	1590169932255	1590169932499	OK	 
REQUEST	104		Welcome	1590169932284	1590169932499	OK	 
REQUEST	29		Welcome	1590169932269	1590169932504	OK	 
REQUEST	108		Welcome	1590169932314	1590169932515	OK	 
REQUEST	101		Welcome	1590169932259	1590169932516	OK	 
REQUEST	36		Welcome	1590169932334	1590169932517	OK	 
REQUEST	109		Welcome	1590169932330	1590169932518	OK	 
REQUEST	32		Welcome	1590169932294	1590169932519	OK	 
REQUEST	37		Welcome	1590169932350	1590169932520	OK	 
REQUEST	27		Welcome	1590169932247	1590169932504	OK	 
REQUEST	112		Welcome	1590169932423	1590169932521	OK	 
REQUEST	106		Welcome	1590169932302	1590169932506	OK	 
REQUEST	107		Welcome	1590169932310	1590169932522	OK	 
REQUEST	40		Welcome	1590169932442	1590169932523	OK	 
REQUEST	34		Welcome	1590169932317	1590169932523	OK	 
REQUEST	35		Welcome	1590169932324	1590169932524	OK	 
REQUEST	105		Welcome	1590169932298	1590169932509	OK	 
REQUEST	114		Welcome	1590169932446	1590169932525	OK	 
REQUEST	33		Welcome	1590169932307	1590169932527	OK	 
REQUEST	111		Welcome	1590169932345	1590169932512	OK	 
REQUEST	110		Welcome	1590169932340	1590169932513	OK	 
