ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257910400	 	3.3.1
USER	AceptarLocalTestPositivo	1	START	1590257911545	1590257911545
USER	AceptarLocalTestNegativo	22	START	1590257911555	1590257911555
REQUEST	22		Welcome	1590257911571	1590257911584	OK	 
REQUEST	1		Welcome	1590257911571	1590257911584	OK	 
USER	AceptarLocalTestNegativo	23	START	1590257911655	1590257911655
USER	AceptarLocalTestPositivo	2	START	1590257911656	1590257911656
REQUEST	2		Welcome	1590257911656	1590257911659	OK	 
REQUEST	23		Welcome	1590257911655	1590257911660	OK	 
USER	AceptarLocalTestNegativo	24	START	1590257911749	1590257911749
REQUEST	24		Welcome	1590257911750	1590257911755	OK	 
USER	AceptarLocalTestPositivo	3	START	1590257911767	1590257911767
REQUEST	3		Welcome	1590257911767	1590257911770	OK	 
USER	AceptarLocalTestNegativo	25	START	1590257911846	1590257911846
REQUEST	25		Welcome	1590257911846	1590257911854	OK	 
USER	AceptarLocalTestPositivo	4	START	1590257911876	1590257911876
REQUEST	4		Welcome	1590257911877	1590257911884	OK	 
USER	AceptarLocalTestNegativo	26	START	1590257911954	1590257911954
USER	AceptarLocalTestPositivo	5	START	1590257911956	1590257911956
REQUEST	26		Welcome	1590257911955	1590257911962	OK	 
REQUEST	5		Welcome	1590257911957	1590257911967	OK	 
USER	AceptarLocalTestNegativo	27	START	1590257912047	1590257912047
REQUEST	27		Welcome	1590257912048	1590257912050	OK	 
USER	AceptarLocalTestPositivo	6	START	1590257912063	1590257912063
REQUEST	6		Welcome	1590257912064	1590257912067	OK	 
USER	AceptarLocalTestNegativo	28	START	1590257912146	1590257912146
REQUEST	28		Welcome	1590257912146	1590257912148	OK	 
USER	AceptarLocalTestPositivo	7	START	1590257912157	1590257912157
REQUEST	7		Welcome	1590257912157	1590257912160	OK	 
USER	AceptarLocalTestNegativo	29	START	1590257912246	1590257912246
REQUEST	29		Welcome	1590257912247	1590257912249	OK	 
USER	AceptarLocalTestPositivo	8	START	1590257912262	1590257912262
REQUEST	8		Welcome	1590257912263	1590257912267	OK	 
USER	AceptarLocalTestNegativo	30	START	1590257912356	1590257912356
USER	AceptarLocalTestPositivo	9	START	1590257912356	1590257912356
REQUEST	30		Welcome	1590257912356	1590257912359	OK	 
REQUEST	9		Welcome	1590257912356	1590257912360	OK	 
USER	AceptarLocalTestNegativo	31	START	1590257912449	1590257912449
