ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarORechazarFiesta	aceptarorechazarfiesta	1590562783700	 	3.3.1
USER	AceptarFiesta	44	START	1590562785318	1590562785318
REQUEST	11		Home	1590562785135	1590562785330	OK	 
USER	DenegarFiesta	447	START	1590562785317	1590562785317
USER	DenegarFiesta	448	START	1590562785318	1590562785318
REQUEST	9		Home	1590562785122	1590562785324	OK	 
REQUEST	10		Home	1590562785137	1590562785334	OK	 
REQUEST	417		Home	1590562785138	1590562785337	OK	 
USER	AceptarFiesta	50	START	1590562785337	1590562785337
USER	AceptarFiesta	51	START	1590562785337	1590562785337
USER	DenegarFiesta	456	START	1590562785338	1590562785338
USER	DenegarFiesta	455	START	1590562785338	1590562785338
USER	AceptarFiesta	43	START	1590562785317	1590562785317
USER	AceptarFiesta	41	START	1590562785317	1590562785317
USER	AceptarFiesta	42	START	1590562785317	1590562785317
REQUEST	15		Home	1590562785149	1590562785341	OK	 
REQUEST	4		Home	1590562785114	1590562785341	OK	 
USER	DenegarFiesta	445	START	1590562785317	1590562785317
REQUEST	16		Home	1590562785176	1590562785342	OK	 
USER	DenegarFiesta	446	START	1590562785317	1590562785317
USER	AceptarFiesta	40	START	1590562785316	1590562785316
USER	AceptarFiesta	52	START	1590562785351	1590562785351
REQUEST	13		Home	1590562785138	1590562785352	OK	 
USER	AceptarFiesta	53	START	1590562785353	1590562785353
USER	DenegarFiesta	457	START	1590562785354	1590562785354
USER	AceptarFiesta	54	START	1590562785356	1590562785356
USER	AceptarFiesta	55	START	1590562785356	1590562785356
USER	DenegarFiesta	459	START	1590562785357	1590562785357
USER	DenegarFiesta	460	START	1590562785357	1590562785357
USER	AceptarFiesta	57	START	1590562785357	1590562785357
USER	AceptarFiesta	56	START	1590562785357	1590562785357
USER	DenegarFiesta	462	START	1590562785358	1590562785358
USER	DenegarFiesta	461	START	1590562785358	1590562785358
REQUEST	19		Home	1590562785178	1590562785350	OK	 
