ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.AceptarLocalTest	aceptarlocaltest	1590257138182	 	3.3.1
REQUEST	66		Welcome	1590257140559	1590257140563	OK	 
USER	AceptarLocalTestPositivo	25	START	1590257140585	1590257140585
REQUEST	25		Welcome	1590257140586	1590257140592	OK	 
USER	AceptarLocalTestNegativo	67	START	1590257140616	1590257140616
REQUEST	67		Welcome	1590257140617	1590257140621	OK	 
USER	AceptarLocalTestPositivo	26	START	1590257140647	1590257140647
REQUEST	26		Welcome	1590257140648	1590257140651	OK	 
USER	AceptarLocalTestNegativo	68	START	1590257140663	1590257140663
REQUEST	68		Welcome	1590257140663	1590257140666	OK	 
USER	AceptarLocalTestPositivo	27	START	1590257140679	1590257140679
REQUEST	27		Welcome	1590257140679	1590257140682	OK	 
USER	AceptarLocalTestNegativo	69	START	1590257140712	1590257140712
REQUEST	69		Welcome	1590257140712	1590257140715	OK	 
USER	AceptarLocalTestPositivo	28	START	1590257140728	1590257140728
REQUEST	28		Welcome	1590257140728	1590257140732	OK	 
USER	AceptarLocalTestNegativo	70	START	1590257140759	1590257140759
REQUEST	70		Welcome	1590257140760	1590257140766	OK	 
USER	AceptarLocalTestPositivo	29	START	1590257140790	1590257140790
REQUEST	29		Welcome	1590257140791	1590257140797	OK	 
USER	AceptarLocalTestNegativo	71	START	1590257140821	1590257140821
REQUEST	71		Welcome	1590257140822	1590257140824	OK	 
USER	AceptarLocalTestPositivo	30	START	1590257140837	1590257140837
REQUEST	30		Welcome	1590257140837	1590257140840	OK	 
USER	AceptarLocalTestNegativo	72	START	1590257140884	1590257140884
USER	AceptarLocalTestPositivo	31	START	1590257140884	1590257140884
REQUEST	31		Welcome	1590257140884	1590257140887	OK	 
REQUEST	72		Welcome	1590257140884	1590257140887	OK	 
USER	AceptarLocalTestNegativo	73	START	1590257140930	1590257140930
USER	AceptarLocalTestPositivo	32	START	1590257140930	1590257140930
REQUEST	73		Welcome	1590257140931	1590257140935	OK	 
REQUEST	32		Welcome	1590257140931	1590257140935	OK	 
USER	AceptarLocalTestNegativo	74	START	1590257140981	1590257140981
USER	AceptarLocalTestPositivo	33	START	1590257140981	1590257140981
REQUEST	33		Welcome	1590257140981	1590257140984	OK	 
REQUEST	74		Welcome	1590257140981	1590257140984	OK	 
USER	AceptarLocalTestNegativo	75	START	1590257141028	1590257141028
USER	AceptarLocalTestPositivo	34	START	1590257141028	1590257141028
REQUEST	34		Welcome	1590257141028	1590257141031	OK	 
REQUEST	75		Welcome	1590257141028	1590257141031	OK	 
USER	AceptarLocalTestPositivo	35	START	1590257141078	1590257141078
USER	AceptarLocalTestNegativo	76	START	1590257141078	1590257141078
REQUEST	35		Welcome	1590257141078	1590257141081	OK	 
REQUEST	76		Welcome	1590257141078	1590257141081	OK	 
USER	AceptarLocalTestNegativo	77	START	1590257141138	1590257141138
USER	AceptarLocalTestPositivo	36	START	1590257141138	1590257141138
REQUEST	36		Welcome	1590257141138	1590257141141	OK	 
REQUEST	77		Welcome	1590257141138	1590257141141	OK	 
USER	AceptarLocalTestPositivo	37	START	1590257141185	1590257141185
USER	AceptarLocalTestNegativo	78	START	1590257141185	1590257141185
REQUEST	37		Welcome	1590257141186	1590257141191	OK	 
REQUEST	78		Welcome	1590257141186	1590257141192	OK	 
USER	AceptarLocalTestNegativo	79	START	1590257141231	1590257141231
USER	AceptarLocalTestPositivo	38	START	1590257141231	1590257141231
REQUEST	38		Welcome	1590257141232	1590257141235	OK	 
REQUEST	79		Welcome	1590257141232	1590257141235	OK	 
USER	AceptarLocalTestNegativo	80	START	1590257141278	1590257141278
USER	AceptarLocalTestPositivo	39	START	1590257141278	1590257141278
REQUEST	80		Welcome	1590257141279	1590257141282	OK	 
REQUEST	39		Welcome	1590257141279	1590257141282	OK	 
USER	AceptarLocalTestNegativo	81	START	1590257141328	1590257141328
USER	AceptarLocalTestPositivo	40	START	1590257141328	1590257141328
REQUEST	81		Welcome	1590257141328	1590257141331	OK	 
REQUEST	40		Welcome	1590257141328	1590257141331	OK	 
USER	AceptarLocalTestNegativo	82	START	1590257141378	1590257141378
USER	AceptarLocalTestPositivo	41	START	1590257141378	1590257141378
REQUEST	41		Welcome	1590257141379	1590257141381	OK	 
REQUEST	82		Welcome	1590257141379	1590257141381	OK	 
USER	AceptarLocalTestNegativo	103	START	1590257141436	1590257141436
USER	AceptarLocalTestPositivo	83	START	1590257141436	1590257141436
REQUEST	103		Welcome	1590257141437	1590257141442	OK	 
REQUEST	83		Welcome	1590257141437	1590257141442	OK	 
USER	AceptarLocalTestPositivo	84	START	1590257141495	1590257141495
USER	AceptarLocalTestNegativo	104	START	1590257141495	1590257141495
REQUEST	104		Welcome	1590257141496	1590257141501	OK	 
REQUEST	84		Welcome	1590257141496	1590257141502	OK	 
USER	AceptarLocalTestPositivo	85	START	1590257141528	1590257141528
USER	AceptarLocalTestNegativo	105	START	1590257141528	1590257141528
REQUEST	85		Welcome	1590257141529	1590257141533	OK	 
REQUEST	105		Welcome	1590257141529	1590257141533	OK	 
USER	AceptarLocalTestNegativo	106	START	1590257141588	1590257141588
USER	AceptarLocalTestPositivo	86	START	1590257141588	1590257141588
REQUEST	106		Welcome	1590257141589	1590257141593	OK	 
REQUEST	86		Welcome	1590257141589	1590257141593	OK	 
USER	AceptarLocalTestNegativo	107	START	1590257141636	1590257141636
USER	AceptarLocalTestPositivo	87	START	1590257141636	1590257141636
REQUEST	87		Welcome	1590257141637	1590257141643	OK	 
REQUEST	107		Welcome	1590257141637	1590257141643	OK	 
USER	AceptarLocalTestPositivo	88	START	1590257141682	1590257141682
USER	AceptarLocalTestNegativo	108	START	1590257141682	1590257141682
REQUEST	108		Welcome	1590257141683	1590257141685	OK	 
REQUEST	88		Welcome	1590257141683	1590257141685	OK	 
USER	AceptarLocalTestNegativo	109	START	1590257141731	1590257141731
USER	AceptarLocalTestPositivo	89	START	1590257141731	1590257141731
REQUEST	89		Welcome	1590257141731	1590257141735	OK	 
REQUEST	109		Welcome	1590257141731	1590257141735	OK	 
USER	AceptarLocalTestPositivo	90	START	1590257141778	1590257141778
USER	AceptarLocalTestNegativo	110	START	1590257141778	1590257141778
REQUEST	90		Welcome	1590257141778	1590257141782	OK	 
REQUEST	110		Welcome	1590257141778	1590257141782	OK	 
USER	AceptarLocalTestNegativo	111	START	1590257141828	1590257141828
USER	AceptarLocalTestPositivo	91	START	1590257141828	1590257141828
REQUEST	91		Welcome	1590257141829	1590257141835	OK	 
REQUEST	111		Welcome	1590257141829	1590257141835	OK	 
USER	AceptarLocalTestPositivo	92	START	1590257141887	1590257141887
USER	AceptarLocalTestNegativo	112	START	1590257141887	1590257141887
REQUEST	92		Welcome	1590257141888	1590257141894	OK	 
REQUEST	112		Welcome	1590257141888	1590257141894	OK	 
USER	AceptarLocalTestNegativo	113	START	1590257141934	1590257141934
USER	AceptarLocalTestPositivo	93	START	1590257141934	1590257141934
REQUEST	93		Welcome	1590257141935	1590257141939	OK	 
REQUEST	113		Welcome	1590257141935	1590257141939	OK	 
USER	AceptarLocalTestNegativo	114	START	1590257141980	1590257141980
USER	AceptarLocalTestPositivo	94	START	1590257141980	1590257141980
REQUEST	114		Welcome	1590257141981	1590257141984	OK	 
REQUEST	94		Welcome	1590257141981	1590257141984	OK	 
USER	AceptarLocalTestPositivo	95	START	1590257142028	1590257142028
USER	AceptarLocalTestNegativo	115	START	1590257142028	1590257142028
REQUEST	95		Welcome	1590257142028	1590257142032	OK	 
REQUEST	115		Welcome	1590257142028	1590257142032	OK	 
USER	AceptarLocalTestNegativo	116	START	1590257142078	1590257142078
USER	AceptarLocalTestPositivo	96	START	1590257142078	1590257142078
REQUEST	96		Welcome	1590257142079	1590257142085	OK	 
REQUEST	116		Welcome	1590257142079	1590257142085	OK	 
USER	AceptarLocalTestPositivo	97	START	1590257142137	1590257142137
USER	AceptarLocalTestNegativo	117	START	1590257142137	1590257142137
REQUEST	97		Welcome	1590257142138	1590257142142	OK	 
REQUEST	117		Welcome	1590257142138	1590257142142	OK	 
USER	AceptarLocalTestPositivo	98	START	1590257142184	1590257142184
USER	AceptarLocalTestNegativo	118	START	1590257142184	1590257142184
REQUEST	118		Welcome	1590257142185	1590257142191	OK	 
