ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
USER	CrearAnuncioTestNegativo	76	START	1590177275784	1590177275784
REQUEST	76		Welcome	1590177275784	1590177275788	OK	 
USER	CrearAnuncioTestPositivo	25	START	1590177275799	1590177275799
REQUEST	25		Welcome	1590177275800	1590177275804	OK	 
USER	CrearAnuncioTestNegativo	77	START	1590177275818	1590177275818
REQUEST	77		Welcome	1590177275818	1590177275822	OK	 
USER	CrearAnuncioTestPositivo	26	START	1590177275846	1590177275846
REQUEST	26		Welcome	1590177275847	1590177275851	OK	 
USER	CrearAnuncioTestNegativo	78	START	1590177275862	1590177275862
REQUEST	78		Welcome	1590177275863	1590177275867	OK	 
USER	CrearAnuncioTestPositivo	27	START	1590177275878	1590177275878
REQUEST	27		Welcome	1590177275879	1590177275883	OK	 
USER	CrearAnuncioTestNegativo	79	START	1590177275898	1590177275898
REQUEST	79		Welcome	1590177275898	1590177275902	OK	 
USER	CrearAnuncioTestPositivo	28	START	1590177275920	1590177275920
REQUEST	28		Welcome	1590177275921	1590177275924	OK	 
USER	CrearAnuncioTestNegativo	80	START	1590177275938	1590177275938
REQUEST	80		Welcome	1590177275938	1590177275942	OK	 
USER	CrearAnuncioTestPositivo	29	START	1590177275967	1590177275967
REQUEST	29		Welcome	1590177275968	1590177275972	OK	 
USER	CrearAnuncioTestNegativo	81	START	1590177275983	1590177275983
REQUEST	81		Welcome	1590177275984	1590177275987	OK	 
USER	CrearAnuncioTestPositivo	30	START	1590177275998	1590177275998
REQUEST	30		Welcome	1590177275999	1590177276004	OK	 
USER	CrearAnuncioTestNegativo	82	START	1590177276018	1590177276018
REQUEST	82		Welcome	1590177276018	1590177276021	OK	 
USER	CrearAnuncioTestPositivo	31	START	1590177276045	1590177276045
REQUEST	31		Welcome	1590177276046	1590177276053	OK	 
USER	CrearAnuncioTestNegativo	83	START	1590177276061	1590177276061
