ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.CrearAnuncioTest	crearanunciotest	1590177273315	 	3.3.1
REQUEST	1271		Welcome	1590177300584	1590177300591	OK	 
REQUEST	1296		Welcome	1590177300584	1590177300591	OK	 
REQUEST	821		Login	1590177300599	1590177300602	OK	 
REQUEST	846		Login	1590177300599	1590177300604	OK	 
USER	CrearAnuncioTestPositivo	1272	START	1590177300618	1590177300618
USER	CrearAnuncioTestNegativo	1297	START	1590177300618	1590177300618
REQUEST	1297		Welcome	1590177300618	1590177300625	OK	 
REQUEST	1272		Welcome	1590177300618	1590177300625	OK	 
REQUEST	847		Login	1590177300646	1590177300648	OK	 
REQUEST	822		Login	1590177300648	1590177300650	OK	 
USER	CrearAnuncioTestPositivo	1273	START	1590177300662	1590177300662
USER	CrearAnuncioTestNegativo	1298	START	1590177300662	1590177300662
REQUEST	1273		Welcome	1590177300662	1590177300666	OK	 
REQUEST	1298		Welcome	1590177300662	1590177300666	OK	 
REQUEST	823		Login	1590177300678	1590177300679	OK	 
REQUEST	848		Login	1590177300678	1590177300679	OK	 
USER	CrearAnuncioTestNegativo	1299	START	1590177300698	1590177300698
USER	CrearAnuncioTestPositivo	1274	START	1590177300698	1590177300698
REQUEST	1299		Welcome	1590177300698	1590177300701	OK	 
REQUEST	1274		Welcome	1590177300698	1590177300701	OK	 
REQUEST	824		Login	1590177300728	1590177300729	OK	 
REQUEST	849		Login	1590177300728	1590177300730	OK	 
USER	CrearAnuncioTestNegativo	1300	START	1590177300740	1590177300740
USER	CrearAnuncioTestPositivo	1275	START	1590177300740	1590177300740
REQUEST	1300		Welcome	1590177300740	1590177300743	OK	 
REQUEST	1275		Welcome	1590177300740	1590177300743	OK	 
REQUEST	825		Login	1590177300758	1590177300759	OK	 
REQUEST	850		Login	1590177300758	1590177300759	OK	 
USER	CrearAnuncioTestNegativo	1301	START	1590177300787	1590177300787
USER	CrearAnuncioTestPositivo	1276	START	1590177300787	1590177300787
REQUEST	1301		Welcome	1590177300787	1590177300792	OK	 
REQUEST	1276		Welcome	1590177300787	1590177300792	OK	 
USER	CrearAnuncioTestPositivo	1277	START	1590177300818	1590177300818
USER	CrearAnuncioTestNegativo	1302	START	1590177300819	1590177300819
REQUEST	851		Login	1590177300818	1590177300821	OK	 
REQUEST	826		Login	1590177300818	1590177300822	OK	 
REQUEST	1277		Welcome	1590177300818	1590177300825	OK	 
REQUEST	1302		Welcome	1590177300819	1590177300826	OK	 
REQUEST	852		Login	1590177300838	1590177300839	OK	 
REQUEST	827		Login	1590177300838	1590177300840	OK	 
USER	CrearAnuncioTestPositivo	1303	START	1590177300849	1590177300849
USER	CrearAnuncioTestNegativo	1328	START	1590177300850	1590177300850
REQUEST	1328		Welcome	1590177300850	1590177300853	OK	 
REQUEST	1303		Welcome	1590177300849	1590177300853	OK	 
USER	CrearAnuncioTestNegativo	1329	START	1590177300896	1590177300896
USER	CrearAnuncioTestPositivo	1304	START	1590177300896	1590177300896
REQUEST	853		Login	1590177300896	1590177300898	OK	 
REQUEST	878		Login	1590177300896	1590177300898	OK	 
REQUEST	1304		Welcome	1590177300896	1590177300900	OK	 
REQUEST	1329		Welcome	1590177300896	1590177300900	OK	 
USER	CrearAnuncioTestPositivo	1305	START	1590177300928	1590177300928
USER	CrearAnuncioTestNegativo	1330	START	1590177300928	1590177300928
REQUEST	879		Login	1590177300928	1590177300929	OK	 
REQUEST	854		Login	1590177300928	1590177300930	OK	 
REQUEST	1305		Welcome	1590177300928	1590177300931	OK	 
REQUEST	1330		Welcome	1590177300928	1590177300931	OK	 
REQUEST	880		Login	1590177300959	1590177300961	OK	 
REQUEST	855		Login	1590177300959	1590177300962	OK	 
USER	CrearAnuncioTestPositivo	1306	START	1590177300974	1590177300974
USER	CrearAnuncioTestNegativo	1331	START	1590177300974	1590177300974
REQUEST	1306		Welcome	1590177300974	1590177300978	OK	 
REQUEST	1331		Welcome	1590177300974	1590177300978	OK	 
USER	CrearAnuncioTestPositivo	1307	START	1590177301008	1590177301008
USER	CrearAnuncioTestNegativo	1332	START	1590177301008	1590177301008
REQUEST	881		Login	1590177301008	1590177301011	OK	 
REQUEST	856		Login	1590177301008	1590177301011	OK	 
REQUEST	1307		Welcome	1590177301009	1590177301013	OK	 
REQUEST	1332		Welcome	1590177301009	1590177301013	OK	 
REQUEST	857		Login	1590177301038	1590177301039	OK	 
REQUEST	882		Login	1590177301038	1590177301040	OK	 
USER	CrearAnuncioTestPositivo	1308	START	1590177301052	1590177301052
USER	CrearAnuncioTestNegativo	1333	START	1590177301052	1590177301052
REQUEST	1333		Welcome	1590177301053	1590177301057	OK	 
REQUEST	1308		Welcome	1590177301053	1590177301057	OK	 
REQUEST	858		Login	1590177301088	1590177301089	OK	 
REQUEST	883		Login	1590177301088	1590177301090	OK	 
USER	CrearAnuncioTestPositivo	1309	START	1590177301090	1590177301090
USER	CrearAnuncioTestNegativo	1334	START	1590177301090	1590177301090
REQUEST	1334		Welcome	1590177301090	1590177301094	OK	 
REQUEST	1309		Welcome	1590177301090	1590177301094	OK	 
REQUEST	884		Login	1590177301118	1590177301119	OK	 
REQUEST	859		Login	1590177301118	1590177301120	OK	 
USER	CrearAnuncioTestPositivo	1310	START	1590177301130	1590177301130
USER	CrearAnuncioTestNegativo	1335	START	1590177301130	1590177301130
REQUEST	1310		Welcome	1590177301131	1590177301133	OK	 
REQUEST	1335		Welcome	1590177301131	1590177301133	OK	 
USER	CrearAnuncioTestNegativo	1336	START	1590177301178	1590177301178
USER	CrearAnuncioTestPositivo	1311	START	1590177301177	1590177301177
REQUEST	860		Login	1590177301177	1590177301179	OK	 
REQUEST	885		Login	1590177301177	1590177301180	OK	 
REQUEST	1336		Welcome	1590177301178	1590177301181	OK	 
REQUEST	1311		Welcome	1590177301177	1590177301181	OK	 
REQUEST	886		Login	1590177301198	1590177301199	OK	 
REQUEST	861		Login	1590177301198	1590177301200	OK	 
USER	CrearAnuncioTestPositivo	1312	START	1590177301208	1590177301208
USER	CrearAnuncioTestNegativo	1337	START	1590177301208	1590177301208
REQUEST	1312		Welcome	1590177301209	1590177301212	OK	 
REQUEST	1337		Welcome	1590177301209	1590177301212	OK	 
REQUEST	862		Login	1590177301240	1590177301240	OK	 
REQUEST	887		Login	1590177301240	1590177301242	OK	 
USER	CrearAnuncioTestPositivo	1313	START	1590177301255	1590177301255
USER	CrearAnuncioTestNegativo	1338	START	1590177301255	1590177301255
REQUEST	1338		Welcome	1590177301255	1590177301259	OK	 
REQUEST	1313		Welcome	1590177301255	1590177301259	OK	 
USER	CrearAnuncioTestPositivo	1314	START	1590177301288	1590177301288
USER	CrearAnuncioTestNegativo	1339	START	1590177301288	1590177301288
REQUEST	888		Login	1590177301288	1590177301290	OK	 
REQUEST	863		Login	1590177301288	1590177301291	OK	 
REQUEST	1314		Welcome	1590177301288	1590177301292	OK	 
REQUEST	1339		Welcome	1590177301289	1590177301292	OK	 
REQUEST	864		Login	1590177301318	1590177301319	OK	 
REQUEST	889		Login	1590177301318	1590177301320	OK	 
USER	CrearAnuncioTestPositivo	1315	START	1590177301333	1590177301333
USER	CrearAnuncioTestNegativo	1340	START	1590177301333	1590177301333
REQUEST	1315		Welcome	1590177301334	1590177301337	OK	 
REQUEST	1340		Welcome	1590177301334	1590177301337	OK	 
USER	CrearAnuncioTestNegativo	1341	START	1590177301368	1590177301368
USER	CrearAnuncioTestPositivo	1316	START	1590177301368	1590177301368
REQUEST	890		Login	1590177301368	1590177301370	OK	 
REQUEST	865		Login	1590177301368	1590177301370	OK	 
REQUEST	1341		Welcome	1590177301368	1590177301372	OK	 
REQUEST	1316		Welcome	1590177301368	1590177301372	OK	 
REQUEST	891		Login	1590177301398	1590177301399	OK	 
REQUEST	866		Login	1590177301398	1590177301400	OK	 
USER	CrearAnuncioTestNegativo	1342	START	1590177301412	1590177301412
USER	CrearAnuncioTestPositivo	1317	START	1590177301411	1590177301411
REQUEST	1342		Welcome	1590177301412	1590177301415	OK	 
REQUEST	1317		Welcome	1590177301412	1590177301415	OK	 
USER	CrearAnuncioTestNegativo	1343	START	1590177301448	1590177301448
USER	CrearAnuncioTestPositivo	1318	START	1590177301448	1590177301448
REQUEST	867		Login	1590177301448	1590177301449	OK	 
REQUEST	892		Login	1590177301448	1590177301450	OK	 
REQUEST	1343		Welcome	1590177301448	1590177301452	OK	 
REQUEST	1318		Welcome	1590177301448	1590177301452	OK	 
USER	CrearAnuncioTestPositivo	1319	START	1590177301494	1590177301494
USER	CrearAnuncioTestNegativo	1344	START	1590177301495	1590177301495
REQUEST	868		Login	1590177301495	1590177301497	OK	 
REQUEST	893		Login	1590177301495	1590177301497	OK	 
REQUEST	1344		Welcome	1590177301495	1590177301499	OK	 
REQUEST	1319		Welcome	1590177301495	1590177301499	OK	 
REQUEST	894		Login	1590177301526	1590177301526	OK	 
REQUEST	869		Login	1590177301526	1590177301528	OK	 
USER	CrearAnuncioTestPositivo	1320	START	1590177301528	1590177301528
USER	CrearAnuncioTestNegativo	1345	START	1590177301528	1590177301528
REQUEST	1345		Welcome	1590177301528	1590177301532	OK	 
REQUEST	1320		Welcome	1590177301528	1590177301532	OK	 
USER	CrearAnuncioTestNegativo	1346	START	1590177301573	1590177301573
USER	CrearAnuncioTestPositivo	1321	START	1590177301573	1590177301573
REQUEST	870		Login	1590177301573	1590177301576	OK	 
REQUEST	895		Login	1590177301573	1590177301578	OK	 
REQUEST	1346		Welcome	1590177301573	1590177301580	OK	 
REQUEST	1321		Welcome	1590177301573	1590177301582	OK	 
REQUEST	871		Login	1590177301588	1590177301590	OK	 
REQUEST	896		Login	1590177301588	1590177301592	OK	 
USER	CrearAnuncioTestNegativo	1347	START	1590177301608	1590177301608
USER	CrearAnuncioTestPositivo	1322	START	1590177301608	1590177301608
REQUEST	1322		Welcome	1590177301608	1590177301612	OK	 
REQUEST	1347		Welcome	1590177301608	1590177301612	OK	 
REQUEST	872		Login	1590177301638	1590177301639	OK	 
USER	CrearAnuncioTestPositivo	1323	START	1590177301651	1590177301651
USER	CrearAnuncioTestNegativo	1348	START	1590177301651	1590177301651
REQUEST	897		Login	1590177301651	1590177301652	OK	 
REQUEST	1348		Welcome	1590177301651	1590177301655	OK	 
REQUEST	1323		Welcome	1590177301651	1590177301655	OK	 
REQUEST	873		Login	1590177301682	1590177301683	OK	 
REQUEST	898		Login	1590177301682	1590177301684	OK	 
USER	CrearAnuncioTestNegativo	1349	START	1590177301698	1590177301698
USER	CrearAnuncioTestPositivo	1324	START	1590177301698	1590177301698
REQUEST	1324		Welcome	1590177301698	1590177301706	OK	 
REQUEST	1349		Welcome	1590177301698	1590177301706	OK	 
REQUEST	874		Login	1590177301729	1590177301730	OK	 
USER	CrearAnuncioTestPositivo	1325	START	1590177301729	1590177301729
REQUEST	899		Login	1590177301729	1590177301731	OK	 
USER	CrearAnuncioTestNegativo	1350	START	1590177301731	1590177301731
REQUEST	1325		Welcome	1590177301730	1590177301735	OK	 
REQUEST	1350		Welcome	1590177301732	1590177301736	OK	 
REQUEST	900		Login	1590177301760	1590177301761	OK	 
REQUEST	875		Login	1590177301760	1590177301762	OK	 
USER	CrearAnuncioTestPositivo	1326	START	1590177301776	1590177301776
USER	CrearAnuncioTestNegativo	1351	START	1590177301776	1590177301776
REQUEST	1351		Welcome	1590177301776	1590177301780	OK	 
REQUEST	1326		Welcome	1590177301776	1590177301780	OK	 
REQUEST	901		Login	1590177301792	1590177301793	OK	 
REQUEST	876		Login	1590177301792	1590177301794	OK	 
USER	CrearAnuncioTestNegativo	1352	START	1590177301808	1590177301808
USER	CrearAnuncioTestPositivo	1327	START	1590177301808	1590177301808
REQUEST	1352		Welcome	1590177301808	1590177301812	OK	 
REQUEST	1327		Welcome	1590177301808	1590177301812	OK	 
REQUEST	877		Login	1590177301854	1590177301856	OK	 
REQUEST	902		Login	1590177301854	1590177301858	OK	 
USER	CrearAnuncioTestNegativo	1378	START	1590177301858	1590177301858
USER	CrearAnuncioTestPositivo	1353	START	1590177301858	1590177301858
REQUEST	1378		Welcome	1590177301858	1590177301865	OK	 
REQUEST	1353		Welcome	1590177301858	1590177301866	OK	 
REQUEST	903		Login	1590177301870	1590177301871	OK	 
REQUEST	928		Login	1590177301870	1590177301872	OK	 
USER	CrearAnuncioTestPositivo	1354	START	1590177301901	1590177301901
USER	CrearAnuncioTestNegativo	1379	START	1590177301901	1590177301901
REQUEST	1379		Welcome	1590177301902	1590177301909	OK	 
REQUEST	1354		Welcome	1590177301902	1590177301909	OK	 
REQUEST	904		Login	1590177301916	1590177301919	OK	 
REQUEST	929		Login	1590177301916	1590177301921	OK	 
USER	CrearAnuncioTestPositivo	1355	START	1590177301947	1590177301947
USER	CrearAnuncioTestNegativo	1380	START	1590177301947	1590177301947
REQUEST	1380		Welcome	1590177301948	1590177301951	OK	 
REQUEST	1355		Welcome	1590177301948	1590177301951	OK	 
REQUEST	905		Login	1590177301963	1590177301964	OK	 
REQUEST	930		Login	1590177301963	1590177301965	OK	 
USER	CrearAnuncioTestNegativo	1381	START	1590177301979	1590177301979
USER	CrearAnuncioTestPositivo	1356	START	1590177301979	1590177301979
REQUEST	906		Login	1590177301979	1590177301981	OK	 
REQUEST	1381		Welcome	1590177301979	1590177301982	OK	 
REQUEST	1356		Welcome	1590177301979	1590177301982	OK	 
REQUEST	931		Login	1590177301997	1590177301999	OK	 
USER	CrearAnuncioTestPositivo	1357	START	1590177302026	1590177302026
USER	CrearAnuncioTestNegativo	1382	START	1590177302026	1590177302026
REQUEST	1382		Welcome	1590177302026	1590177302029	OK	 
REQUEST	1357		Welcome	1590177302026	1590177302029	OK	 
REQUEST	907		Login	1590177302028	1590177302030	OK	 
REQUEST	932		Login	1590177302030	1590177302031	OK	 
USER	CrearAnuncioTestPositivo	1358	START	1590177302058	1590177302058
USER	CrearAnuncioTestNegativo	1383	START	1590177302058	1590177302058
REQUEST	1383		Welcome	1590177302058	1590177302061	OK	 
REQUEST	1358		Welcome	1590177302058	1590177302061	OK	 
REQUEST	933		Login	1590177302072	1590177302073	OK	 
REQUEST	908		Login	1590177302072	1590177302074	OK	 
USER	CrearAnuncioTestNegativo	1384	START	1590177302104	1590177302104
USER	CrearAnuncioTestPositivo	1359	START	1590177302104	1590177302104
REQUEST	1359		Welcome	1590177302104	1590177302108	OK	 
REQUEST	1384		Welcome	1590177302104	1590177302108	OK	 
REQUEST	909		Login	1590177302117	1590177302118	OK	 
REQUEST	934		Login	1590177302117	1590177302119	OK	 
USER	CrearAnuncioTestPositivo	1360	START	1590177302138	1590177302138
REQUEST	1360		Welcome	1590177302138	1590177302141	OK	 
USER	CrearAnuncioTestNegativo	1385	START	1590177302142	1590177302142
REQUEST	1385		Welcome	1590177302142	1590177302146	OK	 
REQUEST	935		Login	1590177302150	1590177302153	OK	 
REQUEST	910		Login	1590177302154	1590177302155	OK	 
USER	CrearAnuncioTestPositivo	1361	START	1590177302182	1590177302182
USER	CrearAnuncioTestNegativo	1386	START	1590177302182	1590177302182
REQUEST	1361		Welcome	1590177302182	1590177302186	OK	 
REQUEST	1386		Welcome	1590177302182	1590177302186	OK	 
REQUEST	911		Login	1590177302188	1590177302189	OK	 
REQUEST	936		Login	1590177302190	1590177302191	OK	 
USER	CrearAnuncioTestNegativo	1387	START	1590177302218	1590177302218
USER	CrearAnuncioTestPositivo	1362	START	1590177302218	1590177302218
REQUEST	1387		Welcome	1590177302218	1590177302221	OK	 
REQUEST	1362		Welcome	1590177302218	1590177302221	OK	 
REQUEST	912		Login	1590177302245	1590177302246	OK	 
REQUEST	937		Login	1590177302246	1590177302247	OK	 
USER	CrearAnuncioTestPositivo	1363	START	1590177302260	1590177302260
USER	CrearAnuncioTestNegativo	1388	START	1590177302260	1590177302260
REQUEST	1363		Welcome	1590177302260	1590177302263	OK	 
REQUEST	1388		Welcome	1590177302260	1590177302263	OK	 
REQUEST	913		Login	1590177302278	1590177302278	OK	 
REQUEST	938		Login	1590177302278	1590177302280	OK	 
USER	CrearAnuncioTestNegativo	1389	START	1590177302307	1590177302307
USER	CrearAnuncioTestPositivo	1364	START	1590177302307	1590177302307
REQUEST	939		Login	1590177302308	1590177302311	OK	 
REQUEST	1364		Welcome	1590177302308	1590177302313	OK	 
REQUEST	914		Login	1590177302311	1590177302313	OK	 
REQUEST	1389		Welcome	1590177302308	1590177302315	OK	 
USER	CrearAnuncioTestNegativo	1390	START	1590177302338	1590177302338
USER	CrearAnuncioTestPositivo	1365	START	1590177302338	1590177302338
REQUEST	1365		Welcome	1590177302338	1590177302342	OK	 
REQUEST	1390		Welcome	1590177302338	1590177302342	OK	 
REQUEST	915		Login	1590177302358	1590177302358	OK	 
REQUEST	940		Login	1590177302358	1590177302359	OK	 
USER	CrearAnuncioTestNegativo	1391	START	1590177302385	1590177302385
USER	CrearAnuncioTestPositivo	1366	START	1590177302385	1590177302385
REQUEST	1366		Welcome	1590177302385	1590177302389	OK	 
REQUEST	1391		Welcome	1590177302385	1590177302389	OK	 
REQUEST	916		Login	1590177302388	1590177302389	OK	 
REQUEST	941		Login	1590177302388	1590177302390	OK	 
USER	CrearAnuncioTestPositivo	1367	START	1590177302418	1590177302418
USER	CrearAnuncioTestNegativo	1392	START	1590177302418	1590177302418
REQUEST	1392		Welcome	1590177302418	1590177302424	OK	 
REQUEST	1367		Welcome	1590177302418	1590177302424	OK	 
REQUEST	942		Login	1590177302442	1590177302443	OK	 
REQUEST	917		Login	1590177302442	1590177302444	OK	 
USER	CrearAnuncioTestPositivo	1368	START	1590177302458	1590177302458
USER	CrearAnuncioTestNegativo	1393	START	1590177302458	1590177302458
REQUEST	1393		Welcome	1590177302458	1590177302462	OK	 
REQUEST	1368		Welcome	1590177302458	1590177302462	OK	 
REQUEST	918		Login	1590177302478	1590177302479	OK	 
REQUEST	943		Login	1590177302478	1590177302480	OK	 
USER	CrearAnuncioTestNegativo	1394	START	1590177302504	1590177302504
USER	CrearAnuncioTestPositivo	1369	START	1590177302504	1590177302504
REQUEST	1394		Welcome	1590177302505	1590177302512	OK	 
REQUEST	1369		Welcome	1590177302504	1590177302513	OK	 
REQUEST	919		Login	1590177302516	1590177302518	OK	 
REQUEST	944		Login	1590177302519	1590177302521	OK	 
USER	CrearAnuncioTestPositivo	1370	START	1590177302539	1590177302539
USER	CrearAnuncioTestNegativo	1395	START	1590177302539	1590177302539
REQUEST	1370		Welcome	1590177302540	1590177302544	OK	 
REQUEST	1395		Welcome	1590177302540	1590177302544	OK	 
REQUEST	920		Login	1590177302566	1590177302567	OK	 
REQUEST	945		Login	1590177302568	1590177302569	OK	 
USER	CrearAnuncioTestNegativo	1396	START	1590177302582	1590177302582
USER	CrearAnuncioTestPositivo	1371	START	1590177302582	1590177302582
REQUEST	1396		Welcome	1590177302582	1590177302585	OK	 
REQUEST	1371		Welcome	1590177302582	1590177302585	OK	 
REQUEST	946		Login	1590177302597	1590177302599	OK	 
REQUEST	921		Login	1590177302597	1590177302600	OK	 
USER	CrearAnuncioTestPositivo	1372	START	1590177302618	1590177302618
USER	CrearAnuncioTestNegativo	1397	START	1590177302618	1590177302618
REQUEST	1372		Welcome	1590177302618	1590177302621	OK	 
REQUEST	1397		Welcome	1590177302618	1590177302621	OK	 
REQUEST	947		Login	1590177302629	1590177302630	OK	 
REQUEST	922		Login	1590177302629	1590177302630	OK	 
USER	CrearAnuncioTestNegativo	1398	START	1590177302660	1590177302660
USER	CrearAnuncioTestPositivo	1373	START	1590177302660	1590177302660
REQUEST	948		Login	1590177302660	1590177302662	OK	 
REQUEST	923		Login	1590177302660	1590177302662	OK	 
REQUEST	1373		Welcome	1590177302660	1590177302664	OK	 
REQUEST	1398		Welcome	1590177302660	1590177302664	OK	 
REQUEST	949		Login	1590177302707	1590177302709	OK	 
REQUEST	924		Login	1590177302707	1590177302709	OK	 
USER	CrearAnuncioTestPositivo	1374	START	1590177302710	1590177302710
USER	CrearAnuncioTestNegativo	1399	START	1590177302710	1590177302710
REQUEST	1399		Welcome	1590177302710	1590177302713	OK	 
REQUEST	1374		Welcome	1590177302710	1590177302713	OK	 
USER	CrearAnuncioTestNegativo	1400	START	1590177302738	1590177302738
USER	CrearAnuncioTestPositivo	1375	START	1590177302738	1590177302738
REQUEST	1400		Welcome	1590177302738	1590177302741	OK	 
REQUEST	1375		Welcome	1590177302738	1590177302741	OK	 
REQUEST	925		Login	1590177302754	1590177302755	OK	 
REQUEST	950		Login	1590177302754	1590177302756	OK	 
USER	CrearAnuncioTestNegativo	1401	START	1590177302785	1590177302785
USER	CrearAnuncioTestPositivo	1376	START	1590177302785	1590177302785
REQUEST	926		Login	1590177302788	1590177302790	OK	 
REQUEST	951		Login	1590177302788	1590177302791	OK	 
REQUEST	1401		Welcome	1590177302786	1590177302793	OK	 
REQUEST	1376		Welcome	1590177302786	1590177302794	OK	 
USER	CrearAnuncioTestPositivo	1377	START	1590177302818	1590177302818
USER	CrearAnuncioTestNegativo	1402	START	1590177302818	1590177302818
REQUEST	927		Login	1590177302818	1590177302821	OK	 
REQUEST	952		Login	1590177302818	1590177302822	OK	 
REQUEST	1377		Welcome	1590177302818	1590177302825	OK	 
REQUEST	1402		Welcome	1590177302819	1590177302826	OK	 
USER	CrearAnuncioTestPositivo	1403	START	1590177302863	1590177302863
USER	CrearAnuncioTestNegativo	1428	START	1590177302863	1590177302863
REQUEST	1403		Welcome	1590177302864	1590177302870	OK	 
REQUEST	1428		Welcome	1590177302864	1590177302872	OK	 
REQUEST	953		Login	1590177302868	1590177302872	OK	 
REQUEST	978		Login	1590177302874	1590177302875	OK	 
USER	CrearAnuncioTestNegativo	1429	START	1590177302898	1590177302898
USER	CrearAnuncioTestPositivo	1404	START	1590177302898	1590177302898
REQUEST	1404		Welcome	1590177302898	1590177302904	OK	 
REQUEST	1429		Welcome	1590177302898	1590177302904	OK	 
REQUEST	954		Login	1590177302910	1590177302912	OK	 
REQUEST	979		Login	1590177302910	1590177302913	OK	 
USER	CrearAnuncioTestPositivo	1405	START	1590177302941	1590177302941
USER	CrearAnuncioTestNegativo	1430	START	1590177302942	1590177302942
REQUEST	1405		Welcome	1590177302942	1590177302946	OK	 
REQUEST	1430		Welcome	1590177302942	1590177302946	OK	 
REQUEST	955		Login	1590177302957	1590177302959	OK	 
REQUEST	980		Login	1590177302963	1590177302967	OK	 
REQUEST	53		Logged	1590177302960	1590177302970	OK	 
REQUEST	52		Logged	1590177302960	1590177302970	OK	 
REQUEST	1		Logged	1590177302961	1590177302972	OK	 
REQUEST	2		Logged	1590177302960	1590177302972	OK	 
REQUEST	53		Logged Redirect 1	1590177302981	1590177302985	OK	 
REQUEST	2		Logged Redirect 1	1590177302983	1590177302989	OK	 
REQUEST	1		Logged Redirect 1	1590177302981	1590177302995	OK	 
REQUEST	52		Logged Redirect 1	1590177302981	1590177302996	OK	 
USER	CrearAnuncioTestPositivo	1406	START	1590177303001	1590177303001
REQUEST	1406		Welcome	1590177303001	1590177303013	OK	 
USER	CrearAnuncioTestNegativo	1431	START	1590177303016	1590177303016
REQUEST	1431		Welcome	1590177303016	1590177303020	OK	 
REQUEST	956		Login	1590177303019	1590177303020	OK	 
USER	CrearAnuncioTestPositivo	1407	START	1590177303022	1590177303022
USER	CrearAnuncioTestNegativo	1432	START	1590177303022	1590177303022
REQUEST	981		Login	1590177303021	1590177303025	OK	 
REQUEST	1432		Welcome	1590177303022	1590177303028	OK	 
REQUEST	3		Logged	1590177303021	1590177303029	OK	 
REQUEST	1407		Welcome	1590177303022	1590177303031	OK	 
REQUEST	3		Logged Redirect 1	1590177303030	1590177303031	OK	 
REQUEST	54		Logged	1590177303022	1590177303033	OK	 
REQUEST	54		Logged Redirect 1	1590177303034	1590177303035	OK	 
REQUEST	957		Login	1590177303038	1590177303039	OK	 
REQUEST	982		Login	1590177303038	1590177303041	OK	 
USER	CrearAnuncioTestPositivo	1408	START	1590177303066	1590177303066
USER	CrearAnuncioTestNegativo	1433	START	1590177303066	1590177303066
REQUEST	56		Logged	1590177303066	1590177303070	OK	 
REQUEST	1408		Welcome	1590177303066	1590177303074	OK	 
REQUEST	1433		Welcome	1590177303066	1590177303075	OK	 
REQUEST	55		Logged	1590177303068	1590177303076	OK	 
REQUEST	56		Logged Redirect 1	1590177303070	1590177303078	OK	 
REQUEST	55		Logged Redirect 1	1590177303077	1590177303080	OK	 
REQUEST	958		Login	1590177303083	1590177303086	OK	 
REQUEST	983		Login	1590177303088	1590177303090	OK	 
USER	CrearAnuncioTestPositivo	1409	START	1590177303098	1590177303098
USER	CrearAnuncioTestNegativo	1434	START	1590177303098	1590177303098
REQUEST	1434		Welcome	1590177303098	1590177303101	OK	 
REQUEST	1409		Welcome	1590177303098	1590177303101	OK	 
REQUEST	6		Logged	1590177303113	1590177303116	OK	 
REQUEST	6		Logged Redirect 1	1590177303117	1590177303117	OK	 
REQUEST	58		Logged	1590177303118	1590177303122	OK	 
REQUEST	58		Logged Redirect 1	1590177303123	1590177303124	OK	 
REQUEST	5		Logged	1590177303119	1590177303125	OK	 
REQUEST	5		Logged Redirect 1	1590177303126	1590177303127	OK	 
REQUEST	57		Logged	1590177303118	1590177303128	OK	 
REQUEST	57		Logged Redirect 1	1590177303129	1590177303130	OK	 
REQUEST	4		Logged	1590177303122	1590177303131	OK	 
REQUEST	4		Logged Redirect 1	1590177303131	1590177303132	OK	 
REQUEST	959		Login	1590177303133	1590177303134	OK	 
REQUEST	984		Login	1590177303133	1590177303135	OK	 
REQUEST	7		Logged	1590177303131	1590177303136	OK	 
REQUEST	7		Logged Redirect 1	1590177303137	1590177303138	OK	 
REQUEST	59		Logged	1590177303133	1590177303139	OK	 
USER	CrearAnuncioTestNegativo	1435	START	1590177303140	1590177303140
REQUEST	59		Logged Redirect 1	1590177303139	1590177303140	OK	 
USER	CrearAnuncioTestPositivo	1410	START	1590177303140	1590177303140
REQUEST	1410		Welcome	1590177303141	1590177303145	OK	 
REQUEST	8		Logged	1590177303140	1590177303146	OK	 
REQUEST	1435		Welcome	1590177303140	1590177303148	OK	 
REQUEST	8		Logged Redirect 1	1590177303147	1590177303148	OK	 
REQUEST	960		Login	1590177303162	1590177303164	OK	 
REQUEST	985		Login	1590177303173	1590177303175	OK	 
REQUEST	60		Logged	1590177303158	1590177303176	OK	 
REQUEST	60		Logged Redirect 1	1590177303176	1590177303178	OK	 
USER	CrearAnuncioTestPositivo	1411	START	1590177303179	1590177303179
REQUEST	1411		Welcome	1590177303180	1590177303184	OK	 
USER	CrearAnuncioTestNegativo	1436	START	1590177303185	1590177303185
REQUEST	1436		Welcome	1590177303185	1590177303189	OK	 
REQUEST	961		Login	1590177303190	1590177303194	OK	 
REQUEST	986		Login	1590177303195	1590177303197	OK	 
REQUEST	9		Logged	1590177303198	1590177303202	OK	 
REQUEST	9		Logged Redirect 1	1590177303202	1590177303204	OK	 
USER	CrearAnuncioTestPositivo	1412	START	1590177303227	1590177303227
USER	CrearAnuncioTestNegativo	1437	START	1590177303230	1590177303230
REQUEST	61		Logged	1590177303224	1590177303236	OK	 
REQUEST	1437		Welcome	1590177303230	1590177303239	OK	 
REQUEST	61		Logged Redirect 1	1590177303237	1590177303241	OK	 
REQUEST	10		Logged	1590177303233	1590177303243	OK	 
REQUEST	10		Logged Redirect 1	1590177303244	1590177303246	OK	 
REQUEST	1412		Welcome	1590177303228	1590177303246	OK	 
REQUEST	962		Login	1590177303248	1590177303251	OK	 
REQUEST	987		Login	1590177303252	1590177303253	OK	 
REQUEST	62		Logged	1590177303248	1590177303255	OK	 
REQUEST	62		Logged Redirect 1	1590177303255	1590177303256	OK	 
